AUC,Beta1,Beta2
5751.342179,1,0
5975.01257,1,0.1
6129.378492,1,0.2
6338.837989,1,0.3
6403.230447,1,0.4
6505.324022,1,0.5
6492.97067,1,0.6
6516.738827,1,0.7
6616.646648,1,0.8
6657.997207,1,0.9
6663.567039,1,1
6663.631285,1,1.1
6654.47486,1,1.2
6682.761173,1,1.3
6678.840782,1,1.4
6701.772346,1,1.5
6741.28352,1,1.6
6740.060056,1,1.7
6740.581006,1,1.8
6743.332402,1,1.9
6754.02095,1,2
6763.115922,1,2.1
6782.395251,1,2.2
6792.350559,1,2.3
6812.287709,1,2.4
6830.74162,1,2.5
6824.955307,1,2.6
6835.664804,1,2.7
6827.00838,1,2.8
6810.406425,1,2.9
6811.392458,1,3
6816.101955,1,3.1
6831.946927,1,3.2
6840.706704,1,3.3
6852.963687,1,3.4
6847.079609,1,3.5
6873.040503,1,3.6
6853.689944,1,3.7
6877.865922,1,3.8
6889.973464,1,3.9
6897.759777,1,4
6913.360335,1,4.1
6933.844972,1,4.2
6905.667598,1,4.3
6912.199721,1,4.4
6933.255587,1,4.5
6942.240223,1,4.6
6937.582402,1,4.7
6945.49162,1,4.8
6948.822626,1,4.9
6956.138268,1,5
6957.667598,1,5.1
6932.589385,1,5.2
6942.606145,1,5.3
6948.48743,1,5.4
6965.018156,1,5.5
6967.839385,1,5.6
6960.851955,1,5.7
6943.399441,1,5.8
6954.192737,1,5.9
6967.673184,1,6
6306.153631,2,0
6313.52514,2,0.1
6413.980447,2,0.2
6543.71648,2,0.3
6574.5,2,0.4
6601.041899,2,0.5
6639.934358,2,0.6
6614.980447,2,0.7
6664.844972,2,0.8
6693.041899,2,0.9
6683.127095,2,1
6679.769553,2,1.1
6698.365922,2,1.2
6714.73743,2,1.3
6739.301676,2,1.4
6736.518156,2,1.5
6735.597765,2,1.6
6740.740223,2,1.7
6766.776536,2,1.8
6764.25838,2,1.9
6785.414804,2,2
6796.615922,2,2.1
6809.75838,2,2.2
6823.670391,2,2.3
6844.018156,2,2.4
6840.840782,2,2.5
6841.578212,2,2.6
6846.087989,2,2.7
6837.72486,2,2.8
6850.993017,2,2.9
6862.565642,2,3
6864.702514,2,3.1
6875.847765,2,3.2
6891.620112,2,3.3
6885.959497,2,3.4
6890.583799,2,3.5
6882.826816,2,3.6
6909.599162,2,3.7
6912.912011,2,3.8
6912.163408,2,3.9
6929.689944,2,4
6936.074022,2,4.1
6928.984637,2,4.2
6943.660615,2,4.3
6941.417598,2,4.4
6954.477654,2,4.5
6959.881285,2,4.6
6942.703911,2,4.7
6944.582402,2,4.8
6947.351955,2,4.9
6950.399441,2,5
6942.74162,2,5.1
6941.463687,2,5.2
6963.581006,2,5.3
6966.27514,2,5.4
6940.291899,2,5.5
6951.597765,2,5.6
6953.377095,2,5.7
6951.49581,2,5.8
6956.71648,2,5.9
6965.018156,2,6
6401.914804,3,0
6499.773743,3,0.1
6590.044693,3,0.2
6626.865922,3,0.3
6632.744413,3,0.4
6641.336592,3,0.5
6684.317039,3,0.6
6672.589385,3,0.7
6664.946927,3,0.8
6699.427374,3,0.9
