AUC,Beta1,Beta2
11163.17877,1,0
11561.06006,1,0.1
11779.47207,1,0.2
12055.62151,1,0.3
12140.28492,1,0.4
12289.57123,1,0.5
12286.9581,1,0.6
12321.32123,1,0.7
12424.73603,1,0.8
12442.65642,1,0.9
12425.60615,1,1
12442.82542,1,1.1
12431.0419,1,1.2
12461.79888,1,1.3
12461.02095,1,1.4
12476.78212,1,1.5
12535.18575,1,1.6
12516.0419,1,1.7
12534.65642,1,1.8
12542.52095,1,1.9
12565.72067,1,2
12584.2514,1,2.1
12597.20251,1,2.2
12645.70531,1,2.3
12661.88547,1,2.4
12670.53212,1,2.5
12668.87151,1,2.6
12673.36732,1,2.7
12658.80307,1,2.8
12620.50978,1,2.9
12624.21648,1,3
12635.29888,1,3.1
12660.81983,1,3.2
12653.64804,1,3.3
12696.49721,1,3.4
12690.14944,1,3.5
12714.64385,1,3.6
12677.94134,1,3.7
12726.62291,1,3.8
12734.11453,1,3.9
12744.37011,1,4
12759.21648,1,4.1
12781.35894,1,4.2
12758.35335,1,4.3
12777.0014,1,4.4
12792.21508,1,4.5
12786.4176,1,4.6
12790.07682,1,4.7
12790.53492,1,4.8
12795.97067,1,4.9
12815.86173,1,5
12821.87011,1,5.1
12788.78631,1,5.2
12796.72486,1,5.3
12798.96229,1,5.4
12826.37709,1,5.5
12816.26257,1,5.6
12809.64525,1,5.7
12799.53073,1,5.8
12812.32402,1,5.9
12820.09078,1,6
11907.94274,2,0
11930.99302,2,0.1
12116.47067,2,0.2
12307.57123,2,0.3
12361.7081,2,0.4
12419.38687,2,0.5
12448.87709,2,0.6
12408.77374,2,0.7
12453.52793,2,0.8
12458.61313,2,0.9
12456.47905,2,1
12473.13128,2,1.1
12505.34358,2,1.2
12522.34218,2,1.3
12539.41201,2,1.4
12506.50978,2,1.5
12513.61592,2,1.6
12568.65503,2,1.7
12596.0838,2,1.8
12587.21089,2,1.9
12612.2081,2,2
12636.39804,2,2.1
12658.89665,2,2.2
12692.48324,2,2.3
12692.09497,2,2.4
12679.79749,2,2.5
12668.88128,2,2.6
12676.10615,2,2.7
12656.81704,2,2.8
12662.76676,2,2.9
12687.07961,2,3
12704.19693,2,3.1
12709.22346,2,3.2
12740,2,3.3
12716.57402,2,3.4
12751.47067,2,3.5
12712.03352,2,3.6
12748.1648,2,3.7
12765.93575,2,3.8
12766.66201,2,3.9
12780.73743,2,4
12780.03352,2,4.1
12767.93436,2,4.2
12809.27235,2,4.3
12799.81704,2,4.4
12800.46369,2,4.5
12801.92179,2,4.6
12796.97765,2,4.7
12790.34497,2,4.8
12811.03911,2,4.9
12814.43436,2,5
12798.17877,2,5.1
12794.78771,2,5.2
12811.70251,2,5.3
12825.91201,2,5.4
12777.94972,2,5.5
12789.89525,2,5.6
12807.31983,2,5.7
12810.00838,2,5.8
12805.56425,2,5.9
12820.72626,2,6
12021.59078,3,0
12208.43715,3,0.1
12357.40503,3,0.2
12402.43855,3,0.3
12437.03352,3,0.4
12436.73045,3,0.5
12476.77933,3,0.6
12460.14804,3,0.7
12442.01117,3,0.8
12479.46229,3,0.9
12515.81844,3,1
12506.0405,3,1.1
12501.60335,3,1.2
12559.85196,3,1.3
12550.96089,3,1.4
12573.92737,3,1.5
12635.98184,3,1.6
12585.44693,3,1.7
12607.35335,3,1.8
12649.45112,3,1.9
12690.86592,3,2
12717.40084,3,2.1
12758.32123,3,2.2
12726.74162,3,2.3
12690.85894,3,2.4
12676.80726,3,2.5
12695.49302,3,2.6
12684.39804,3,2.7
12695.20251,3,2.8
12705.92877,3,2.9
12734.04749,3,3
12746.43994,3,3.1
12729.15363,3,3.2
12714.91899,3,3.3
12738.61592,3,3.4
12727.05866,3,3.5
12738.01117,3,3.6
12768.95531,3,3.7
12790.02654,3,3.8
12778.30307,3,3.9
12766.13827,3,4
12773.24302,3,4.1
12806.87709,3,4.2
12819.53212,3,4.3
12817.81983,3,4.4
12794.74022,3,4.5
12773.9148,3,4.6
12774.95112,3,4.7
12802.59916,3,4.8
12791.91341,3,4.9
12789.22207,3,5
12802.23464,3,5.1
12816.51816,3,5.2
12813.82682,3,5.3
12796.15503,3,5.4
12783.23184,3,5.5
12799.73883,3,5.6
12827.15922,3,5.7
12831.74302,3,5.8
12846.26816,3,5.9
12831.05866,3,6
12358.97207,4,0
12374.13966,4,0.1
12461.28911,4,0.2
12448.96788,4,0.3
12486.5419,4,0.4
12434.89385,4,0.5
12472.13408,4,0.6
12504.3757,4,0.7
12520.9567,4,0.8
12542.68017,4,0.9
12544.55726,4,1
12558.62151,4,1.1
12551.51397,4,1.2
12558.76536,4,1.3
12614.1648,4,1.4
12605.18994,4,1.5
12580.75838,4,1.6
12637.05307,4,1.7
12688.68715,4,1.8
12718.75419,4,1.9
12730.34497,4,2
12759.30447,4,2.1
12699.36034,4,2.2
12700.75419,4,2.3
12692.11034,4,2.4
12705.48743,4,2.5
12683.36592,4,2.6
12692.0419,4,2.7
12700.60475,4,2.8
12727.28212,4,2.9
12733.08659,4,3
12737.14246,4,3.1
12734.7919,4,3.2
12746.18436,4,3.3
12731.32682,4,3.4
12761.25419,4,3.5
12773.93994,4,3.6
12790.10894,4,3.7
12767.2081,4,3.8
12760.0405,4,3.9
12765.76816,4,4
12804.67318,4,4.1
12795.30726,4,4.2
12796.07542,4,4.3
12764.01955,4,4.4
12767.09078,4,4.5
12808.44274,4,4.6
12820.65782,4,4.7
12818.88547,4,4.8
12817.6648,4,4.9
12816.40922,4,5
12820.95112,4,5.1
12818.01676,4,5.2
12787.05028,4,5.3
12792.46508,4,5.4
12816.96927,4,5.5
12840.62011,4,5.6
12847.69972,4,5.7
12847.22626,4,5.8
12836.30447,4,5.9
12832.55447,4,6
12465.59078,5,0
12426.63268,5,0.1
12483.91899,5,0.2
12542.82402,5,0.3
12480.69274,5,0.4
12489.78911,5,0.5
12520.35615,5,0.6
12529.74022,5,0.7
12496.99441,5,0.8
12517.07682,5,0.9
12528.22626,5,1
12572.70251,5,1.1
12595.93436,5,1.2
12642.93855,5,1.3
12638.47486,5,1.4
12610.81285,5,1.5
12674.57402,5,1.6
12727.1257,5,1.7
12725.51816,5,1.8
12733.53073,5,1.9
12732.54888,5,2
12713.83939,5,2.1
12692.81983,5,2.2
12692.82682,5,2.3
12692.63408,5,2.4
12697.93436,5,2.5
12696.19972,5,2.6
12688.39246,5,2.7
12721.92877,5,2.8
12720.17318,5,2.9
12731.47486,5,3
12725.33799,5,3.1
12728.09916,5,3.2
12747.62709,5,3.3
12752.99162,5,3.4
12787.9595,5,3.5
12801.8352,5,3.6
12787.26955,5,3.7
12775.52095,5,3.8
12774.09916,5,3.9
12789.46927,5,4
12805.45391,5,4.1
12808.59637,5,4.2
12772.34916,5,4.3
12789.87151,5,4.4
12805.37989,5,4.5
12831.16899,5,4.6
12829.27514,5,4.7
12836.66899,5,4.8
12808.98883,5,4.9
12819.52374,5,5
12798.53352,5,5.1
12799.94693,5,5.2
12813.53352,5,5.3
12830.93994,5,5.4
12843.1648,5,5.5
12850.76257,5,5.6
12833.55307,5,5.7
12847.86592,5,5.8
12863.94134,5,5.9
12880.14385,5,6
12452.64106,6,0
12497.51955,6,0.1
12500.87849,6,0.2
12467.9986,6,0.3
12462.71648,6,0.4
12527.05866,6,0.5
12532.63268,6,0.6
12502.05168,6,0.7
12553.43017,6,0.8
