AUC,D,M,gamma
-7071.175978,3.0,7.0,0.0
-7069.550279000001,3.0,8.0,0.06
-7059.139665000001,3.0,52.0,0.23
-7059.959497,2.0,6.0,0.11
-7071.175978,3.0,5.0,0.0
-7066.812849,2.0,67.0,0.02
-7058.976256999999,3.0,17.0,0.25
-7015.871508,3.0,3.0,0.04
-7066.22905,3.0,15.0,0.09
-6665.98743,3.0,1.0,0.17
-7035.305866,4.0,57.0,0.33
-7059.754190000001,2.0,38.0,0.12
-6996.903631,3.0,65.0,0.72
-7020.202514,2.0,62.0,0.38
-7018.238826999999,3.0,41.0,0.48
-7058.110334999999,3.0,51.0,0.21
-7069.662011,4.0,35.0,0.06
-7066.812849,2.0,22.0,0.02
-7065.997206999999,3.0,12.0,0.08
-7016.403631,3.0,45.0,0.42
-6722.425978,3.0,5.0,0.88
-7060.670391,3.0,19.0,0.18
-7059.185754000001,3.0,37.0,0.14
-7068.325419,4.0,11.0,0.04
-7061.398045,4.0,42.0,0.16
-7044.941341,2.0,55.0,0.28
-6967.726256999999,2.0,59.0,0.79
-7059.754190000001,2.0,63.0,0.12
-7056.252793000001,4.0,46.0,0.26
-7038.652235,4.0,33.0,0.31
-7063.110334999999,4.0,68.0,0.1
-7071.175978,2.0,29.0,0.0
-7070.709497,2.0,70.0,0.06
-7055.6201120000005,3.0,53.0,0.22
-7066.655028,3.0,31.0,0.03
-7060.364525,3.0,7.0,0.2
-7067.689944,3.0,23.0,0.07
-7021.601955,3.0,16.0,0.4
-6943.912011,3.0,4.0,0.45
-7059.273743000001,2.0,66.0,0.14
-7071.175978,4.0,61.0,0.0
-7021.178770999999,4.0,64.0,0.51
-7071.175978,4.0,69.0,0.0
-7066.22905,3.0,28.0,0.09
-7006.596369,4.0,69.0,0.68
-7010.624301999999,3.0,27.0,0.55
-7066.812849,3.0,9.0,0.02
-6886.488826999999,3.0,2.0,0.16
-7068.308659,2.0,7.0,0.05
-7045.75,2.0,50.0,0.25
-7057.560056,2.0,40.0,0.18
-7059.959497,2.0,66.0,0.11
-7004.775140000001,3.0,49.0,0.61
-7065.997206999999,4.0,61.0,0.08
-7026.363128,2.0,47.0,0.35000000000000003
-7068.325419,4.0,30.0,0.04
-7059.047486,3.0,20.0,0.13
-7071.175978,4.0,68.0,0.0
-7055.6201120000005,3.0,36.0,0.22
-7019.825419,4.0,34.0,0.64
-7066.812849,4.0,26.0,0.02
-7059.079609,3.0,45.0,0.11
-7045.314245999999,3.0,14.0,0.29
-7058.872904999999,3.0,11.0,0.19
-6973.0167599999995,2.0,63.0,0.85
-7067.689944,3.0,59.0,0.07
-7062.796089,2.0,56.0,0.16
-7050.008379999999,2.0,54.0,0.24
-6993.0153629999995,2.0,39.0,0.58
-7050.527932999999,3.0,17.0,0.27
-7068.325419,4.0,6.0,0.04
-7036.329609,3.0,24.0,0.33
-7005.888268000001,3.0,21.0,0.7000000000000001
-6993.226256999999,3.0,43.0,0.74
-7065.062849,4.0,68.0,0.01
-7058.878492,4.0,29.0,0.13
-7066.22905,4.0,58.0,0.09
-7026.544693000001,2.0,30.0,0.36
-7071.175978,4.0,35.0,0.0
-7069.662011,4.0,67.0,0.06
-7058.812849,3.0,9.0,0.15
-6875.171788,2.0,32.0,0.97
-7066.655028,4.0,64.0,0.03
-7018.406425,4.0,62.0,0.43
-6946.558659,2.0,51.0,0.91
-7060.364525,3.0,19.0,0.2
-7059.079609,3.0,24.0,0.11
-7040.889665000001,2.0,26.0,0.3
-6958.843575,3.0,53.0,0.8
-7014.851955,4.0,22.0,0.53
-7065.997206999999,4.0,69.0,0.08
-7057.560056,2.0,14.0,0.18
-7015.871508,4.0,57.0,0.47000000000000003
-6718.163407999999,3.0,1.0,0.05
-7066.812849,4.0,67.0,0.02
-7071.175978,4.0,48.0,0.0
-7057.224859999999,4.0,69.0,0.23
-7063.110334999999,4.0,61.0,0.1
-7023.497206999999,4.0,32.0,0.39
-7059.185754000001,3.0,37.0,0.14
-7069.662011,4.0,36.0,0.06
-7066.655028,4.0,41.0,0.03
-7069.828212,3.0,52.0,0.05
-7071.175978,3.0,49.0,0.0
-7065.997206999999,4.0,56.0,0.08
-7057.0656420000005,4.0,54.0,0.12
-7066.655028,3.0,60.0,0.03
-7067.689944,3.0,44.0,0.07
-7065.062849,3.0,5.0,0.01
-7063.110334999999,3.0,12.0,0.1
-7071.175978,4.0,70.0,0.0
-7061.398045,4.0,65.0,0.16
-7069.828212,3.0,10.0,0.05
-7066.812849,4.0,40.0,0.02
-6900.8170390000005,3.0,2.0,0.13
-7071.175978,4.0,8.0,0.0
-7066.22905,3.0,16.0,0.09
-7053.155028,2.0,59.0,0.2
-7067.689944,3.0,65.0,0.07
-7068.325419,3.0,43.0,0.04
-7060.650838,3.0,46.0,0.17
-7056.173184,4.0,63.0,0.12
-7058.812849,4.0,52.0,0.15
-7065.062849,4.0,61.0,0.01
-7066.22905,4.0,55.0,0.09
-7071.175978,4.0,42.0,0.0
-7068.325419,4.0,34.0,0.04
-7069.662011,4.0,48.0,0.06
-7059.079609,3.0,50.0,0.11
-7060.670391,4.0,38.0,0.18
-7066.812849,4.0,48.0,0.02
-7058.110334999999,3.0,46.0,0.21
-7030.518156,4.0,5.0,0.26
-7058.8673180000005,4.0,8.0,0.14
-7065.997206999999,4.0,34.0,0.08
-7068.325419,3.0,39.0,0.04
-7062.527932999999,2.0,30.0,0.1
-7071.175978,4.0,44.0,0.0
-7060.018156,4.0,44.0,0.24
-7069.662011,4.0,50.0,0.06
-7057.0656420000005,4.0,27.0,0.12
-7066.812849,3.0,48.0,0.02
-7058.812849,4.0,70.0,0.15
-7071.175978,2.0,58.0,0.0
-7067.689944,4.0,64.0,0.07
-7060.650838,4.0,55.0,0.17
-7068.325419,3.0,59.0,0.04
-7055.796089,4.0,68.0,0.22
-6945.356145000001,3.0,3.0,0.31
-7056.561453,2.0,64.0,0.19
