AUC,D,M,gamma
-7840.4860340000005,3.0,60.0,0.34
-7818.378492,4.0,16.0,0.74
-7839.991620000001,4.0,51.0,0.39
-7690.101955,2.0,26.0,0.98
-7752.98743,3.0,6.0,0.63
-7702.6326819999995,3.0,69.0,0.97
-7824.467876999999,3.0,28.0,0.58
-7866.703911,3.0,9.0,0.07
-7285.061453,3.0,9.0,0.99
-7863.502793000001,4.0,51.0,0.08
-7775.829609,2.0,44.0,0.84
-7821.470670000001,3.0,66.0,0.75
-7851.824022,3.0,48.0,0.14
-7836.976256999999,3.0,36.0,0.32
-7843.994412999999,2.0,65.0,0.24
-7844.768156,2.0,55.0,0.18
-7841.662011,4.0,50.0,0.35000000000000003
-7867.832402,3.0,14.0,0.06
-7818.5670390000005,3.0,59.0,0.76
-7839.210894,2.0,53.0,0.28
-7868.560056,4.0,15.0,0.0
-7565.907821,4.0,1.0,0.02
-7840.438547,4.0,19.0,0.45
-7870.068436,4.0,17.0,0.03
-7846.8701120000005,4.0,24.0,0.18
-7866.446927,4.0,34.0,0.01
-7643.97905,4.0,3.0,0.5
-7851.824022,4.0,20.0,0.14
-7866.446927,4.0,38.0,0.01
-7839.452514,4.0,31.0,0.26
-7853.688547,4.0,13.0,0.12
-7844.674581,4.0,23.0,0.21
-7842.490223000001,4.0,42.0,0.4
-7830.7011170000005,4.0,17.0,0.54
-7836.842179,4.0,10.0,0.63
-7263.884078,4.0,4.0,0.91
-7842.776536,4.0,29.0,0.43
-7868.560056,4.0,23.0,0.0
-7838.392458,3.0,22.0,0.3
-7832.300279000001,4.0,26.0,0.68
-7862.427374,3.0,33.0,0.09
-7824.773743000001,2.0,7.0,0.36
-7869.494412999999,3.0,14.0,0.04
-7867.723464,2.0,11.0,0.06
-7834.208101,2.0,6.0,0.2
-7839.019553,3.0,41.0,0.48
-7778.181564,2.0,18.0,0.8300000000000001
-7853.308659,3.0,27.0,0.13
-7437.544693000001,3.0,1.0,0.23
-7832.9329609999995,2.0,12.0,0.5700000000000001
-7869.494412999999,3.0,45.0,0.04
-7861.918994,3.0,48.0,0.1
-7851.579609,2.0,30.0,0.15
-7840.865922,3.0,57.0,0.38
-7834.607542,2.0,65.0,0.32
-7834.079609,3.0,62.0,0.71
-7747.078212,3.0,46.0,0.9400000000000001
-7845.491620000001,2.0,70.0,0.17
-7845.72905,3.0,38.0,0.24
-7821.343575,3.0,53.0,0.62
-7839.1201120000005,2.0,15.0,0.27
-7869.494412999999,4.0,44.0,0.04
-7861.918994,4.0,36.0,0.1
-7843.789106,3.0,62.0,0.43
-7830.177374,4.0,41.0,0.54
-7869.494412999999,4.0,25.0,0.04
-7865.860334999999,4.0,20.0,0.05
-7849.243017,4.0,39.0,0.16
-7863.502793000001,4.0,25.0,0.08
-7846.384078,4.0,34.0,0.2
-7870.196927,3.0,31.0,0.02
-7853.601955,3.0,31.0,0.12
-7866.446927,3.0,48.0,0.01
-7868.560056,3.0,8.0,0.0
-7838.392458,3.0,21.0,0.3
-7809.329609,3.0,4.0,0.22
-7792.437151,4.0,43.0,0.85
-7866.703911,4.0,28.0,0.07
-7844.768156,2.0,51.0,0.18
-7856.057263,3.0,17.0,0.11
-7837.965084,4.0,39.0,0.34
-7842.196927,3.0,10.0,0.25
-7870.196927,3.0,15.0,0.02
-7852.891061,2.0,33.0,0.14
-7870.196927,3.0,13.0,0.02
-7866.703911,3.0,6.0,0.07
-7671.075419,3.0,2.0,0.29
-7846.627095000001,3.0,19.0,0.19
-7836.8701120000005,3.0,12.0,0.49
-7836.976256999999,3.0,23.0,0.32
-7809.438547,3.0,15.0,0.8
-7822.4329609999995,3.0,5.0,0.37
-7843.727654,3.0,9.0,0.4
-7862.427374,3.0,28.0,0.09
-7843.789106,3.0,13.0,0.43
-7849.420391,3.0,22.0,0.16
-7870.068436,3.0,31.0,0.03
-7870.196927,3.0,16.0,0.02
-7727.449720999999,2.0,2.0,0.12
-7828.3701120000005,3.0,16.0,0.68
-7846.710894,3.0,36.0,0.22
-7838.293295999999,3.0,26.0,0.27
-7832.194134,2.0,18.0,0.6
-7832.453911,3.0,7.0,0.47000000000000003
-7832.231844,3.0,21.0,0.51
-7827.914804000001,2.0,11.0,0.34
-7641.256983,3.0,29.0,0.99
-7867.832402,3.0,24.0,0.06
-7868.560056,2.0,34.0,0.0
-7851.824022,3.0,68.0,0.14
-7764.935754000001,3.0,14.0,0.9
-7821.671788,3.0,46.0,0.66
-7842.321229000001,2.0,32.0,0.25
-7851.044693000001,3.0,4.0,0.1
-7846.455306999999,3.0,9.0,0.18
-7814.194134,3.0,56.0,0.78
-7870.196927,3.0,41.0,0.02
-7867.832402,3.0,49.0,0.06
-7845.949720999999,2.0,59.0,0.21
-7834.333798999999,3.0,41.0,0.52
-7843.726256999999,3.0,52.0,0.4
-7837.921788,3.0,38.0,0.72
-7863.502793000001,3.0,54.0,0.08
-7834.607542,2.0,35.0,0.32
-7853.601955,3.0,27.0,0.12
-7847.666201000001,2.0,44.0,0.16
-7845.544693000001,3.0,20.0,0.23
-7291.076816,4.0,1.0,0.45
