AUC,D,M,gamma
-4035.8896649999997,3.0,80.0,0.29
-4023.354749,5.0,67.0,0.34
-3991.614525,4.0,49.0,0.77
-4048.540503,4.0,49.0,0.21
-4041.942737,4.0,82.0,0.27
-3772.1005590000004,5.0,48.0,0.99
-4049.988827,5.0,70.0,0.19
-4047.26676,3.0,72.0,0.26
-4048.178771,4.0,34.0,0.12
-4050.740223,5.0,46.0,0.16
-4058.5125700000003,4.0,6.0,0.05
-4056.953911,4.0,24.0,0.08
-4048.597765,3.0,38.0,0.24
-4005.069832,4.0,40.0,0.45
-4013.289106,3.0,59.0,0.64
-4056.953911,5.0,75.0,0.08
-3956.0544689999997,4.0,5.0,0.48
-3931.048883,4.0,88.0,0.92
-3850.5418990000003,4.0,34.0,0.97
-3928.723464,3.0,64.0,0.92
-4054.574022,5.0,8.0,0.01
-4060.326816,5.0,98.0,0.0
-4054.7416200000002,5.0,99.0,0.03
-4013.8715079999997,5.0,19.0,0.38
-4060.326816,3.0,94.0,0.0
-4008.6270950000003,3.0,100.0,0.56
-4060.326816,3.0,94.0,0.0
-4010.315642,3.0,92.0,0.71
-4024.416201,3.0,85.0,0.35000000000000003
-4049.477654,3.0,91.0,0.15
-4013.3770950000003,3.0,78.0,0.4
-4006.675978,3.0,59.0,0.5700000000000001
-4030.990223,3.0,95.0,0.31
-3984.3715079999997,5.0,80.0,0.76
-4048.178771,3.0,60.0,0.12
-4030.9273740000003,5.0,98.0,0.3
-4049.548883,4.0,84.0,0.19
-3954.5614530000003,3.0,67.0,0.84
-4048.540503,5.0,52.0,0.21
-4056.953911,3.0,73.0,0.08
-4060.326816,4.0,88.0,0.0
-4049.093575,4.0,87.0,0.24
-4049.6913409999997,3.0,77.0,0.14
-4059.574022,5.0,52.0,0.06
-4009.6284920000003,4.0,25.0,0.55
-4014.9413409999997,5.0,13.0,0.65
-4008.980447,4.0,68.0,0.44
-4054.3030729999996,4.0,82.0,0.1
-4042.449721,5.0,44.0,0.27
-4051.382682,5.0,97.0,0.17
-4023.72905,4.0,65.0,0.34
-4048.597765,3.0,92.0,0.24
-4056.431564,4.0,55.0,0.04
-4015.314246,4.0,73.0,0.51
-3957.519553,3.0,32.0,0.8300000000000001
-4014.296089,5.0,89.0,0.43
-4060.326816,4.0,46.0,0.0
-4002.141061,4.0,42.0,0.62
-4047.6480450000004,3.0,95.0,0.21
-4014.5125700000003,4.0,28.0,0.38
-4047.286313,4.0,37.0,0.12
-4013.5726259999997,5.0,62.0,0.5
-4055.405028,5.0,17.0,0.02
-4029.219274,4.0,71.0,0.31
-4058.5125700000003,4.0,77.0,0.05
-4055.405028,4.0,48.0,0.02
-4056.6899439999997,3.0,85.0,0.09
-4057.641061,5.0,55.0,0.07
-4050.3519549999996,3.0,31.0,0.18
-4049.6913409999997,3.0,80.0,0.14
-3638.344972,3.0,1.0,0.21
-4060.326816,4.0,40.0,0.0
-4054.3030729999996,4.0,36.0,0.1
-4056.431564,3.0,95.0,0.04
-3741.108939,4.0,40.0,1.0
-4049.7653630000004,5.0,57.0,0.12
-4050.740223,5.0,47.0,0.16
-4041.942737,4.0,21.0,0.27
-4048.597765,3.0,99.0,0.24
-4023.068436,3.0,90.0,0.36
-4060.326816,4.0,44.0,0.0
-3991.064246,4.0,51.0,0.71
-4055.405028,4.0,44.0,0.02
-4059.574022,4.0,68.0,0.06
-4025.9455310000003,4.0,87.0,0.32
-4058.009777,2.0,43.0,0.08
-4006.340782,3.0,24.0,0.6
-4058.5125700000003,3.0,58.0,0.05
-4049.8114530000003,2.0,53.0,0.12
-3965.932961,4.0,42.0,0.8200000000000001
-4047.26676,3.0,40.0,0.26
-3956.2653630000004,3.0,46.0,0.89
-3961.0614530000003,3.0,16.0,0.81
-4048.502793,2.0,25.0,0.13
-4059.574022,4.0,49.0,0.06
-3987.5991619999995,4.0,40.0,0.77
-4055.405028,3.0,59.0,0.02
-4004.923184,4.0,59.0,0.68
-3968.817039,3.0,12.0,0.79
-4013.289106,3.0,58.0,0.64
-3613.155028,4.0,7.0,0.9400000000000001
-4051.382682,4.0,35.0,0.17
-4017.4483240000004,3.0,62.0,0.38
-4054.7416200000002,2.0,32.0,0.03
-4050.252793,3.0,44.0,0.2
-4017.613128,4.0,69.0,0.36
-4010.405028,4.0,69.0,0.43
-4035.547486,2.0,52.0,0.28
-4054.574022,4.0,51.0,0.01
-3990.094972,2.0,66.0,0.55
-4048.201117,4.0,50.0,0.24
-4005.231844,4.0,30.0,0.46
-4015.0628490000004,2.0,55.0,0.34
-4057.0418990000003,2.0,63.0,0.09
-4058.5824020000005,3.0,47.0,0.06
-4030.321229,4.0,47.0,0.31
-4048.910615,3.0,24.0,0.19
-4050.01676,2.0,37.0,0.11
-4015.180168,3.0,18.0,0.53
