AUC,Beta1,Beta2
3084.027933,1,0
3194.21648,1,0.1
3310.641061,1,0.2
3490.297486,1,0.3
3547.620112,1,0.4
3628.244413,1,0.5
3595.868715,1,0.6
3612.849162,1,0.7
3702.184358,1,0.8
3725.620112,1,0.9
3729.48324,1,1
3729.157821,1,1.1
3734.259777,1,1.2
3743.719274,1,1.3
3751.550279,1,1.4
3775.963687,1,1.5
3794.01676,1,1.6
3795.50838,1,1.7
3802.530726,1,1.8
3804.319832,1,1.9
3814.477654,1,2
3809.663408,1,2.1
3814.027933,1,2.2
3817.673184,1,2.3
3829.603352,1,2.4
3850.332402,1,2.5
3846.47905,1,2.6
3855.527933,1,2.7
3860.472067,1,2.8
3852.201117,1,2.9
3855.701117,1,3
3855.191341,1,3.1
3867.800279,1,3.2
3871.844972,1,3.3
3878.844972,1,3.4
3878.680168,1,3.5
3902.553073,1,3.6
3898.78352,1,3.7
3916.752793,1,3.8
3922.715084,1,3.9
3925.439944,1,4
3931.653631,1,4.1
3939.635475,1,4.2
3926.022346,1,4.3
3928.865922,1,4.4
3946.48324,1,4.5
3951.156425,1,4.6
3950.296089,1,4.7
3963.259777,1,4.8
3962.459497,1,4.9
3960.185754,1,5
3965.916201,1,5.1
3951.793296,1,5.2
3958.765363,1,5.3
3961.136872,1,5.4
3969.317039,1,5.5
3975.662011,1,5.6
3970.476257,1,5.7
3957.139665,1,5.8
3964.575419,1,5.9
3970.074022,1,6
3515.77095,2,0
3516.557263,2,0.1
3574.27095,2,0.2
3675.430168,2,0.3
3682.494413,2,0.4
3698.23743,2,0.5
3709.698324,2,0.6
3704.818436,2,0.7
3735.129888,2,0.8
3752.108939,2,0.9
3751.01257,2,1
3742.209497,2,1.1
3769.912011,2,1.2
3782.698324,2,1.3
3797.086592,2,1.4
3799.092179,2,1.5
3790.326816,2,1.6
3797.27514,2,1.7
3811.381285,2,1.8
3821.089385,2,1.9
3824.114525,2,2
3823.118715,2,2.1
3832.610335,2,2.2
3842.821229,2,2.3
3861.23743,2,2.4
3863.202514,2,2.5
3875.414804,2,2.6
3880.490223,2,2.7
3879.723464,2,2.8
3887.878492,2,2.9
3898.632682,2,3
3899.631285,2,3.1
3902.685754,2,3.2
3914.213687,2,3.3
3913.448324,2,3.4
3926.801676,2,3.5
3929.081006,2,3.6
3944.759777,2,3.7
3938.026536,2,3.8
3938.821229,2,3.9
3947.48743,2,4
3951.712291,2,4.1
3948.460894,2,4.2
3956.935754,2,4.3
3953.972067,2,4.4
3966.928771,2,4.5
3971.087989,2,4.6
3955.52933,2,4.7
3962.392458,2,4.8
3950.333799,2,4.9
3957.928771,2,5
3955.652235,2,5.1
3953.988827,2,5.2
3969.801676,2,5.3
3970.208101,2,5.4
3962.189944,2,5.5
3969.043296,2,5.6
3967.738827,2,5.7
3965.01257,2,5.8
3963.952514,2,5.9
3966.689944,2,6
3588.333799,3,0
3638.057263,3,0.1
3693.354749,3,0.2
3722.332402,3,0.3
3720.111732,3,0.4
3723.912011,3,0.5
3755.378492,3,0.6
3748.810056,3,0.7
3739.381285,3,0.8
3768.803073,3,0.9
3781.578212,3,1
3786.786313,3,1.1
3765.079609,3,1.2
3799.238827,3,1.3
3799.558659,3,1.4
3818.048883,3,1.5
3843.393855,3,1.6
