AUC,D,M,gamma
-25091.367319999998,2.0,68.0,0.08
-24962.52095,2.0,16.0,0.86
-24358.734640000002,3.0,2.0,0.9400000000000001
-24994.86872,4.0,36.0,0.62
-24979.71229,4.0,67.0,0.73
-25071.69413,4.0,46.0,0.16
-24985.90363,4.0,57.0,0.68
-25039.572630000002,2.0,51.0,0.6
-25078.45391,3.0,17.0,0.1
-24829.072630000002,4.0,2.0,0.28
-25041.11173,4.0,50.0,0.4
-24963.33659,2.0,52.0,0.88
-24860.1648,3.0,3.0,0.68
-24975.75,2.0,2.0,0.01
-25070.5419,3.0,13.0,0.13
-25039.572630000002,2.0,62.0,0.6
-25010.18855,3.0,15.0,0.73
-25032.61173,3.0,53.0,0.49
-25050.02654,2.0,60.0,0.3
-24994.02514,3.0,33.0,0.84
-25093.33939,3.0,27.0,0.02
-25093.33939,3.0,27.0,0.02
-25094.243019999998,3.0,28.0,0.01
-25068.97626,3.0,26.0,0.22
-25044.85056,3.0,43.0,0.37
-25095.141059999998,3.0,23.0,0.03
-25068.97626,3.0,37.0,0.22
-25034.03771,3.0,9.0,0.44
-25097.26397,4.0,22.0,0.07
-25089.2933,4.0,21.0,0.08
-25066.83799,4.0,21.0,0.22
-25044.02933,4.0,7.0,0.31
-25071.42877,2.0,40.0,0.16
-25023.0852,4.0,33.0,0.52
-25097.26397,4.0,20.0,0.07
-24346.256980000002,4.0,8.0,0.99
-25089.2933,4.0,12.0,0.08
-25068.52374,4.0,18.0,0.18
-25048.52095,4.0,32.0,0.36
-25022.38966,4.0,45.0,0.51
-25056.79469,4.0,18.0,0.25
-25072.35615,4.0,30.0,0.12
-25040.93715,4.0,37.0,0.43
-25096.17318,4.0,23.0,0.06
-24968.18994,4.0,4.0,0.32
-25066.32123,4.0,13.0,0.17
-24991.70251,4.0,40.0,0.81
-25042.34777,4.0,10.0,0.56
-25071.3352,4.0,16.0,0.13
-25051.168990000002,4.0,6.0,0.26
-24992.466480000003,4.0,24.0,0.7000000000000001
-24990.54749,2.0,20.0,0.77
-25048.692740000002,4.0,55.0,0.35000000000000003
-25030.60335,4.0,48.0,0.47000000000000003
-25003.60196,3.0,11.0,0.64
-25067.00978,2.0,15.0,0.2
-25094.59497,3.0,69.0,0.05
-25037.0433,4.0,30.0,0.41000000000000003
