AUC,Beta1,Beta2
7741.304469,4,5.4
7759.188547,4,5.5
7777.24162,4,5.6
7786.333799,4,5.7
7782.081006,4,5.8
7774.381285,4,5.9
7775.442737,4,6
7482.776536,5,0
7456.98324,5,0.1
7463.914804,5,0.2
7507.333799,5,0.3
7472.543296,5,0.4
7499.608939,5,0.5
7511.561453,5,0.6
7519.761173,5,0.7
7506.263966,5,0.8
7524.446927,5,0.9
7528.593575,5,1
7546.114525,5,1.1
7591.463687,5,1.2
7620.695531,5,1.3
7615.314246,5,1.4
7596.259777,5,1.5
7629.617318,5,1.6
7666.564246,5,1.7
7678.01676,5,1.8
7681.879888,5,1.9
7673.497207,5,2
7671.678771,5,2.1
7652.247207,5,2.2
7655.268156,5,2.3
7655.903631,5,2.4
7659.689944,5,2.5
7672.945531,5,2.6
7668.958101,5,2.7
7677.902235,5,2.8
7683.747207,5,2.9
7681.227654,5,3
7678.917598,5,3.1
7679.036313,5,3.2
7697.851955,5,3.3
7711.811453,5,3.4
7733.396648,5,3.5
7739.00419,5,3.6
7733.898045,5,3.7
7726.861732,5,3.8
7726.717877,5,3.9
7736.231844,5,4
7748.314246,5,4.1
7753.164804,5,4.2
7734.111732,5,4.3
7733.331006,5,4.4
7738.212291,5,4.5
7766.786313,5,4.6
7763.610335,5,4.7
7778.312849,5,4.8
7758.238827,5,4.9
7767.511173,5,5
7748.575419,5,5.1
7750.339385,5,5.2
7758.467877,5,5.3
7773.399441,5,5.4
7781.297486,5,5.5
7785.688547,5,5.6
7779.036313,5,5.7
7795.907821,5,5.8
7806.047486,5,5.9
7820.808659,5,6
7480.949721,6,0
7504.142458,6,0.1
7483.797486,6,0.2
7477.067039,6,0.3
7466.702514,6,0.4
7524.653631,6,0.5
7521.111732,6,0.6
7502.00838,6,0.7
7553.311453,6,0.8
7567.76257,6,0.9
7589.617318,6,1
7619.203911,6,1.1
7606.52514,6,1.2
7616.398045,6,1.3
7621.093575,6,1.4
7673.127095,6,1.5
7670.227654,6,1.6
7677.484637,6,1.7
7654.649441,6,1.8
7690.198324,6,1.9
7677.670391,6,2
7679.311453,6,2.1
7664.604749,6,2.2
7668.178771,6,2.3
7653.695531,6,2.4
7669.041899,6,2.5
7717.02095,6,2.6
7718.398045,6,2.7
7719.410615,6,2.8
7721.868715,6,2.9
7709.403631,6,3
7728.03352,6,3.1
7746.509777,6,3.2
7734.828212,6,3.3
7742.142458,6,3.4
7722.592179,6,3.5
7717.097765,6,3.6
7733.173184,6,3.7
7714.546089,6,3.8
7735.815642,6,3.9
7746.955307,6,4
7738.977654,6,4.1
7741.50838,6,4.2
7758.103352,6,4.3
7755.065642,6,4.4
7767.932961,6,4.5
7771.807263,6,4.6
7753.329609,6,4.7
7760.336592,6,4.8
7772.402235,6,4.9
7763.582402,6,5
7763.687151,6,5.1
7763.817039,6,5.2
7794.23324,6,5.3
7803.446927,6,5.4
7802.913408,6,5.5
7804.074022,6,5.6
7807.994413,6,5.7
7802.300279,6,5.8
7801.305866,6,5.9
7803.28352,6,6
7467.587989,7,0
7465.273743,7,0.1
7466.146648,7,0.2
7508.650838,7,0.3
7541.645251,7,0.4
7555.384078,7,0.5
7552.268156,7,0.6
7585.219274,7,0.7
7582.641061,7,0.8
7603.465084,7,0.9
7624.593575,7,1
7610.541899,7,1.1
7654.314246,7,1.2
7671.53352,7,1.3
7674.727654,7,1.4
7656.189944,7,1.5
7672.789106,7,1.6
7701.027933,7,1.7
7699.582402,7,1.8
7693.910615,7,1.9
7688.752793,7,2
7694.127095,7,2.1
7709.22067,7,2.2
7696.469274,7,2.3
7711.534916,7,2.4
7717.416201,7,2.5
7713.553073,7,2.6
7717.300279,7,2.7
7700.177374,7,2.8
7697.944134,7,2.9
7721.23743,7,3
7738.624302,7,3.1
7718.568436,7,3.2
7702.903631,7,3.3
7714.03352,7,3.4
7718.794693,7,3.5
7723.777933,7,3.6
7723.941341,7,3.7
7746.755587,7,3.8
7758.653631,7,3.9
7750.263966,7,4
7745.472067,7,4.1
7736.175978,7,4.2
7753.23324,7,4.3
7754.294693,7,4.4
7771.599162,7,4.5
7776.594972,7,4.6
7784.530726,7,4.7
7785.075419,7,4.8
7781.930168,7,4.9
7776.844972,7,5
7780.437151,7,5.1
7809.980447,7,5.2
7804.104749,7,5.3
7792.290503,7,5.4
7783.649441,7,5.5
7799.594972,7,5.6
7799.407821,7,5.7
7804.187151,7,5.8
7808.722067,7,5.9
7813.755587,7,6
7495.625698,8,0
7517.48324,8,0.1
7538.420391,8,0.2
7562.660615,8,0.3
7573.022346,8,0.4
7586.967877,8,0.5
7602.886872,8,0.6
7618.400838,8,0.7
7655.548883,8,0.8
7680.462291,8,0.9
7691.49581,8,1
7706.853352,8,1.1
7693.632682,8,1.2
7684.121508,8,1.3
7674.851955,8,1.4
7674.815642,8,1.5
7682.057263,8,1.6
7678.993017,8,1.7
7667.645251,8,1.8
7691.685754,8,1.9
7708.946927,8,2
7697.586592,8,2.1
7698.354749,8,2.2
7705.431564,8,2.3
7717.036313,8,2.4
7714.191341,8,2.5
7699.730447,8,2.6
7693.304469,8,2.7
7700.958101,8,2.8
7686.643855,8,2.9
7716.558659,8,3
7705.585196,8,3.1
7703.416201,8,3.2
7718.906425,8,3.3
7734.685754,8,3.4
7723.875698,8,3.5
7747.872905,8,3.6
7760.717877,8,3.7
7769.375698,8,3.8
7750.243017,8,3.9
7751.129888,8,4
7750.153631,8,4.1
7763.689944,8,4.2
7790.622905,8,4.3
7786.230447,8,4.4
7784.001397,8,4.5
7786.882682,8,4.6
