AUC,D,M,gamma
-12895.73045,4.0,57.0,0.52
-12936.02235,5.0,48.0,0.17
-12904.78492,4.0,24.0,0.56
-12885.558659999999,3.0,78.0,0.68
-12838.72765,4.0,63.0,0.88
-12715.17179,5.0,6.0,0.78
-12922.924579999999,4.0,29.0,0.29
-12829.25838,5.0,13.0,0.9
-12906.01257,4.0,80.0,0.46
-12910.93296,4.0,82.0,0.41000000000000003
-12798.92179,4.0,8.0,0.79
-12894.52095,4.0,51.0,0.5
-12939.02654,3.0,61.0,0.12
-12901.47486,4.0,70.0,0.58
-12881.48184,4.0,17.0,0.72
-12923.27793,3.0,10.0,0.28
-12909.92877,4.0,86.0,0.42
-12913.27095,4.0,9.0,0.44
-12912.54888,5.0,39.0,0.41000000000000003
-12883.19693,3.0,41.0,0.67
-12963.079609999999,3.0,100.0,0.0
-12956.89665,3.0,98.0,0.02
-12963.079609999999,3.0,97.0,0.0
-12956.882679999999,3.0,100.0,0.07
-12956.68296,3.0,90.0,0.01
-12939.089390000001,3.0,94.0,0.2
-12920.75279,3.0,72.0,0.3
-12951.22067,3.0,91.0,0.09
-12963.079609999999,3.0,98.0,0.0
-12937.079609999999,3.0,70.0,0.21
-12921.96927,3.0,55.0,0.33
-12939.76397,3.0,86.0,0.16
-12956.97905,3.0,77.0,0.05
-12937.81145,5.0,43.0,0.13
-12937.079609999999,3.0,34.0,0.21
-12893.2933,3.0,65.0,0.58
-12918.14106,3.0,76.0,0.36
-12594.79749,5.0,94.0,1.0
-12931.06425,3.0,25.0,0.23
-12928.617320000001,3.0,86.0,0.26
-12794.84218,4.0,58.0,0.9400000000000001
-12940.77654,5.0,50.0,0.15
-12918.14106,3.0,65.0,0.36
-12951.22067,4.0,95.0,0.09
-12897.91341,4.0,82.0,0.54
-12958.882679999999,3.0,74.0,0.03
-12884.191340000001,4.0,89.0,0.63
-12364.11592,5.0,2.0,0.75
-12926.27933,3.0,16.0,0.25
-12896.72067,4.0,82.0,0.5
-12861.18575,3.0,97.0,0.85
-12939.02654,4.0,68.0,0.12
-12886.016759999999,3.0,47.0,0.8200000000000001
-12905.79609,4.0,33.0,0.46
-12957.49721,3.0,61.0,0.06
-12918.84078,3.0,55.0,0.37
-12939.94274,5.0,100.0,0.19
-12922.44972,3.0,81.0,0.32
-12951.22067,4.0,23.0,0.09
-12886.94832,3.0,90.0,0.64
-12956.89665,3.0,85.0,0.02
-12963.079609999999,3.0,79.0,0.0
-12936.02235,5.0,78.0,0.17
-12902.441340000001,4.0,93.0,0.47000000000000003
-12923.27793,3.0,73.0,0.28
-12963.079609999999,3.0,99.0,0.0
-12956.97905,3.0,87.0,0.05
-12937.62291,3.0,96.0,0.14
-12939.33101,3.0,69.0,0.11
-12957.77374,3.0,98.0,0.04
-12963.079609999999,3.0,92.0,0.0
-12937.945529999999,3.0,92.0,0.18
-12952.95251,3.0,84.0,0.08
-12926.27933,3.0,88.0,0.25
-12963.079609999999,3.0,79.0,0.0
-12939.33101,3.0,57.0,0.11
-12934.81285,3.0,100.0,0.22
-12702.554470000001,3.0,75.0,0.99
-12915.1676,3.0,66.0,0.4
-12922.44972,3.0,43.0,0.32
-12940.77654,4.0,91.0,0.15
-12888.885470000001,3.0,84.0,0.71
-12956.882679999999,3.0,63.0,0.07
-12958.882679999999,3.0,79.0,0.03
-12819.35196,4.0,72.0,0.9
-12931.06425,3.0,37.0,0.23
-12921.97067,3.0,95.0,0.29
-12947.55168,4.0,52.0,0.1
-12904.00838,3.0,71.0,0.55
-12917.31425,3.0,98.0,0.38
-12956.68296,3.0,61.0,0.01
-12937.81145,5.0,89.0,0.13
-12917.02374,4.0,96.0,0.34
-12939.94413,3.0,80.0,0.19
-12892.73045,3.0,83.0,0.59
-12940.06145,4.0,76.0,0.16
-12907.77374,3.0,48.0,0.44
-12957.49721,5.0,67.0,0.06
-12928.617320000001,3.0,93.0,0.26
-12956.97905,4.0,86.0,0.05
-12906.11313,3.0,89.0,0.52
-12939.089390000001,3.0,30.0,0.2
-12879.69274,3.0,100.0,0.78
-12958.882679999999,3.0,45.0,0.03
-12952.95251,3.0,21.0,0.08
-12937.81145,3.0,55.0,0.13
-12888.87989,4.0,82.0,0.61
-12936.02235,3.0,77.0,0.17
-12859.00559,4.0,7.0,0.66
-12922.174579999999,3.0,12.0,0.31
-12956.68296,3.0,92.0,0.01
-12823.36872,5.0,3.0,0.27
-12921.39665,3.0,73.0,0.35000000000000003
-12934.81285,3.0,60.0,0.22
-12763.74302,3.0,64.0,0.97
-12914.745809999999,4.0,69.0,0.4
-12951.22067,3.0,87.0,0.09
-12939.41899,4.0,97.0,0.11
-12903.44413,3.0,94.0,0.48
-12937.62291,3.0,75.0,0.14
-12929.05168,5.0,80.0,0.24
-12956.97905,3.0,90.0,0.05
-12882.57682,3.0,38.0,0.81
-12887.983240000001,3.0,52.0,0.72
-12923.068440000001,4.0,59.0,0.29
-12963.079609999999,3.0,85.0,0.0
-12867.69413,3.0,84.0,0.87
-12907.77374,3.0,62.0,0.44
-12956.882679999999,4.0,95.0,0.07
-12956.89665,3.0,71.0,0.02
-12939.76397,3.0,68.0,0.16
-12939.94413,3.0,99.0,0.19
-12917.31425,3.0,78.0,0.38
-12939.02654,4.0,50.0,0.12
-12957.77374,3.0,55.0,0.04
-12947.55168,5.0,88.0,0.1
-12904.43017,3.0,40.0,0.53
-12905.9176,3.0,92.0,0.5
-12936.99022,4.0,18.0,0.21
-12929.30307,3.0,35.0,0.24
-12795.68994,3.0,99.0,0.91
-12937.945529999999,3.0,96.0,0.18
-12956.89665,4.0,28.0,0.02
-12956.882679999999,3.0,81.0,0.07
-12921.92598,5.0,65.0,0.33
-12963.079609999999,3.0,85.0,0.0
-12963.079609999999,3.0,84.0,0.0
-12957.77374,3.0,90.0,0.04
-12939.02654,3.0,57.0,0.12
-12957.49721,3.0,73.0,0.06
-12940.77654,3.0,79.0,0.15
-12952.95251,3.0,86.0,0.08
-12956.68296,3.0,83.0,0.01
-12947.55168,3.0,94.0,0.1
-12937.62291,3.0,98.0,0.14
-12958.882679999999,3.0,75.0,0.03
-12897.07682,3.0,91.0,0.5700000000000001
-12890.945529999999,3.0,77.0,0.76
-12924.93575,3.0,97.0,0.27
-12936.02235,3.0,70.0,0.17
-12951.22067,3.0,88.0,0.09
-12956.97905,3.0,94.0,0.05
-12937.079609999999,3.0,92.0,0.21
-12956.68296,3.0,82.0,0.01
-12939.02654,3.0,66.0,0.12
