,AUC,Beta1,Beta2
0,11621.259701492538,1.0,0.0
1,11941.126865671642,1.0,0.1
2,12078.664179104477,1.0,0.2
3,12223.25223880597,1.0,0.30000000000000004
4,12274.946268656717,1.0,0.4
5,12424.362686567165,1.0,0.5
6,12425.388059701492,1.0,0.6000000000000001
7,12460.614925373135,1.0,0.7000000000000001
8,12640.535820895522,1.0,0.8
9,12755.24328358209,1.0,0.9
10,12799.40895522388,1.0,1.0
11,12762.819402985075,1.0,1.1
12,12757.792537313433,1.0,1.2000000000000002
13,12803.77014925373,1.0,1.3
14,12785.392537313433,1.0,1.4000000000000001
15,12782.435820895522,1.0,1.5
16,12780.737313432835,1.0,1.6
17,12830.964179104478,1.0,1.7000000000000002
18,12865.050746268656,1.0,1.8
19,12871.577611940298,1.0,1.9000000000000001
20,12877.785074626865,1.0,2.0
21,12875.264179104477,1.0,2.1
22,12847.782089552238,1.0,2.2
23,12860.219402985074,1.0,2.3000000000000003
24,12900.55223880597,1.0,2.4000000000000004
25,12922.813432835821,1.0,2.5
26,12913.850746268658,1.0,2.6
27,12911.429850746268,1.0,2.7
28,12982.617910447761,1.0,2.8000000000000003
29,12959.398507462687,1.0,2.9000000000000004
30,12952.462686567163,1.0,3.0
31,12973.865671641792,1.0,3.1
32,12960.013432835822,1.0,3.2
33,12980.029850746268,1.0,3.3000000000000003
34,12967.614925373135,1.0,3.4000000000000004
35,12958.726865671642,1.0,3.5
36,13028.150746268657,1.0,3.6
37,13015.716417910447,1.0,3.7
38,13023.444776119402,1.0,3.8000000000000003
39,12990.420895522388,1.0,3.9000000000000004
40,12980.373134328358,1.0,4.0
41,13009.280597014926,1.0,4.1000000000000005
42,13027.055223880598,1.0,4.2
43,13016.985074626866,1.0,4.3
44,13021.159701492537,1.0,4.4
45,13031.659701492537,1.0,4.5
46,13043.783582089553,1.0,4.6000000000000005
47,13024.905970149253,1.0,4.7
48,13038.846268656716,1.0,4.800000000000001
49,13059.959701492537,1.0,4.9
50,13060.280597014926,1.0,5.0
51,13052.186567164179,1.0,5.1000000000000005
52,13071.422388059702,1.0,5.2
53,13054.461194029851,1.0,5.300000000000001
54,13061.388059701492,1.0,5.4
55,13053.22985074627,1.0,5.5
56,13045.967164179105,1.0,5.6000000000000005
57,13060.520895522388,1.0,5.7
58,13085.462686567163,1.0,5.800000000000001
59,13088.501492537314,1.0,5.9
60,13089.8,1.0,6.0
61,12178.679104477613,2.0,0.0
62,12298.685074626866,2.0,0.1
63,12310.20447761194,2.0,0.2
64,12507.882089552239,2.0,0.30000000000000004
65,12589.041791044776,2.0,0.4
66,12571.764179104477,2.0,0.5
67,12600.989552238805,2.0,0.6000000000000001
68,12637.380597014926,2.0,0.7000000000000001
69,12722.802985074626,2.0,0.8
70,12782.1,2.0,0.9
71,12822.134328358208,2.0,1.0
72,12845.632835820896,2.0,1.1
73,12809.688059701493,2.0,1.2000000000000002
74,12759.828358208955,2.0,1.3
75,12793.26119402985,2.0,1.4000000000000001
76,12852.65671641791,2.0,1.5
77,12866.988059701493,2.0,1.6
78,12917.54328358209,2.0,1.7000000000000002
79,12909.116417910447,2.0,1.8
80,12918.502985074627,2.0,1.9000000000000001
81,12882.858208955224,2.0,2.0
82,12879.6,2.0,2.1
