AUC,D,M,gamma
-7998.658209,4.0,23.0,0.53
-8001.619403,5.0,46.0,0.5
-8046.097015,4.0,84.0,0.18
-8027.580597,3.0,77.0,0.39
-7969.094029999999,4.0,19.0,0.7000000000000001
-8046.476119,3.0,81.0,0.03
-7803.267164,4.0,6.0,0.85
-7978.204478000001,5.0,45.0,0.65
-8049.746269,5.0,81.0,0.07
-8035.619403,5.0,75.0,0.25
-8043.622388,5.0,16.0,0.22
-7996.20597,5.0,73.0,0.51
-8032.086567,5.0,69.0,0.29
-8049.6910450000005,5.0,28.0,0.06
-7978.532836,5.0,61.0,0.66
-8004.477612000001,4.0,67.0,0.5
-7923.540298999999,3.0,78.0,0.92
-8042.326865999999,4.0,89.0,0.23
-7971.783581999999,4.0,31.0,0.6900000000000001
-8047.677612,5.0,71.0,0.12
-8045.498506999999,5.0,32.0,0.19
-8039.895522,5.0,29.0,0.01
-8049.864179000001,4.0,52.0,0.09
-7981.601493000001,4.0,44.0,0.62
-8035.619403,4.0,62.0,0.25
-8029.938806,3.0,100.0,0.34
-8047.419403,5.0,98.0,0.05
-8029.938806,3.0,55.0,0.34
-8045.8,5.0,92.0,0.13
-8019.352239,3.0,4.0,0.09
-8044.4641790000005,5.0,54.0,0.0
-8031.973134000001,5.0,39.0,0.3
-8027.759701000001,3.0,68.0,0.42
-8021.526865999999,4.0,11.0,0.43
-8048.523881,4.0,91.0,0.15
-7947.571642,5.0,20.0,0.8
-7990.237313,5.0,74.0,0.5700000000000001
-8049.746269,3.0,60.0,0.07
-8035.134328,3.0,37.0,0.25
-8043.497015000001,4.0,86.0,0.19
-8031.726866,3.0,50.0,0.31
-8022.197015000001,4.0,63.0,0.45
-7994.579104,3.0,57.0,0.55
-7942.471642,4.0,48.0,0.78
-8039.895522,5.0,81.0,0.01
-8049.864179000001,4.0,25.0,0.09
-8026.859701,4.0,13.0,0.38
-7917.670149,4.0,26.0,0.93
-8043.622388,4.0,39.0,0.22
-8015.907463,4.0,10.0,0.48
-7649.237313,4.0,1.0,0.16
-8048.576118999999,4.0,16.0,0.1
-8030.044776000001,4.0,25.0,0.29
-7987.48209,4.0,43.0,0.61
-8047.419403,4.0,34.0,0.05
-8027.853731,4.0,19.0,0.38
-8040.143284000001,3.0,45.0,0.21
-8035.608955,4.0,28.0,0.26
-7971.297015000001,3.0,52.0,0.74
-7929.697015000001,4.0,22.0,0.88
-8047.677612,5.0,35.0,0.12
-8030.98806,4.0,7.0,0.34
-8010.856715999999,3.0,42.0,0.51
-7761.649254000001,5.0,66.0,0.98
-8047.419403,4.0,75.0,0.05
-8044.9537310000005,4.0,58.0,0.17
-8039.9537310000005,5.0,31.0,0.02
-7697.852239,4.0,1.0,0.09
-8030.752239,3.0,70.0,0.28
-8045.353731,4.0,15.0,0.14
-8049.101493000001,3.0,59.0,0.08
-8046.071642,3.0,64.0,0.19
-8046.476119,4.0,47.0,0.03
-8047.677612,3.0,53.0,0.12
-8049.746269,4.0,95.0,0.07
-8029.598507,4.0,97.0,0.32
-8042.004478,3.0,78.0,0.24
-8044.4641790000005,4.0,56.0,0.0
-8021.661193999999,5.0,60.0,0.4
-8043.879104000001,4.0,95.0,0.2
-8029.507463,3.0,50.0,0.36
-8049.888059999999,4.0,41.0,0.04
-8016.7552239999995,4.0,40.0,0.47000000000000003
-8031.537313,4.0,23.0,0.27
-8044.9537310000005,4.0,29.0,0.17
-8049.888059999999,4.0,38.0,0.04
-8049.888059999999,4.0,48.0,0.04
-8047.419403,4.0,36.0,0.05
-8047.677612,4.0,33.0,0.12
-7977.019403,5.0,41.0,0.67
-8041.135820999999,4.0,48.0,0.23
-8045.353731,4.0,45.0,0.14
-8046.476119,4.0,37.0,0.03
-8039.895522,5.0,38.0,0.01
-7987.7014930000005,4.0,20.0,0.61
-8048.523881,5.0,50.0,0.15
-7998.576118999999,4.0,28.0,0.53
-8018.773134,4.0,54.0,0.42
-8048.619403,4.0,65.0,0.11
-8049.6910450000005,4.0,31.0,0.06
-7981.059701,5.0,43.0,0.58
-7953.216418000001,4.0,17.0,0.72
-7971.149254000001,4.0,69.0,0.8200000000000001
-8029.326865999999,4.0,62.0,0.31
-8040.553731,4.0,72.0,0.21
-7697.301493000001,5.0,83.0,1.0
-8046.476119,3.0,26.0,0.03
-8028.683582,4.0,12.0,0.36
-8044.759701000001,4.0,47.0,0.18
-8035.619403,5.0,56.0,0.25
-8019.352239,3.0,4.0,0.09
-8044.4641790000005,4.0,67.0,0.0
-7966.79403,4.0,52.0,0.64
-8045.8,4.0,64.0,0.13
-8046.476119,3.0,70.0,0.03
-8045.498506999999,4.0,23.0,0.19
-8048.576118999999,3.0,62.0,0.1
-7983.868656999999,2.0,49.0,0.56
-7947.810448,3.0,17.0,0.8
-7934.617909999999,2.0,40.0,0.9
-8026.031343000001,3.0,15.0,0.35000000000000003
-8000.653731,2.0,49.0,0.49
-8032.558209000001,2.0,34.0,0.25
-7981.816418,2.0,61.0,0.67
-7937.104478,2.0,3.0,0.28
-8000.653731,2.0,61.0,0.49
-7989.565672,3.0,66.0,0.6900000000000001
-7971.129851000001,4.0,17.0,0.65
-7967.965672,4.0,61.0,0.6900000000000001
-8048.222387999999,2.0,20.0,0.12
-8030.782090000001,3.0,13.0,0.37
-8047.419403,3.0,45.0,0.05
-8023.704478000001,4.0,60.0,0.39
-8044.4641790000005,3.0,31.0,0.0
-7914.273134,3.0,2.0,0.12
-8045.8,3.0,26.0,0.13
-8035.134328,3.0,8.0,0.25
-8039.895522,2.0,25.0,0.01
-8049.101493000001,3.0,54.0,0.08
-7905.747761,3.0,54.0,0.97
-8030.673134000001,4.0,53.0,0.32
-8042.013433,3.0,69.0,0.2
-8049.101493000001,3.0,41.0,0.08
-8015.307462999999,4.0,41.0,0.46
-8045.147761,4.0,40.0,0.18
-8049.6910450000005,3.0,54.0,0.06
-7988.6,4.0,30.0,0.5700000000000001
-8045.01194,3.0,47.0,0.17
-8029.347761,3.0,37.0,0.43
-8047.419403,3.0,55.0,0.05
-7997.992537,3.0,44.0,0.58
-8044.4641790000005,4.0,70.0,0.0
-7941.532836,3.0,50.0,0.86
-8024.871642,2.0,36.0,0.29
-8042.420896,3.0,58.0,0.22
-8050.3119400000005,2.0,65.0,0.08
-7965.783581999999,2.0,66.0,0.77
-8045.076118999999,2.0,65.0,0.16
-8026.347761,2.0,57.0,0.32
-8015.647761,2.0,51.0,0.4
-7981.844776000001,2.0,68.0,0.54
-8033.676119,2.0,57.0,0.26
-7983.1880599999995,2.0,64.0,0.62
-8047.419403,4.0,47.0,0.05
-7844.844776000001,2.0,63.0,0.99
-7971.297015000001,3.0,59.0,0.74
-8029.952239,4.0,44.0,0.34
-8042.420896,3.0,30.0,0.22
-7985.480597,2.0,67.0,0.53
-7912.9611939999995,3.0,52.0,0.93
-8049.864179000001,4.0,63.0,0.09
-8045.353731,4.0,9.0,0.14
-8048.576118999999,4.0,21.0,0.1
-8039.9537310000005,4.0,62.0,0.02
-8013.449254000001,4.0,70.0,0.49
-8022.197015000001,4.0,48.0,0.45
-8030.044776000001,4.0,39.0,0.29
-8049.044776000001,2.0,61.0,0.11
-8049.746269,4.0,33.0,0.07
-8040.553731,4.0,15.0,0.21
-8045.150745999999,4.0,33.0,0.16
-8049.101493000001,4.0,26.0,0.08
-8046.476119,4.0,23.0,0.03
-8034.877612,4.0,29.0,0.25
-7968.179104000001,4.0,5.0,0.41000000000000003
-8048.523881,4.0,33.0,0.15
-8049.864179000001,4.0,28.0,0.09
-8047.677612,4.0,20.0,0.12
-8030.314925,4.0,38.0,0.37
-8044.4641790000005,4.0,43.0,0.0
-8045.498506999999,4.0,17.0,0.19
-8032.1059700000005,4.0,11.0,0.32
-8042.220895999999,4.0,35.0,0.23
-8046.476119,3.0,27.0,0.03
-8030.125373000001,4.0,56.0,0.28
-8046.071642,3.0,23.0,0.19
-7987.426866,2.0,46.0,0.61
-8049.864179000001,4.0,50.0,0.09
-7941.532836,3.0,41.0,0.86
-8049.002984999999,2.0,59.0,0.14
-8028.917909999999,4.0,49.0,0.37
-8042.004478,3.0,65.0,0.24
-8047.419403,2.0,42.0,0.05
-8031.537313,4.0,68.0,0.27
-7977.677612,2.0,28.0,0.71
-8018.604478,3.0,52.0,0.46
-8031.026865999999,4.0,36.0,0.34
-8030.6567159999995,3.0,56.0,0.3
-7998.459701000001,4.0,19.0,0.52
-8043.810448,4.0,63.0,0.18
-8049.608955,2.0,60.0,0.1
-8039.9537310000005,3.0,50.0,0.02
-8040.553731,4.0,69.0,0.21
-8047.677612,4.0,24.0,0.12
-8049.746269,3.0,54.0,0.07
-8044.723881,2.0,13.0,0.17
-8049.888059999999,4.0,31.0,0.04
-8044.4641790000005,4.0,31.0,0.0
-8047.419403,2.0,45.0,0.05
-7944.764179000001,4.0,65.0,0.84
-8046.082090000001,3.0,39.0,0.14
-7944.097015,4.0,21.0,0.8
-8046.476119,3.0,34.0,0.03
-8015.070148999999,2.0,15.0,0.39
-7965.271642000001,4.0,47.0,0.64
-7967.031343000001,4.0,5.0,0.42
-8034.092537,3.0,37.0,0.32
-8040.707463,4.0,67.0,0.24
-7987.940299,2.0,25.0,0.59
-8039.895522,4.0,31.0,0.01
-8048.834328,3.0,62.0,0.11
-8011.00597,4.0,18.0,0.49
-8015.8119400000005,2.0,59.0,0.35000000000000003
-8035.558209000001,3.0,43.0,0.26
-8023.991045000001,4.0,57.0,0.44
-7913.597015,4.0,52.0,0.91
-8043.198506999999,2.0,55.0,0.2
-8048.523881,4.0,40.0,0.15
-7983.30597,3.0,22.0,0.67
-8030.717909999999,4.0,51.0,0.31
-8049.6910450000005,4.0,49.0,0.06
-8019.608955,3.0,9.0,0.47000000000000003
