AUC,D,M,gamma
-4196.228357999999,4.0,66.0,0.14
-4162.625373,4.0,11.0,0.5700000000000001
-4182.456716,2.0,56.0,0.31
-3686.052239,2.0,4.0,0.96
-4177.5253729999995,3.0,57.0,0.32
-4121.804478,3.0,18.0,0.81
-4051.1388060000004,4.0,9.0,0.91
-4196.091045,2.0,37.0,0.12
-4183.895522,3.0,8.0,0.3
-4096.985075,2.0,24.0,0.9500000000000001
-4134.068657,4.0,40.0,0.73
-4195.332836,3.0,52.0,0.25
-4116.988060000001,3.0,65.0,0.87
-4200.444775999999,4.0,64.0,0.06
-4201.065672,3.0,65.0,0.19
-4136.676119,4.0,35.0,0.71
-4183.895522,3.0,55.0,0.3
-4151.137313,3.0,17.0,0.58
-4173.052239,3.0,39.0,0.48
-4148.608955,3.0,24.0,0.61
-4193.520896,4.0,69.0,0.01
-4197.219403,4.0,45.0,0.05
-4198.595522,2.0,62.0,0.19
-4171.883582,4.0,46.0,0.44
-4177.132836,2.0,70.0,0.4
-4200.444775999999,4.0,61.0,0.06
-4193.520896,4.0,49.0,0.01
-4195.828358,2.0,70.0,0.2
-4196.091045,4.0,63.0,0.12
-4174.756716,3.0,60.0,0.38
-4198.283582,4.0,32.0,0.18
-4196.091045,2.0,52.0,0.12
-4200.444775999999,4.0,43.0,0.06
-4196.325373,3.0,30.0,0.24
-4168.735821,2.0,59.0,0.5
-4173.498507,4.0,43.0,0.37
-4199.140299000001,3.0,28.0,0.0
-4186.770149,2.0,55.0,0.27
-4196.641791,3.0,16.0,0.15
-4179.702985,4.0,50.0,0.34
-4199.470149,2.0,26.0,0.07
-4171.547761,3.0,67.0,0.51
-4199.973134000001,4.0,42.0,0.23
-4150.001493,3.0,21.0,0.63
-4171.3298509999995,2.0,35.0,0.44
-4197.547761,3.0,6.0,0.09
-4074.880597,4.0,3.0,0.29
-4197.402985,4.0,66.0,0.17
-4128.323881,3.0,14.0,0.73
-4175.8940299999995,2.0,53.0,0.33
-4046.076119,3.0,57.0,0.99
-4100.6701490000005,4.0,48.0,0.84
-4144.491045000001,4.0,60.0,0.66
-4199.931343,3.0,37.0,0.21
-4192.964179,2.0,22.0,0.04
-4156.68209,3.0,33.0,0.54
-4173.777612,4.0,68.0,0.44
-4196.280597,4.0,40.0,0.11
-4191.173134000001,3.0,46.0,0.03
-4131.773134,2.0,43.0,0.77
-4196.641791,4.0,62.0,0.15
-4173.910448,3.0,12.0,0.42
-4186.770149,2.0,57.0,0.27
-4177.026865999999,4.0,65.0,0.36
-4197.547761,3.0,52.0,0.09
-4193.520896,4.0,59.0,0.01
-4196.228357999999,4.0,54.0,0.14
-4199.7582090000005,4.0,63.0,0.22
-4197.759701,4.0,50.0,0.07
-4195.167164,4.0,70.0,0.26
-4198.283582,4.0,63.0,0.18
-4191.173134000001,4.0,38.0,0.03
-4180.0179100000005,4.0,61.0,0.31
-4198.513433,4.0,45.0,0.1
-4200.444775999999,4.0,41.0,0.06
-4118.602985,4.0,32.0,0.93
-4199.140299000001,4.0,56.0,0.0
-4196.228357999999,4.0,29.0,0.14
-4186.256716,3.0,48.0,0.29
-4196.7626869999995,4.0,20.0,0.16
-4200.883582,3.0,66.0,0.2
-4174.553731,3.0,68.0,0.47000000000000003
-4176.091045,3.0,66.0,0.35000000000000003
-4176.3298509999995,3.0,69.0,0.39
-4156.773134,3.0,59.0,0.56
-4195.828358,2.0,65.0,0.2
-4195.902985,3.0,52.0,0.13
-4196.325373,3.0,58.0,0.24
-4167.225372999999,3.0,55.0,0.52
-4175.8940299999995,2.0,50.0,0.33
-4175.835821,2.0,67.0,0.47000000000000003
-4148.608955,3.0,62.0,0.61
-4144.374627,3.0,61.0,0.68
-4197.759701,2.0,19.0,0.09
-4180.729851,3.0,69.0,0.4
-4200.740299,3.0,65.0,0.22
-4173.813433,3.0,54.0,0.42
-4183.895522,3.0,64.0,0.3
-4195.332836,3.0,8.0,0.25
-4188.397015,3.0,48.0,0.28
-4200.740299,3.0,58.0,0.22
-4201.065672,3.0,46.0,0.19
-4201.065672,3.0,45.0,0.19
-4197.828358,3.0,25.0,0.18
-4177.5253729999995,3.0,35.0,0.32
-4175.589552,3.0,37.0,0.36
-4116.988060000001,3.0,27.0,0.87
-4192.007463,3.0,44.0,0.02
-4196.091045,3.0,30.0,0.12
-4176.240299,3.0,39.0,0.45
-4160.465672,2.0,33.0,0.59
-4196.7626869999995,3.0,41.0,0.16
-4177.216418,3.0,23.0,0.41000000000000003
-4170.767164,2.0,47.0,0.49
-4175.7373130000005,3.0,45.0,0.37
-4192.964179,3.0,36.0,0.04
-4190.276119,3.0,51.0,0.27
-4197.759701,3.0,41.0,0.08
-3811.719403,2.0,1.0,0.31
-4196.280597,3.0,15.0,0.11
-4196.325373,3.0,43.0,0.24
-4197.373134,2.0,34.0,0.18
-4128.302985,3.0,39.0,0.79
-4150.104478,3.0,46.0,0.65
-4173.647761,2.0,31.0,0.34
-4160.828358,3.0,56.0,0.53
-4197.219403,3.0,53.0,0.05
-4199.140299000001,3.0,28.0,0.0
-4158.1,3.0,10.0,0.56
-4174.756716,3.0,49.0,0.38
-4149.614925,2.0,51.0,0.71
-4196.228357999999,3.0,18.0,0.14
-4195.167164,3.0,37.0,0.26
-4195.828358,2.0,47.0,0.2
-4175.573134,3.0,44.0,0.46
-4196.7626869999995,3.0,55.0,0.16
-4071.165672,3.0,42.0,0.98
-4173.934328,3.0,13.0,0.5
-4172.50597,3.0,26.0,0.43
-4180.720896,2.0,60.0,0.29
-4198.513433,3.0,53.0,0.1
-4197.759701,3.0,58.0,0.08
-4175.8940299999995,2.0,40.0,0.33
-4200.740299,3.0,50.0,0.22
-4200.444775999999,3.0,34.0,0.06
-4200.883582,3.0,63.0,0.2
-4197.828358,3.0,64.0,0.18
-4195.902985,3.0,70.0,0.13
-4195.332836,3.0,57.0,0.25
-4188.397015,3.0,61.0,0.28
-4191.173134000001,3.0,55.0,0.03
-4200.883582,3.0,67.0,0.2
-4176.091045,3.0,68.0,0.35000000000000003
-4184.016418,3.0,63.0,0.31
-4196.7626869999995,3.0,67.0,0.16
-4197.802985,3.0,60.0,0.23
-4196.091045,3.0,45.0,0.12
-4176.3298509999995,3.0,51.0,0.39
-4198.513433,3.0,48.0,0.1
-4196.228357999999,3.0,66.0,0.14
-4196.325373,3.0,39.0,0.24
-4190.276119,3.0,47.0,0.27
-4197.759701,3.0,53.0,0.07
-4197.402985,3.0,36.0,0.17
