AUC,D,M,gamma
-13206.332840000001,2.0,70.0,0.23
-12962.641790000001,3.0,32.0,0.99
-12973.667159999999,4.0,3.0,0.6
-13088.03881,2.0,54.0,0.84
-13181.61045,3.0,59.0,0.35000000000000003
-13082.31045,2.0,9.0,0.75
-13173.92985,3.0,38.0,0.45
-13130.91194,2.0,37.0,0.6900000000000001
-13115.19254,2.0,4.0,0.32
-13212.90597,2.0,23.0,0.05
-13189.70448,3.0,49.0,0.31
-13088.14925,4.0,2.0,0.1
-13122.00149,3.0,11.0,0.63
-13063.87463,4.0,6.0,0.6900000000000001
-13212.29701,3.0,33.0,0.07
-13169.69701,2.0,41.0,0.39
-13205.641790000001,3.0,18.0,0.16
-13176.11194,3.0,11.0,0.4
-13205.641790000001,3.0,26.0,0.16
-13103.84179,2.0,53.0,0.78
-13218.00448,3.0,21.0,0.0
-13218.00448,4.0,24.0,0.0
-13208.347759999999,4.0,20.0,0.01
-13218.00448,4.0,28.0,0.0
-13211.93881,4.0,29.0,0.21
-12879.32537,4.0,16.0,0.98
-13203.41045,4.0,42.0,0.24
-13140.83433,4.0,45.0,0.55
-13206.79104,4.0,63.0,0.12
-13214.37761,4.0,27.0,0.22
-13218.00448,4.0,15.0,0.0
-13172.03881,4.0,15.0,0.49
-13196.337309999999,3.0,20.0,0.27
-12966.69254,4.0,31.0,0.9500000000000001
-13207.74179,4.0,34.0,0.14
-13212.53731,4.0,15.0,0.05
-12979.92985,4.0,8.0,0.9
-13209.34179,4.0,66.0,0.18
-13169.8403,4.0,38.0,0.41000000000000003
-13186.85224,2.0,22.0,0.31
-13208.28209,4.0,24.0,0.08
-13141.9194,3.0,13.0,0.5700000000000001
-13063.288059999999,2.0,2.0,0.27
-13128.5,4.0,6.0,0.47000000000000003
-13209.1791,4.0,50.0,0.03
-13210.382090000001,3.0,29.0,0.1
-13183.90299,4.0,36.0,0.35000000000000003
-13133.62388,3.0,45.0,0.67
-13069.468659999999,4.0,10.0,0.76
-13157.27761,3.0,18.0,0.53
-13077.188059999999,4.0,59.0,0.84
-13192.5403,2.0,5.0,0.19
-13198.79701,2.0,42.0,0.26
-13180.08955,3.0,12.0,0.43
-13210.94478,3.0,8.0,0.06
-13177.61194,2.0,29.0,0.36
-13125.28507,4.0,25.0,0.61
-13208.11194,4.0,33.0,0.13
-13209.1791,4.0,47.0,0.03
-13210.382090000001,3.0,39.0,0.1
-13190.17463,4.0,18.0,0.3
-13218.00448,4.0,52.0,0.0
-13102.72239,4.0,58.0,0.8200000000000001
-13153.50149,2.0,22.0,0.65
-13116.39254,3.0,70.0,0.71
-13208.347759999999,3.0,54.0,0.01
-13206.013429999999,4.0,31.0,0.17
-13210.6597,3.0,50.0,0.21
-13205.974629999999,2.0,55.0,0.14
-13213.96567,4.0,27.0,0.04
-13211.06269,4.0,35.0,0.1
-13208.28209,4.0,68.0,0.08
-13208.347759999999,4.0,62.0,0.01
-13218.00448,4.0,14.0,0.0
-13204.17463,3.0,21.0,0.24
-13210.1194,4.0,16.0,0.15
-13208.5806,2.0,40.0,0.2
-13191.15075,4.0,14.0,0.29
-13180.8,4.0,45.0,0.37
-13206.79104,4.0,36.0,0.12
-13212.29701,4.0,18.0,0.07
-13190.83881,4.0,28.0,0.33
-13208.83582,4.0,31.0,0.23
-13209.1791,4.0,24.0,0.03
-13149.49552,4.0,47.0,0.52
-13171.811940000001,4.0,52.0,0.46
-13205.641790000001,4.0,57.0,0.16
-13210.737309999999,3.0,62.0,0.11
-13184.167159999999,2.0,4.0,0.06
-13174.90597,3.0,8.0,0.39
-13047.914929999999,4.0,42.0,0.91
-13214.0,3.0,26.0,0.19
-13159.25075,2.0,11.0,0.42
-12755.9791,4.0,1.0,0.33
-13197.20896,4.0,13.0,0.26
-13207.28657,4.0,6.0,0.02
-13194.407459999999,4.0,37.0,0.28
-13136.9806,4.0,20.0,0.5700000000000001
-13068.29403,3.0,9.0,0.73
-13212.53731,4.0,16.0,0.05
-13208.28209,4.0,43.0,0.08
-13177.3209,4.0,32.0,0.48
-13207.74179,4.0,64.0,0.14
-13210.1597,4.0,52.0,0.09
-13218.00448,3.0,23.0,0.0
-13208.14776,3.0,60.0,0.17
-13174.50597,2.0,24.0,0.44
-13204.01493,2.0,19.0,0.25
-13206.79104,3.0,34.0,0.12
-13212.53731,3.0,30.0,0.22
-13212.53731,4.0,38.0,0.05
-13060.45522,2.0,3.0,0.62
-13077.17313,4.0,27.0,0.81
-12903.88358,4.0,17.0,0.97
-13069.80746,4.0,14.0,0.88
-13207.28657,4.0,22.0,0.02
-13182.27015,4.0,25.0,0.37
-13213.811940000001,4.0,33.0,0.19
-13166.38657,3.0,21.0,0.5
-13212.29701,4.0,10.0,0.07
-13090.18955,3.0,7.0,0.59
-13210.1194,4.0,48.0,0.15
-13184.592540000001,2.0,70.0,0.32
-13218.00448,4.0,66.0,0.0
-13218.00448,3.0,40.0,0.0
-13213.96567,3.0,41.0,0.04
-13210.382090000001,3.0,28.0,0.1
-13132.98806,3.0,57.0,0.68
-13169.69701,2.0,44.0,0.39
-13208.94179,4.0,50.0,0.23
-13175.90448,2.0,13.0,0.35000000000000003
-13079.20299,3.0,2.0,0.12
-13194.32537,4.0,55.0,0.3
-13209.34179,4.0,11.0,0.18
-13208.5806,2.0,19.0,0.2
-13196.337309999999,3.0,30.0,0.27
-13209.1791,2.0,16.0,0.03
-13208.28209,3.0,25.0,0.08
-13044.2791,3.0,5.0,0.77
-13210.94478,4.0,68.0,0.06
-13210.117909999999,3.0,64.0,0.15
-13208.11194,3.0,23.0,0.13
-13204.01493,2.0,35.0,0.25
-13211.93881,4.0,14.0,0.21
-13205.62388,2.0,39.0,0.17
-13218.00448,4.0,17.0,0.0
-13208.347759999999,4.0,9.0,0.01
-13210.382090000001,3.0,21.0,0.1
-13213.96567,4.0,7.0,0.04
-13115.50149,4.0,28.0,0.65
-13207.28657,4.0,17.0,0.02
-13218.00448,3.0,46.0,0.0
-13210.94478,4.0,52.0,0.06
-12580.30597,4.0,12.0,1.0
-13210.1597,3.0,46.0,0.09
-13206.79104,3.0,23.0,0.12
-13213.96567,4.0,41.0,0.04
-13208.28209,4.0,36.0,0.08
-13205.641790000001,4.0,19.0,0.16
-13218.00448,3.0,26.0,0.0
-13210.737309999999,3.0,66.0,0.11
-13210.94478,3.0,32.0,0.06
-13207.74179,3.0,26.0,0.14
-13207.28657,3.0,34.0,0.02
-13210.134329999999,3.0,15.0,0.23
-13194.70299,4.0,60.0,0.28
-12713.71343,4.0,4.0,0.87
-13147.617909999999,4.0,9.0,0.52
-13106.2403,4.0,12.0,0.71
-13218.00448,4.0,49.0,0.0
-13209.34179,4.0,37.0,0.18
-13210.1597,3.0,55.0,0.09
-13212.53731,4.0,49.0,0.05
-13211.05373,4.0,42.0,0.2
-13212.29701,3.0,44.0,0.07
-13190.476120000001,4.0,29.0,0.34
-13171.21791,4.0,39.0,0.41000000000000003
-12995.183579999999,4.0,62.0,0.9400000000000001
-12774.59701,4.0,1.0,0.31
-13171.7806,4.0,17.0,0.45
-13209.1791,4.0,19.0,0.03
-13203.865670000001,2.0,21.0,0.16
