AUC,D,M,gamma
-25640.35224,2.0,14.0,0.02
-25628.60597,2.0,53.0,0.15
-25430.24627,3.0,7.0,0.78
-25617.8806,3.0,55.0,0.23
-25631.53134,4.0,22.0,0.03
-25372.734330000003,4.0,2.0,0.4
-25583.12687,4.0,62.0,0.5700000000000001
-25465.29851,4.0,61.0,0.84
-25395.48358,2.0,9.0,0.93
-25630.24627,3.0,60.0,0.18
-25600.31642,2.0,54.0,0.5
-25557.73881,3.0,30.0,0.67
-25589.75821,3.0,39.0,0.56
-25596.1806,2.0,54.0,0.59
-25502.97612,3.0,56.0,0.78
-25601.35821,2.0,65.0,0.46
-25604.79104,4.0,43.0,0.52
-25464.41194,4.0,43.0,0.89
-25460.034330000002,3.0,62.0,0.89
-25612.42985,2.0,21.0,0.29
-25640.35224,4.0,18.0,0.02
-25640.783580000003,2.0,16.0,0.01
-25635.36567,4.0,28.0,0.05
-25600.99254,2.0,14.0,0.34
-25586.07313,2.0,4.0,0.13
-25639.33433,2.0,14.0,0.09
-25616.25224,2.0,28.0,0.24
-25640.783580000003,2.0,12.0,0.01
-25591.1403,2.0,24.0,0.37
-25643.18806,2.0,10.0,0.0
-25631.186569999998,2.0,9.0,0.19
-25633.05522,2.0,36.0,0.07
-24941.1403,2.0,8.0,1.0
-25252.78806,3.0,1.0,0.14
-25616.25224,2.0,12.0,0.24
-25464.81045,3.0,5.0,0.68
-25581.123880000003,2.0,49.0,0.43
-25610.682090000002,2.0,18.0,0.3
-25631.3,3.0,31.0,0.12
-25612.42985,2.0,24.0,0.29
-25238.04179,3.0,1.0,0.19
-25639.33433,2.0,11.0,0.09
-25587.40597,2.0,70.0,0.64
-25640.783580000003,3.0,18.0,0.01
-25634.12985,2.0,33.0,0.17
-25480.72239,3.0,5.0,0.74
-25597.45672,3.0,22.0,0.45
-25587.07761,2.0,16.0,0.39
-25619.98358,2.0,26.0,0.22
-25623.55373,3.0,40.0,0.32
-25633.77612,4.0,49.0,0.06
-25643.18806,3.0,36.0,0.0
-25202.13134,4.0,49.0,0.99
-25599.23284,3.0,44.0,0.5
-25592.65224,3.0,57.0,0.55
-25614.2194,4.0,37.0,0.26
-25632.18806,4.0,33.0,0.11
-25634.2194,3.0,46.0,0.04
-25508.56119,3.0,40.0,0.8
-25580.02537,3.0,68.0,0.62
-25616.42687,4.0,58.0,0.35000000000000003
-25630.21791,3.0,53.0,0.16
-25635.743280000002,4.0,34.0,0.09
-25627.60149,3.0,29.0,0.21
-25602.39403,3.0,52.0,0.42
-25640.783580000003,2.0,20.0,0.01
-25632.414930000003,2.0,20.0,0.04
-25589.80896,3.0,3.0,0.0
-25609.49701,2.0,25.0,0.26
-25630.74478,2.0,38.0,0.11
-25628.44179,3.0,10.0,0.15
-25634.90597,2.0,7.0,0.06
-25640.35224,2.0,26.0,0.02
-25628.17463,2.0,16.0,0.2
-25634.34627,3.0,31.0,0.08
-25643.18806,2.0,20.0,0.0
-25558.62836,2.0,23.0,0.7000000000000001
-25632.2806,3.0,14.0,0.13
-25632.19254,2.0,7.0,0.17
-25467.51194,3.0,35.0,0.88
-25607.93134,2.0,42.0,0.27
-25611.48806,2.0,12.0,0.31
-25592.65672,3.0,28.0,0.54
-25618.59851,2.0,18.0,0.23
-25582.534330000002,3.0,31.0,0.58
-25632.22985,2.0,46.0,0.03
-25612.49254,4.0,15.0,0.37
-25632.18806,3.0,6.0,0.11
-25598.88657,2.0,9.0,0.46
-25510.75821,2.0,2.0,0.07
