AUC,D,M,gamma
-7233.358209,3.0,89.0,0.17
-7235.68209,3.0,24.0,0.06
-7236.264179000001,5.0,70.0,0.15
-7206.889552,4.0,47.0,0.38
-7230.273134,5.0,74.0,0.04
-7156.389552,4.0,76.0,0.91
-7151.274627,5.0,56.0,0.86
-7191.502984999999,5.0,78.0,0.61
-7207.473134000001,4.0,65.0,0.35000000000000003
-7139.202984999999,5.0,7.0,0.65
-7196.149254000001,4.0,100.0,0.52
-7231.695522,4.0,23.0,0.18
-7216.895522,3.0,76.0,0.31
-7181.073134,5.0,38.0,0.76
-7195.302984999999,4.0,40.0,0.66
-7232.059701,4.0,95.0,0.07
-7140.195522,4.0,69.0,0.88
-7234.5358209999995,3.0,15.0,0.14
-7227.362687000001,3.0,89.0,0.03
-7196.149254000001,4.0,89.0,0.52
-7215.695522,3.0,29.0,0.29
-7228.926866,3.0,56.0,0.24
-6716.5462689999995,5.0,1.0,0.43
-7226.991045000001,5.0,23.0,0.01
-7232.970149,3.0,62.0,0.08
-7224.504478,3.0,46.0,0.26
-7235.534328,5.0,32.0,0.14
-7203.873134,5.0,10.0,0.42
-7233.137312999999,3.0,84.0,0.22
-7234.1134329999995,3.0,56.0,0.1
-7231.695522,4.0,42.0,0.18
-7204.465672,5.0,50.0,0.44
-7232.274627,4.0,19.0,0.0
-7082.770148999999,3.0,33.0,0.97
-7206.2447760000005,5.0,81.0,0.37
-7194.1567159999995,5.0,69.0,0.58
-7157.962687,4.0,3.0,0.11
-7171.398506999999,4.0,60.0,0.78
-7212.9507459999995,5.0,70.0,0.33
-7233.137312999999,3.0,97.0,0.22
-7230.273134,4.0,47.0,0.04
-7233.358209,5.0,13.0,0.17
-7200.246269,3.0,36.0,0.47000000000000003
-7218.395522,4.0,29.0,0.27
-7209.186567,5.0,73.0,0.39
-7197.737313,4.0,64.0,0.7000000000000001
-7234.0358209999995,3.0,25.0,0.05
-7195.674626999999,4.0,52.0,0.5700000000000001
-7216.541791,5.0,80.0,0.33
-7232.037313,4.0,43.0,0.2
-7234.547761,3.0,19.0,0.12
-7201.316418,4.0,93.0,0.51
-7232.274627,5.0,59.0,0.0
-7122.938806,3.0,6.0,0.81
-7215.9641790000005,5.0,37.0,0.3
-7232.059701,4.0,52.0,0.07
-7189.016418000001,3.0,74.0,0.7000000000000001
-7233.983581999999,5.0,67.0,0.16
-7074.779104000001,3.0,17.0,0.9500000000000001
-7227.746269,4.0,86.0,0.25
-7198.735820999999,3.0,100.0,0.48
-7195.901493,5.0,24.0,0.55
-7225.477612000001,3.0,92.0,0.02
-7196.417909999999,4.0,11.0,0.62
-7234.364179000001,5.0,27.0,0.13
-7234.3,5.0,32.0,0.09
-7232.51791,5.0,44.0,0.21
-7208.698506999999,5.0,31.0,0.4
-7235.534328,5.0,49.0,0.14
-7211.237313,5.0,58.0,0.35000000000000003
-7215.404478,5.0,35.0,0.28
-7235.68209,5.0,49.0,0.06
