,AUC,Beta1,Beta2
0,6831.434328358209,1.0,0.0
1,7027.44776119403,1.0,0.1
2,7136.979104477612,1.0,0.2
3,7227.247761194029,1.0,0.30000000000000004
4,7254.713432835821,1.0,0.4
5,7392.79104477612,1.0,0.5
6,7401.0686567164175,1.0,0.6000000000000001
7,7429.919402985075,1.0,0.7000000000000001
8,7578.183582089552,1.0,0.8
9,7642.94328358209,1.0,0.9
10,7662.434328358209,1.0,1.0
11,7648.719402985074,1.0,1.1
12,7658.243283582089,1.0,1.2000000000000002
13,7700.125373134329,1.0,1.3
14,7689.04776119403,1.0,1.4000000000000001
15,7665.401492537313,1.0,1.5
16,7683.074626865671,1.0,1.6
17,7717.217910447761,1.0,1.7000000000000002
18,7733.4313432835825,1.0,1.8
19,7738.077611940298,1.0,1.9000000000000001
20,7744.664179104478,1.0,2.0
21,7746.807462686567,1.0,2.1
22,7746.158208955224,1.0,2.2
23,7747.598507462687,1.0,2.3000000000000003
24,7775.694029850746,1.0,2.4000000000000004
25,7795.4,1.0,2.5
26,7771.405970149253,1.0,2.6
27,7785.658208955224,1.0,2.7
28,7840.192537313433,1.0,2.8000000000000003
29,7814.901492537313,1.0,2.9000000000000004
30,7815.513432835821,1.0,3.0
31,7818.826865671642,1.0,3.1
32,7826.149253731343,1.0,3.2
33,7841.491044776119,1.0,3.3000000000000003
34,7831.682089552239,1.0,3.4000000000000004
35,7825.031343283582,1.0,3.5
36,7886.456716417911,1.0,3.6
37,7883.870149253731,1.0,3.7
38,7886.498507462687,1.0,3.8000000000000003
39,7859.99552238806,1.0,3.9000000000000004
40,7855.55223880597,1.0,4.0
41,7866.771641791045,1.0,4.1000000000000005
42,7880.05223880597,1.0,4.2
43,7874.807462686567,1.0,4.3
44,7875.937313432836,1.0,4.4
45,7873.297014925373,1.0,4.5
46,7879.543283582089,1.0,4.6000000000000005
47,7876.355223880597,1.0,4.7
48,7886.605970149254,1.0,4.800000000000001
49,7909.032835820895,1.0,4.9
50,7906.6955223880595,1.0,5.0
51,7908.288059701493,1.0,5.1000000000000005
52,7915.514925373134,1.0,5.2
53,7906.858208955224,1.0,5.300000000000001
54,7906.414925373134,1.0,5.4
55,7904.585074626866,1.0,5.5
56,7894.240298507462,1.0,5.6000000000000005
57,7909.429850746269,1.0,5.7
58,7936.611940298508,1.0,5.800000000000001
59,7934.743283582089,1.0,5.9
60,7943.653731343284,1.0,6.0
61,7261.174626865672,2.0,0.0
62,7308.311940298508,2.0,0.1
63,7328.738805970149,2.0,0.2
64,7467.185074626866,2.0,0.30000000000000004
65,7537.467164179105,2.0,0.4
66,7531.265671641791,2.0,0.5
67,7550.35671641791,2.0,0.6000000000000001
68,7569.723880597015,2.0,0.7000000000000001
69,7650.876119402985,2.0,0.8
70,7657.043283582089,2.0,0.9
71,7700.253731343284,2.0,1.0
72,7731.56119402985,2.0,1.1
73,7698.134328358209,2.0,1.2000000000000002
74,7674.361194029851,2.0,1.3
75,7675.355223880597,2.0,1.4000000000000001
76,7740.479104477612,2.0,1.5
77,7761.010447761194,2.0,1.6
78,7787.461194029851,2.0,1.7000000000000002
79,7775.779104477612,2.0,1.8
80,7772.737313432835,2.0,1.9000000000000001
81,7758.189552238806,2.0,2.0
82,7774.308955223881,2.0,2.1
83,7765.834328358209,2.0,2.2
84,7834.4701492537315,2.0,2.3000000000000003
85,7831.713432835821,2.0,2.4000000000000004
86,7823.862686567164,2.0,2.5
87,7851.691044776119,2.0,2.6
88,7836.170149253731,2.0,2.7
89,7842.131343283582,2.0,2.8000000000000003
90,7874.161194029851,2.0,2.9000000000000004
91,7851.1955223880595,2.0,3.0
92,7872.7268656716415,2.0,3.1
93,7857.492537313433,2.0,3.2
94,7836.023880597015,2.0,3.3000000000000003
95,7846.538805970149,2.0,3.4000000000000004
96,7853.340298507463,2.0,3.5
97,7860.485074626866,2.0,3.6
98,7858.038805970149,2.0,3.7
99,7877.670149253731,2.0,3.8000000000000003
100,7866.662686567164,2.0,3.9000000000000004
101,7878.380597014925,2.0,4.0
102,7882.3820895522385,2.0,4.1000000000000005
103,7889.968656716418,2.0,4.2
104,7884.577611940298,2.0,4.3
105,7887.910447761194,2.0,4.4
106,7893.937313432836,2.0,4.5
107,7885.770149253732,2.0,4.6000000000000005
108,7898.210447761194,2.0,4.7
109,7913.620895522388,2.0,4.800000000000001
110,7912.531343283582,2.0,4.9
111,7918.425373134329,2.0,5.0
112,7906.326865671642,2.0,5.1000000000000005
113,7905.231343283582,2.0,5.2
114,7903.676119402985,2.0,5.300000000000001
115,7900.589552238806,2.0,5.4
116,7913.565671641791,2.0,5.5
117,7927.9805970149255,2.0,5.6000000000000005
118,7953.09104477612,2.0,5.7
119,7962.09552238806,2.0,5.800000000000001
120,7980.374626865671,2.0,5.9
121,7982.362686567164,2.0,6.0
122,7369.422388059702,3.0,0.0
