,AUC,Beta1,Beta2
0,6091.316417910448,1.0,0.0
1,6268.067164179104,1.0,0.1
2,6374.219402985074,1.0,0.2
3,6454.485074626866,1.0,0.30000000000000004
4,6488.1671641791045,1.0,0.4
5,6609.231343283582,1.0,0.5
6,6621.238805970149,1.0,0.6000000000000001
7,6648.70895522388,1.0,0.7000000000000001
8,6788.367164179104,1.0,0.8
9,6847.682089552239,1.0,0.9
10,6865.688059701492,1.0,1.0
11,6855.083582089553,1.0,1.1
12,6863.9313432835825,1.0,1.2000000000000002
13,6898.45223880597,1.0,1.3
14,6895.150746268657,1.0,1.4000000000000001
15,6872.035820895522,1.0,1.5
16,6890.55223880597,1.0,1.6
17,6924.937313432836,1.0,1.7000000000000002
18,6937.1,1.0,1.8
19,6944.45223880597,1.0,1.9000000000000001
20,6949.6671641791045,1.0,2.0
21,6951.598507462687,1.0,2.1
22,6950.967164179105,1.0,2.2
23,6954.037313432836,1.0,2.3000000000000003
24,6979.838805970149,1.0,2.4000000000000004
25,7001.577611940298,1.0,2.5
26,6973.722388059701,1.0,2.6
27,6988.988059701493,1.0,2.7
28,7041.576119402985,1.0,2.8000000000000003
29,7019.192537313433,1.0,2.9000000000000004
30,7021.011940298507,1.0,3.0
31,7022.434328358209,1.0,3.1
32,7029.523880597015,1.0,3.2
33,7042.805970149254,1.0,3.3000000000000003
34,7033.067164179104,1.0,3.4000000000000004
35,7025.425373134329,1.0,3.5
36,7084.434328358209,1.0,3.6
37,7083.059701492537,1.0,3.7
38,7085.238805970149,1.0,3.8000000000000003
39,7061.79104477612,1.0,3.9000000000000004
40,7057.3044776119405,1.0,4.0
41,7066.6671641791045,1.0,4.1000000000000005
42,7078.514925373134,1.0,4.2
43,7075.302985074627,1.0,4.3
44,7075.626865671642,1.0,4.4
45,7070.502985074627,1.0,4.5
46,7077.074626865671,1.0,4.6000000000000005
47,7075.822388059702,1.0,4.7
48,7084.261194029851,1.0,4.800000000000001
49,7105.779104477612,1.0,4.9
50,7104.764179104478,1.0,5.0
51,7106.835820895522,1.0,5.1000000000000005
52,7112.841791044776,1.0,5.2
53,7108.125373134329,1.0,5.300000000000001
54,7107.93880597015,1.0,5.4
55,7105.737313432835,1.0,5.5
56,7095.456716417911,1.0,5.6000000000000005
57,7110.997014925373,1.0,5.7
58,7134.676119402985,1.0,5.800000000000001
59,7133.385074626865,1.0,5.9
60,7142.044776119403,1.0,6.0
61,6496.395522388059,2.0,0.0
62,6533.4,2.0,0.1
63,6558.979104477612,2.0,0.2
64,6685.329850746269,2.0,0.30000000000000004
65,6750.734328358209,2.0,0.4
66,6750.202985074627,2.0,0.5
67,6764.4805970149255,2.0,0.6000000000000001
