Budget,DISCLOSEPolicy_Benefit_70,DISCLOSEPolicy_70_0.25,DISCLOSEPolicy_70_0.5,DISCLOSEPolicy_70_0.75,StaticPolicy_Benefit_70,StaticPolicy_70_0.25,StaticPolicy_70_0.5,StaticPolicy_70_0.75,MCTSPolicy_Benefit_70,MCTSPolicy_70_0.25,MCTSPolicy_70_0.5,MCTSPolicy_70_0.75
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.9958100558659218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2.9958100558659218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3.5865921787709496,0.0,0.0,0.0,2.9958100558659218,0.0,0.0,0.0,2.691340782122905,0.0,0.0,0.0
9,3.5865921787709496,0.0,0.0,0.0,2.9958100558659218,0.0,0.0,0.0,2.691340782122905,0.0,0.0,0.0
10,33.608938547486034,0.0,0.0,88.0,34.33659217877095,0.0,0.0,88.0,33.374301675977655,0.0,0.0,88.0
11,35.77513966480447,0.0,0.0,88.0,37.71368715083799,0.0,0.0,88.0,36.20670391061452,0.0,0.0,88.0
12,40.023743016759774,0.0,47.0,88.0,42.752793296089386,0.0,0.0,88.0,42.79050279329609,0.0,47.0,88.0
13,51.07122905027933,0.0,51.0,88.0,44.365921787709496,0.0,0.0,88.0,52.2695530726257,0.0,55.0,88.0
14,51.07122905027933,0.0,51.0,88.0,44.365921787709496,0.0,0.0,88.0,52.2695530726257,0.0,55.0,88.0
15,58.06843575418994,0.0,55.0,88.0,55.49301675977654,0.0,55.0,88.0,61.48324022346369,0.0,78.0,88.0
