Budget,DISCLOSEPolicy_Benefit_65,DISCLOSEPolicy_65_0.25,DISCLOSEPolicy_65_0.5,DISCLOSEPolicy_65_0.75,StaticPolicy_Benefit_65,StaticPolicy_65_0.25,StaticPolicy_65_0.5,StaticPolicy_65_0.75,MCTSPolicy_Benefit_65,MCTSPolicy_65_0.25,MCTSPolicy_65_0.5,MCTSPolicy_65_0.75
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.9958100558659218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4134078212290504,0.0,0.0,0.0
7,2.9958100558659218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4134078212290504,0.0,0.0,0.0
8,3.5865921787709496,0.0,0.0,0.0,2.9958100558659218,0.0,0.0,0.0,10.418994413407821,0.0,0.0,0.0
9,3.5865921787709496,0.0,0.0,0.0,2.9958100558659218,0.0,0.0,0.0,10.418994413407821,0.0,0.0,0.0
10,33.608938547486034,0.0,0.0,88.0,34.33659217877095,0.0,0.0,88.0,31.435754189944134,0.0,0.0,78.0
11,35.77513966480447,0.0,0.0,88.0,37.71368715083799,0.0,0.0,88.0,34.26815642458101,0.0,0.0,88.0
12,40.023743016759774,0.0,47.0,88.0,42.752793296089386,0.0,0.0,88.0,41.150837988826815,0.0,47.0,88.0
13,51.07122905027933,0.0,51.0,88.0,44.365921787709496,0.0,0.0,88.0,47.19972067039106,0.0,55.0,88.0
14,51.07122905027933,0.0,51.0,88.0,44.365921787709496,0.0,0.0,88.0,47.19972067039106,0.0,55.0,88.0
15,58.06843575418994,0.0,55.0,88.0,55.49301675977654,0.0,55.0,88.0,56.04329608938548,0.0,55.0,88.0
