AUC,D,M,gamma
-11642.38369,3.0,61.0,0.03
-11553.740179999999,3.0,52.0,0.51
-11641.44109,3.0,21.0,0.07
-11465.09063,4.0,43.0,0.81
-11406.78248,3.0,45.0,0.91
-11548.7855,4.0,19.0,0.53
-11642.38369,2.0,23.0,0.03
-11184.172209999999,3.0,2.0,0.67
-11584.32628,2.0,9.0,0.64
-11597.19637,3.0,22.0,0.27
-11599.99396,2.0,43.0,0.32
-11564.09668,2.0,32.0,0.53
-11461.92447,4.0,38.0,0.81
-11566.749240000001,3.0,51.0,0.46
-10785.61631,3.0,2.0,0.88
-11580.34743,3.0,4.0,0.3
-11331.85196,4.0,28.0,0.9500000000000001
-11498.93353,3.0,64.0,0.73
-11524.89728,3.0,53.0,0.63
-11560.571000000002,2.0,58.0,0.71
-11642.38369,2.0,68.0,0.03
-11623.66767,2.0,13.0,0.15
-11623.66767,2.0,70.0,0.15
-11616.7855,4.0,69.0,0.17
-11643.70393,2.0,61.0,0.01
-11589.540790000001,2.0,68.0,0.39
-11637.45619,3.0,57.0,0.0
-11597.46224,4.0,62.0,0.23
-11636.01813,3.0,51.0,0.08
-11600.35347,3.0,62.0,0.22
-11636.906340000001,3.0,57.0,0.1
-11562.50151,4.0,38.0,0.38
-11637.912390000001,2.0,47.0,0.09
-11643.70393,4.0,48.0,0.01
-11643.70393,4.0,47.0,0.01
-11553.770390000001,4.0,40.0,0.4
-11601.50755,4.0,34.0,0.2
-11551.24773,4.0,29.0,0.48
-11640.98792,2.0,65.0,0.11
-11533.35952,4.0,47.0,0.58
-11580.64653,4.0,17.0,0.33
-11641.601209999999,4.0,26.0,0.04
-11637.45619,4.0,43.0,0.0
-11596.66465,4.0,53.0,0.28
-11566.14804,4.0,47.0,0.43
-11596.7281,4.0,32.0,0.24
-11264.613290000001,4.0,38.0,1.0
-11580.64653,4.0,42.0,0.33
-11640.43807,4.0,49.0,0.05
-11566.62236,2.0,55.0,0.55
-11633.555890000001,3.0,59.0,0.13
-11471.12991,4.0,35.0,0.8
-11615.87915,4.0,45.0,0.19
-11556.56193,4.0,24.0,0.36
-11596.679759999999,3.0,8.0,0.26
-11469.84592,2.0,66.0,0.87
-11573.12387,2.0,55.0,0.6
-11560.571000000002,4.0,40.0,0.46
-11511.72508,3.0,19.0,0.7000000000000001
-11639.14804,2.0,62.0,0.05
-11618.28097,3.0,31.0,0.16
-11597.87613,4.0,50.0,0.29
-11539.79456,4.0,44.0,0.51
-11633.613290000001,3.0,37.0,0.12
-11460.048340000001,4.0,41.0,0.75
-11642.38369,3.0,54.0,0.02
-11638.1571,2.0,58.0,0.07
-11643.70393,3.0,60.0,0.01
-11617.28399,4.0,48.0,0.18
-11623.01813,3.0,66.0,0.14
-11637.45619,3.0,60.0,0.0
-11636.01813,4.0,52.0,0.08
-11600.35347,4.0,56.0,0.22
-11639.14804,2.0,69.0,0.05
-11637.395770000001,3.0,45.0,0.11
-11597.48943,4.0,51.0,0.25
-11638.1571,2.0,63.0,0.07
-11600.74622,4.0,46.0,0.2
-11637.45619,3.0,33.0,0.0
-11618.06647,4.0,37.0,0.15
-11593.13595,2.0,29.0,0.35000000000000003
-11586.10574,4.0,64.0,0.31
-11558.262840000001,4.0,49.0,0.42
-11642.38369,3.0,40.0,0.03
-11601.69486,4.0,53.0,0.21
-11406.31118,2.0,67.0,0.99
-11636.906340000001,4.0,26.0,0.1
-11509.48036,4.0,43.0,0.66
-11598.42598,2.0,56.0,0.27
-11622.459209999999,2.0,61.0,0.18
-11633.555890000001,4.0,35.0,0.13
-11437.3716,3.0,50.0,0.88
-11561.84894,2.0,59.0,0.54
-11642.38369,3.0,39.0,0.02
-11637.912390000001,4.0,14.0,0.09
-11555.79456,4.0,31.0,0.47000000000000003
-11638.58308,3.0,57.0,0.06
-11565.45015,4.0,48.0,0.43
-11618.28097,3.0,70.0,0.16
-11387.3565,4.0,52.0,0.92
-11596.7281,4.0,54.0,0.24
-11556.54381,3.0,41.0,0.5700000000000001
-11449.89426,4.0,64.0,0.79
-11596.048340000001,2.0,45.0,0.36
-11594.46828,3.0,60.0,0.29
-11642.38369,4.0,43.0,0.03
-11467.14804,4.0,46.0,0.84
-11636.27492,2.0,21.0,0.13
-11643.70393,2.0,69.0,0.01
-11573.474320000001,2.0,68.0,0.61
-11569.48943,2.0,65.0,0.49
-11578.175229999999,3.0,58.0,0.34
-11637.45619,3.0,69.0,0.0
-11593.48943,2.0,66.0,0.38
-11637.395770000001,4.0,5.0,0.11
-11600.35347,3.0,62.0,0.22
-11636.01813,2.0,55.0,0.08
-11586.10574,4.0,36.0,0.31
-11616.7855,4.0,26.0,0.17
-11641.601209999999,3.0,63.0,0.04
-11520.83686,2.0,51.0,0.77
-11615.87915,4.0,18.0,0.19
-11567.27492,2.0,70.0,0.51
-11597.19637,3.0,60.0,0.27
-11638.58308,3.0,57.0,0.06
-11498.969790000001,4.0,10.0,0.68
-11623.66767,2.0,67.0,0.15
-11597.48943,4.0,49.0,0.25
-11553.770390000001,4.0,47.0,0.4
-11636.906340000001,4.0,33.0,0.1
-11566.87915,4.0,42.0,0.45
-11643.70393,3.0,54.0,0.01
-11642.38369,3.0,65.0,0.02
-11498.93353,3.0,63.0,0.73
-11613.43505,2.0,52.0,0.2
-11358.658609999999,3.0,68.0,0.97
-11640.43807,3.0,54.0,0.05
-11633.613290000001,4.0,39.0,0.12
-11641.44109,3.0,61.0,0.07
-11637.45619,3.0,58.0,0.0
-11599.99396,2.0,56.0,0.32
-11475.43202,2.0,44.0,0.84
-11625.1994,2.0,59.0,0.14
-11616.7855,4.0,28.0,0.17
-11637.912390000001,4.0,50.0,0.09
-11642.38369,3.0,54.0,0.03
-11637.45619,3.0,53.0,0.0
-11641.601209999999,3.0,46.0,0.04
-11597.46224,4.0,37.0,0.23
-11636.906340000001,4.0,49.0,0.1
-11636.01813,4.0,41.0,0.08
-11639.3565,2.0,61.0,0.12
-11641.44109,4.0,48.0,0.07
-11643.70393,3.0,51.0,0.01
-11643.70393,3.0,64.0,0.01
-11623.01813,3.0,66.0,0.14
-11640.43807,4.0,31.0,0.05
-11612.31118,3.0,44.0,0.19
-11618.28097,3.0,35.0,0.16
-11594.46828,3.0,56.0,0.29
-11601.69486,3.0,63.0,0.21
-11642.38369,4.0,38.0,0.03
-11643.70393,3.0,70.0,0.01
-11596.679759999999,3.0,67.0,0.26
-11636.906340000001,3.0,70.0,0.1
-11495.5861,4.0,2.0,0.13
-11638.58308,3.0,59.0,0.06
-11598.030209999999,3.0,69.0,0.23
-11622.658609999999,2.0,64.0,0.17
-11557.62538,3.0,68.0,0.37
-11563.05136,3.0,62.0,0.41000000000000003
-11516.80665,3.0,53.0,0.65
-11636.01813,4.0,42.0,0.08
-11637.395770000001,4.0,47.0,0.11
-11641.601209999999,2.0,60.0,0.04
-11618.06647,3.0,58.0,0.15
-11389.873109999999,4.0,24.0,0.93
-11637.45619,2.0,51.0,0.0
-11642.38369,2.0,65.0,0.02
-11612.31118,3.0,67.0,0.19
-11542.85498,4.0,55.0,0.5700000000000001
-11638.58308,2.0,57.0,0.06
-11580.4139,4.0,46.0,0.34
-11591.18731,3.0,61.0,0.3
-11633.613290000001,3.0,50.0,0.12
-11538.57402,3.0,55.0,0.62
-11564.09668,2.0,69.0,0.53
-11564.40785,4.0,40.0,0.44
-11597.48943,4.0,34.0,0.25
-11636.01813,4.0,44.0,0.08
-11637.912390000001,4.0,15.0,0.09
-11603.68882,4.0,38.0,0.21
-11642.38369,2.0,66.0,0.03
-11504.33233,4.0,10.0,0.6900000000000001
-11597.19637,3.0,48.0,0.27
-11575.80967,2.0,69.0,0.59
-11640.43807,4.0,30.0,0.05
-11616.7855,3.0,59.0,0.17
-11623.01813,3.0,64.0,0.14
-11598.030209999999,3.0,62.0,0.23
-11640.98792,2.0,63.0,0.11
-11637.45619,3.0,56.0,0.0
-11642.38369,3.0,53.0,0.02
-11641.44109,4.0,33.0,0.07
-11424.50453,3.0,60.0,0.89
-11617.28399,4.0,21.0,0.18
-11555.42598,2.0,65.0,0.73
-11643.70393,3.0,70.0,0.01
