AUC,Beta1,Beta2
5224.495468,1,0
5422.287009,1,0.1
5531.193353,1,0.2
5671.912387,1,0.3
5671.900302,1,0.4
5568.253776,1,0.5
5637.160121,1,0.6
5637.07855,1,0.7
5754.927492,1,0.8
5768.812689,1,0.9
5799.048338,1,1
5801.498489,1,1.1
5867.404834,1,1.2
5894.643505,1,1.3
5895.123867,1,1.4
5876.07855,1,1.5
5910.217523,1,1.6
5903.226586,1,1.7
5903.63142,1,1.8
5887.187311,1,1.9
5872.891239,1,2
5910.404834,1,2.1
5935.377644,1,2.2
5969.39577,1,2.3
5991.359517,1,2.4
5994.966767,1,2.5
6008.181269,1,2.6
6013.712991,1,2.7
6066.087613,1,2.8
6072.706949,1,2.9
6061.537764,1,3
6079.015106,1,3.1
6063.353474,1,3.2
6043.099698,1,3.3
6055.486405,1,3.4
6067.516616,1,3.5
6133.607251,1,3.6
6137.758308,1,3.7
6138.160121,1,3.8
6144.087613,1,3.9
6157.954683,1,4
6142.592145,1,4.1
6140.549849,1,4.2
6123.740181,1,4.3
6123.927492,1,4.4
6111.89426,1,4.5
6092.558912,1,4.6
6097.821752,1,4.7
6108.175227,1,4.8
6110.410876,1,4.9
6116.063444,1,5
6113.401813,1,5.1
6118.199396,1,5.2
6140.55287,1,5.3
6140.97281,1,5.4
6151.555891,1,5.5
6158.851964,1,5.6
6164.456193,1,5.7
6169.63142,1,5.8
6172.519637,1,5.9
6166.302115,1,6
5565.302115,2,0
5586.70997,2,0.1
5599.848943,2,0.2
5652.045317,2,0.3
5675.649547,2,0.4
5773.89426,2,0.5
5749.371601,2,0.6
5759.589124,2,0.7
5806.652568,2,0.8
5845.939577,2,0.9
5893.782477,2,1
5890.824773,2,1.1
5867.912387,2,1.2
5886.649547,2,1.3
5933.706949,2,1.4
5966.89426,2,1.5
5956.374622,2,1.6
5965.867069,2,1.7
5967.861027,2,1.8
5988.413897,2,1.9
6027.069486,2,2
5992.398792,2,2.1
6021.410876,2,2.2
6032.700906,2,2.3
6040.190332,2,2.4
6038.18429,2,2.5
6105.858006,2,2.6
6120.377644,2,2.7
6083.1571,2,2.8
6088.589124,2,2.9
6103.169184,2,3
6094.380665,2,3.1
6097.755287,2,3.2
6114.314199,2,3.3
6125.024169,2,3.4
6123.160121,2,3.5
6134.975831,2,3.6
6138.250755,2,3.7
6140.592145,2,3.8
6149.069486,2,3.9
6129.169184,2,4
6122.558912,2,4.1
6101.21148,2,4.2
6080.141994,2,4.3
6081.054381,2,4.4
6098.172205,2,4.5
6097.410876,2,4.6
6098.425982,2,4.7
6146.063444,2,4.8
