AUC,Beta1,Beta2
2806.936556,1,0
2897.94864,1,0.1
2985.65861,1,0.2
3077.196375,1,0.3
3075.888218,1,0.4
3016.462236,1,0.5
3046.438066,1,0.6
3045.123867,1,0.7
3121.945619,1,0.8
3121.791541,1,0.9
3128.199396,1,1
3127.44713,1,1.1
3180.679758,1,1.2
3205.102719,1,1.3
3209.126888,1,1.4
3186.465257,1,1.5
3213.36858,1,1.6
3221.978852,1,1.7
3220.957704,1,1.8
3198.667674,1,1.9
3191.939577,1,2
3201.166163,1,2.1
3222.226586,1,2.2
3262.160121,1,2.3
3272.966767,1,2.4
3287.072508,1,2.5
3281.918429,1,2.6
3298.655589,1,2.7
3345.619335,1,2.8
3348.770393,1,2.9
3342.58006,1,3
3347.770393,1,3.1
3334.987915,1,3.2
3317.957704,1,3.3
3323.483384,1,3.4
3325.622356,1,3.5
3384.308157,1,3.6
3384.114804,1,3.7
3386.619335,1,3.8
3395.55287,1,3.9
3406.625378,1,4
3398.108761,1,4.1
3409.543807,1,4.2
3398.02719,1,4.3
3404.800604,1,4.4
3384.984894,1,4.5
3370.090634,1,4.6
3369.945619,1,4.7
3375.909366,1,4.8
3369.175227,1,4.9
3374.302115,1,5
3371.52568,1,5.1
3379.58006,1,5.2
3397.386707,1,5.3
3395.453172,1,5.4
3409.18429,1,5.5
3412.879154,1,5.6
3416.873112,1,5.7
3422.676737,1,5.8
3429.728097,1,5.9
3431.867069,1,6
3022.806647,2,0
3020.465257,2,0.1
3025.229607,2,0.2
3068.256798,2,0.3
3085.003021,2,0.4
3129.314199,2,0.5
3115.220544,2,0.6
3113.305136,2,0.7
3144.166163,2,0.8
3185.456193,2,0.9
3209.36858,2,1
3208.268882,2,1.1
3190.882175,2,1.2
3201.096677,2,1.3
3223.172205,2,1.4
3270.151057,2,1.5
3264.422961,2,1.6
3273.987915,2,1.7
3263.299094,2,1.8
3283.181269,2,1.9
3291.287009,2,2
3283.238671,2,2.1
3303.039275,2,2.2
3321.676737,2,2.3
3328.468278,2,2.4
3324.23565,2,2.5
3378.063444,2,2.6
3393.830816,2,2.7
3373.438066,2,2.8
3362.900302,2,2.9
3367.827795,2,3
3359.075529,2,3.1
3366.873112,2,3.2
3373.160121,2,3.3
3381.806647,2,3.4
3381.018127,2,3.5
3389.111782,2,3.6
3392.087613,2,3.7
3395.138973,2,3.8
3399.728097,2,3.9
3390.009063,2,4
3386.268882,2,4.1
3381.193353,2,4.2
3364.265861,2,4.3
3359.555891,2,4.4
3364.888218,2,4.5
3368.006042,2,4.6
3365.410876,2,4.7
3402.429003,2,4.8
3400.114804,2,4.9
3399.534743,2,5
3397.830816,2,5.1
3407.232628,2,5.2
3421.271903,2,5.3
3412.700906,2,5.4
3413.256798,2,5.5
3416.773414,2,5.6
3421.697885,2,5.7
3434.335347,2,5.8
3438.522659,2,5.9
3438.845921,2,6
3041.108761,3,0
3090.02719,3,0.1
3094,3,0.2
3151.969789,3,0.3
3130.81571,3,0.4
3177.398792,3,0.5
3244.247734,3,0.6
3235.138973,3,0.7
3269.160121,3,0.8
3233.854985,3,0.9
3246.531722,3,1
3265.507553,3,1.1
3275.072508,3,1.2
3260.670695,3,1.3
3278.223565,3,1.4
3285.253776,3,1.5
3317.749245,3,1.6
3333.483384,3,1.7
3374.567976,3,1.8
3374.567976,3,1.9
3372.154079,3,2
3362.70997,3,2.1
3363.682779,3,2.2
3351.990937,3,2.3
3374.259819,3,2.4
3359.882175,3,2.5
3351.413897,3,2.6
3354.356495,3,2.7
3360.867069,3,2.8
3357.187311,3,2.9
3354.531722,3,3
3359.338369,3,3.1
3379.44713,3,3.2
3397.960725,3,3.3
3398.34139,3,3.4
3385.172205,3,3.5
3398.268882,3,3.6
3413.459215,3,3.7
3390.268882,3,3.8
3378.120846,3,3.9
3376.694864,3,4
3373.670695,3,4.1
3368.900302,3,4.2
3389.160121,3,4.3
3391.92145,3,4.4
3391.543807,3,4.5
3403.438066,3,4.6
3401.311178,3,4.7
3417.646526,3,4.8
3415.422961,3,4.9
3415.706949,3,5
3412.848943,3,5.1
3397.879154,3,5.2
3421.371601,3,5.3
3432.202417,3,5.4
3439.851964,3,5.5
3448.797583,3,5.6
3443.486405,3,5.7
3438.649547,3,5.8
3451.47432,3,5.9
3446.05136,3,6
3153.36858,4,0
3182.311178,4,0.1
3257.063444,4,0.2
3266.253776,4,0.3
3247.637462,4,0.4
3236.468278,4,0.5
3263.673716,4,0.6
3251.036254,4,0.7
3256.78852,4,0.8
3273.181269,4,0.9
3291.223565,4,1
3289.296073,4,1.1
3326.489426,4,1.2
3343.879154,4,1.3
