AUC,Beta1,Beta2
23160.99698,1,0
23546.59215,1,0.1
23642.06042,1,0.2
23854.40785,1,0.3
23954.17523,1,0.4
23915.85801,1,0.5
23974.37764,1,0.6
23953.93353,1,0.7
24171.39275,1,0.8
24171.1571,1,0.9
24281.09668,1,1
24193.13293,1,1.1
24261.55589,1,1.2
24339.3716,1,1.3
24374.29305,1,1.4
24386.75227,1,1.5
24411.63142,1,1.6
24393.0423,1,1.7
24365.39879,1,1.8
24421.93353,1,1.9
24354.47432,1,2
24413.56495,1,2.1
24455.04532,1,2.2
24478.87311,1,2.3
24550.73716,1,2.4
24530.19335,1,2.5
24592.27492,1,2.6
24545.83686,1,2.7
24607.87009,1,2.8
24594.38066,1,2.9
24595.51662,1,3
24632.46224,1,3.1
24606.93958,1,3.2
24567.73414,1,3.3
24553.22356,1,3.4
24574.77341,1,3.5
24664.87311,1,3.6
24688.79758,1,3.7
24688.29909,1,3.8
24670.61027,1,3.9
24681.43807,1,4
24659.66163,1,4.1
24669.2719,1,4.2
24631.55891,1,4.3
24631.4864,1,4.4
24622.11782,1,4.5
24583.48036,1,4.6
24572.39879,1,4.7
24614.55287,1,4.8
24622.81571,1,4.9
24624.00906,1,5
24620.07251,1,5.1
24635.32628,1,5.2
24642.58006,1,5.3
24616.61027,1,5.4
24636.72205,1,5.5
24636.68882,1,5.6
24663.69184,1,5.7
24661.86103,1,5.8
24665.30816,1,5.9
24648.43505,1,6
23663.90332,2,0
23756.9426,2,0.1
23754.45921,2,0.2
23861.13293,2,0.3
23958.42296,2,0.4
24098.65257,2,0.5
24111.07251,2,0.6
24088.81571,2,0.7
24181.54381,2,0.8
24312.96677,2,0.9
24320.0423,2,1
24330.67976,2,1.1
24331.87613,2,1.2
24430.81269,2,1.3
24437.44109,2,1.4
24448.66465,2,1.5
24436.61329,2,1.6
24472.66767,2,1.7
24512.67069,2,1.8
24508.53474,2,1.9
24556.02417,2,2
24499.11178,2,2.1
24575.48036,2,2.2
24585.33535,2,2.3
24556.27795,2,2.4
24570.12387,2,2.5
24649.08157,2,2.6
24685.90332,2,2.7
24597.38671,2,2.8
24634.12991,2,2.9
24639.78248,2,3
24594.36858,2,3.1
24620.62236,2,3.2
24609.5861,2,3.3
24605.38671,2,3.4
24624.79456,2,3.5
24693.76435,2,3.6
24697.46526,2,3.7
24697.58912,2,3.8
24665.54381,2,3.9
24641.31722,2,4
24665.26586,2,4.1
24612.53776,2,4.2
24587.67976,2,4.3
24593.66163,2,4.4
24608.63746,2,4.5
24578,2,4.6
24599.65257,2,4.7
24657.50151,2,4.8
24638.63746,2,4.9
24647.09668,2,5
24650.57402,2,5.1
24643.60423,2,5.2
24653.7281,2,5.3
24647.52266,2,5.4
24633.01208,2,5.5
24642.06344,2,5.6
24669.71903,2,5.7
24660.4864,2,5.8
24669.70997,2,5.9
24652.86103,2,6
23667.0574,3,0
23794.61329,3,0.1
23968.98187,3,0.2
24140.32931,3,0.3
24024.56798,3,0.4
24178.1148,3,0.5
24223.18429,3,0.6
24250.16314,3,0.7
24371.03021,3,0.8
24271.20242,3,0.9
24372.5136,3,1
24415.35952,3,1.1
24481.33837,3,1.2
24487.45619,3,1.3
24434,3,1.4
24445.08761,3,1.5
24532.99094,3,1.6
24584.18127,3,1.7
24663.22659,3,1.8
24674.41088,3,1.9
24616.43202,3,2
24634.95468,3,2.1
24625.01208,3,2.2
24628.59819,3,2.3
24616.32628,3,2.4
24618.72205,3,2.5
24601.93656,3,2.6
24613.83082,3,2.7
24628.07251,3,2.8
24677.49849,3,2.9
24652.22961,3,3
24602.12387,3,3.1
24635.06647,3,3.2
24631.22961,3,3.3
24629.6435,3,3.4
24681.26888,3,3.5
24712.7281,3,3.6
24704.63142,3,3.7
24668.87311,3,3.8
24628.73414,3,3.9
24654.55589,3,4
24620.22054,3,4.1
24634.30816,3,4.2
24620.58308,3,4.3
24629.19033,3,4.4
24616.36858,3,4.5
24627.36556,3,4.6
24627.72508,3,4.7
24663.14199,3,4.8
24655.79456,3,4.9
24665.77946,3,5
24676.77341,3,5.1
24630.7432,3,5.2
24648.22356,3,5.3
24676.04532,3,5.4
24656.00906,3,5.5
24681.98792,3,5.6
24667.62538,3,5.7
24666.35347,3,5.8
24678.02115,3,5.9
24636.27492,3,6
23975.61934,4,0
24067.90332,4,0.1
24200.27795,4,0.2
24236.19335,4,0.3
24249.73716,4,0.4
24193.48036,4,0.5
24320.0997,4,0.6
24289.33233,4,0.7
24288.3716,4,0.8
24375.73112,4,0.9
24400.45015,4,1
24435.43505,4,1.1
24543.24773,4,1.2
24488.74924,4,1.3
24500.14804,4,1.4
24515.1148,4,1.5
24542.93051,4,1.6
24619.87613,4,1.7
24601.26586,4,1.8
24556.76737,4,1.9
24594.52266,4,2
24611.91239,4,2.1
24632.12387,4,2.2
24612.7432,4,2.3
24598.77039,4,2.4
24579.73414,4,2.5
24620.32326,4,2.6
24666.88822,4,2.7
24656.65257,4,2.8
24697.71903,4,2.9
24618.93958,4,3
24671.36254,4,3.1
24618.28701,4,3.2
24627.53776,4,3.3
24680.98187,4,3.4
24703.23263,4,3.5
24671.72508,4,3.6
24648.05136,4,3.7
24679.25076,4,3.8
24680.92145,4,3.9
24666.07553,4,4
24659.00302,4,4.1
24622.75831,4,4.2
24646.8429,4,4.3
24659.33233,4,4.4
24643.89728,4,4.5
24675.32326,4,4.6
24674.97583,4,4.7
24674.86707,4,4.8
24661.16918,4,4.9
24661.78852,4,5
24673.9577,4,5.1
24665.59215,4,5.2
24679.33233,4,5.3
24656.80967,4,5.4
24639.69789,4,5.5
24681.4864,4,5.6
24663.47432,4,5.7
24648.05136,4,5.8
24635.18127,4,5.9
24619.97885,4,6
24024.07553,5,0
24139.31118,5,0.1
24121.25076,5,0.2
24229.18429,5,0.3
24207.43807,5,0.4
24210.71601,5,0.5
24259.15408,5,0.6
24317.47432,5,0.7
24308.91239,5,0.8
24361.24169,5,0.9
24403.12387,5,1
24504.04532,5,1.1
24479.57704,5,1.2
24451.04834,5,1.3
24535.24169,5,1.4
24544.22054,5,1.5
24555.01813,5,1.6
24570.93051,5,1.7
24609.56495,5,1.8
24628.28399,5,1.9
24681.63444,5,2
24674.54985,5,2.1
24602.5861,5,2.2
24579.27795,5,2.3
24607.1148,5,2.4
24589.12689,5,2.5
24640.61934,5,2.6
24635.34743,5,2.7
24638.05136,5,2.8
24583.37764,5,2.9
24667.21752,5,3
24607.17523,5,3.1
24610.54381,5,3.2
24658.89124,5,3.3
24730.02115,5,3.4
24695.74924,5,3.5
