AUC,D,M,gamma
-24808.87915,4.0,49.0,0.21
-24834.50755,3.0,10.0,0.4
-24837.915409999998,3.0,34.0,0.01
-24583.27492,3.0,49.0,0.9400000000000001
-24828.31118,3.0,30.0,0.02
-24828.31118,3.0,14.0,0.02
-24727.4713,2.0,37.0,0.89
-24832.29003,3.0,39.0,0.42
-24583.14502,3.0,8.0,0.8
-24790.70393,3.0,48.0,0.53
-24791.67069,2.0,21.0,0.23
-24792.23867,3.0,52.0,0.5700000000000001
-24504.039269999997,3.0,12.0,0.91
-24839.247730000003,4.0,13.0,0.44
-24717.82477,3.0,3.0,0.23
-24690.60725,3.0,69.0,0.72
-24837.915409999998,4.0,8.0,0.01
-24824.253780000003,2.0,63.0,0.67
-24841.97281,3.0,13.0,0.38
-24499.03625,2.0,33.0,0.97
-24838.16012,4.0,24.0,0.44
-24521.924469999998,4.0,2.0,0.3
-24801.90634,4.0,19.0,0.61
-24826.903319999998,4.0,26.0,0.34
-24797.14502,4.0,15.0,0.11
-24557.98187,2.0,2.0,0.49
-24823.5136,4.0,17.0,0.14
-24824.38066,2.0,28.0,0.33
-24823.5136,4.0,22.0,0.14
-24640.83686,4.0,6.0,0.65
-24817.11782,4.0,42.0,0.48
-24806.89124,2.0,11.0,0.29
-24845.89124,4.0,18.0,0.39
-24820.22961,2.0,29.0,0.39
-24669.39879,3.0,18.0,0.75
-24814.70091,3.0,32.0,0.08
-24823.34139,4.0,24.0,0.19
-24699.746219999997,3.0,5.0,0.54
-24824.63444,2.0,45.0,0.36
-24811.9003,3.0,55.0,0.25
-24823.34139,4.0,39.0,0.19
-24467.20544,3.0,8.0,0.84
-24794.02719,3.0,37.0,0.59
-24820.22961,2.0,16.0,0.39
-24803.61934,3.0,22.0,0.27
-24827.00604,4.0,10.0,0.47000000000000003
-24828.803630000002,3.0,13.0,0.06
-24833.797580000002,2.0,35.0,0.55
-24722.04834,4.0,58.0,0.64
-24724.68882,3.0,20.0,0.7000000000000001
-24832.29003,3.0,26.0,0.42
-24834.26284,2.0,31.0,0.52
-24468.23867,4.0,5.0,0.79
-24820.389730000003,4.0,45.0,0.35000000000000003
-24802.075530000002,2.0,15.0,0.21
-24237.50755,4.0,1.0,0.3
-24837.96375,3.0,27.0,0.44
-24804.02719,3.0,24.0,0.61
-24827.5861,4.0,8.0,0.16
-24692.01208,2.0,65.0,0.88
-24169.13897,4.0,12.0,0.99
-24827.25076,4.0,19.0,0.31
-24828.803630000002,3.0,41.0,0.06
-24809.383690000002,2.0,10.0,0.51
-24842.98489,3.0,33.0,0.0
-24807.46526,3.0,50.0,0.1
-24837.915409999998,3.0,33.0,0.01
-24811.9003,3.0,37.0,0.25
-24838.752269999997,3.0,29.0,0.37
-24824.55891,3.0,21.0,0.46
-24805.10876,3.0,24.0,0.13
-24830.67976,3.0,45.0,0.04
-24826.60121,3.0,17.0,0.18
-24819.31118,3.0,14.0,0.23
-24669.39879,3.0,40.0,0.75
-24723.72508,2.0,3.0,0.56
-24833.41692,4.0,43.0,0.42
-24833.65257,3.0,35.0,0.32
-24726.58308,4.0,54.0,0.67
-24827.98792,2.0,22.0,0.38
-24543.44713,3.0,31.0,0.93
-24689.93051,4.0,6.0,0.6
-24806.72508,2.0,26.0,0.28
-24807.65861,3.0,18.0,0.26
-24828.61934,4.0,49.0,0.34
-24818.67372,3.0,59.0,0.49
-24805.060419999998,2.0,47.0,0.64
-24781.54079,4.0,38.0,0.58
-24831.03625,3.0,28.0,0.41000000000000003
-24831.15408,2.0,33.0,0.45
-24819.045319999997,4.0,10.0,0.22
-24807.46526,3.0,14.0,0.1
-24827.5861,4.0,24.0,0.16
-24724.68882,3.0,20.0,0.7000000000000001
-24621.56495,2.0,8.0,0.87
-24790.70393,3.0,30.0,0.53
-24416.76435,4.0,6.0,0.84
-24149.640480000002,3.0,1.0,0.5
-24659.927490000002,4.0,22.0,0.75
-24830.67976,3.0,16.0,0.04
-24790.1148,2.0,43.0,0.79
-24843.66465,4.0,12.0,0.4
-24791.85196,4.0,4.0,0.12
-24823.95166,4.0,11.0,0.2
-24846.29305,4.0,18.0,0.4
-24844.6284,4.0,12.0,0.43
-24836.86103,4.0,8.0,0.36
-24825.903319999998,4.0,18.0,0.47000000000000003
-24777.06344,4.0,16.0,0.62
-24841.42296,4.0,26.0,0.44
-24521.63444,4.0,2.0,0.33
-24775.91843,4.0,9.0,0.5700000000000001
-24821.62236,4.0,14.0,0.29
-24798.066469999998,4.0,20.0,0.55
-24841.28399,4.0,28.0,0.43
-24808.11782,4.0,23.0,0.52
-24614.661630000002,4.0,6.0,0.66
-24687.50151,4.0,19.0,0.6900000000000001
-24810.3565,4.0,12.0,0.25
-24825.12689,4.0,4.0,0.16
-24849.33535,4.0,25.0,0.38
-24827.9003,4.0,69.0,0.49
-24828.96677,4.0,36.0,0.31
-24854.2719,4.0,31.0,0.38
-24817.03021,4.0,39.0,0.24
-24841.93051,4.0,35.0,0.39
-24822.83988,4.0,52.0,0.34
-24804.76133,4.0,31.0,0.27
-24825.18731,4.0,25.0,0.18
-24736.41088,4.0,34.0,0.63
-24836.21752,4.0,29.0,0.36
-24793.75529,4.0,47.0,0.59
-24830.66465,4.0,41.0,0.46
-24819.045319999997,4.0,37.0,0.22
-24803.40785,4.0,27.0,0.51
-24819.226590000002,4.0,30.0,0.29
-24668.08157,4.0,59.0,0.73
-24842.6284,4.0,66.0,0.41000000000000003
-24808.56798,4.0,32.0,0.54
-24848.09366,4.0,43.0,0.37
-24826.359519999998,4.0,52.0,0.07
-24822.2719,4.0,44.0,0.09
-24849.42296,4.0,57.0,0.38
-24820.92145,4.0,62.0,0.14
-24832.61934,4.0,64.0,0.47000000000000003
-24844.0574,4.0,56.0,0.37
-24825.73414,4.0,50.0,0.31
-24828.86707,4.0,61.0,0.33
-24825.97885,4.0,67.0,0.35000000000000003
-24804.76133,4.0,54.0,0.27
-24827.66465,4.0,47.0,0.42
-24835.01208,4.0,41.0,0.45
-24821.1571,4.0,57.0,0.48
-24826.4713,4.0,46.0,0.32
-24848.61934,4.0,51.0,0.38
-24777.59819,4.0,61.0,0.56
-24823.95166,4.0,51.0,0.2
-24839.25076,4.0,55.0,0.39
-24815.56495,4.0,68.0,0.29
-24819.60423,4.0,59.0,0.24
-24813.40181,4.0,53.0,0.51
-24822.79456,4.0,49.0,0.17
-24804.40785,4.0,38.0,0.26
-24843.89728,4.0,65.0,0.44
-24814.50755,4.0,57.0,0.53
-24778.82477,4.0,39.0,0.6
-24826.32931,4.0,63.0,0.35000000000000003
-24834.20544,4.0,48.0,0.41000000000000003
-24852.16314,4.0,34.0,0.38
-24820.32024,4.0,36.0,0.49
-24816.73716,4.0,34.0,0.23
-24828.25076,4.0,22.0,0.3
-24825.26284,4.0,32.0,0.47000000000000003
-24827.15106,4.0,25.0,0.33
-24808.87915,4.0,30.0,0.21
-24820.67976,4.0,28.0,0.15
-24812.2568,4.0,34.0,0.28
-24839.55287,4.0,40.0,0.45
-24794.35347,4.0,21.0,0.12
-24796.42598,4.0,42.0,0.5700000000000001
-24836.38066,4.0,27.0,0.43
-24808.56798,4.0,32.0,0.54
-24842.640480000002,4.0,44.0,0.39
-24832.2719,3.0,37.0,0.03
-24718.62538,4.0,24.0,0.68
-24822.631419999998,4.0,26.0,0.35000000000000003
-24829.8429,4.0,29.0,0.31
-24762.81571,4.0,36.0,0.62
-24846.65257,4.0,23.0,0.37
-24811.571,3.0,17.0,0.5
-24828.226590000002,4.0,31.0,0.19
-24824.77039,2.0,40.0,0.26
-24838.99094,4.0,33.0,0.41000000000000003
-24812.066469999998,4.0,70.0,0.52
-24781.54079,4.0,38.0,0.58
-24826.34743,3.0,35.0,0.33
-24821.23867,4.0,15.0,0.48
-24842.87009,4.0,46.0,0.43
-24670.71299,4.0,25.0,0.72
-24751.41692,4.0,21.0,0.65
-24819.31118,3.0,19.0,0.23
-24835.32024,4.0,42.0,0.45
-24777.22961,4.0,27.0,0.55
-24845.79456,4.0,30.0,0.4
-24808.59517,4.0,28.0,0.28
-24808.87915,4.0,44.0,0.21
-24822.359519999998,2.0,23.0,0.37
-24639.53776,3.0,33.0,0.77
-24834.045319999997,4.0,38.0,0.46
-24342.98187,4.0,40.0,0.98
-24826.08761,4.0,20.0,0.3
-24826.02719,4.0,48.0,0.34
-24826.60121,3.0,16.0,0.18
-24810.3565,4.0,29.0,0.25
-24824.95166,4.0,35.0,0.5
-24799.28399,4.0,31.0,0.53
-24823.5136,4.0,42.0,0.14
-24830.44411,4.0,25.0,0.05
-24798.58006,4.0,45.0,0.61
-24827.3142,3.0,23.0,0.31
-24814.70091,4.0,34.0,0.08
-24839.40483,4.0,37.0,0.41000000000000003
-24835.17221,4.0,27.0,0.36
-24820.22961,2.0,39.0,0.39
-24797.14502,4.0,13.0,0.11
-24759.98489,4.0,19.0,0.59
-24821.02115,3.0,31.0,0.48
-24807.903319999998,4.0,17.0,0.56
-24832.76435,4.0,53.0,0.42
-24804.571,4.0,29.0,0.27
-24842.98489,4.0,26.0,0.0
-24828.16918,4.0,37.0,0.32
-24771.429,2.0,46.0,0.8300000000000001
-24841.97281,3.0,50.0,0.38
-24819.045319999997,4.0,10.0,0.22
-24843.051359999998,4.0,33.0,0.44
-24818.19033,4.0,41.0,0.24
-24808.81269,4.0,21.0,0.51
-24828.61934,4.0,61.0,0.34
-24817.19033,3.0,35.0,0.29
-24458.97885,4.0,43.0,0.9400000000000001
-24731.46526,4.0,32.0,0.64
-24834.32024,4.0,48.0,0.47000000000000003
-24822.79456,4.0,24.0,0.17
-24837.25982,4.0,15.0,0.36
-24743.02115,3.0,36.0,0.67
-24823.95166,4.0,30.0,0.2
-24838.039269999997,4.0,39.0,0.43
-24804.76133,4.0,25.0,0.27
-24831.27492,4.0,28.0,0.46
-24836.247730000003,3.0,22.0,0.39
-24824.30211,2.0,20.0,0.49
-24835.474319999998,4.0,55.0,0.31
-24804.42598,4.0,44.0,0.54
-24774.24169,4.0,18.0,0.58
-24676.43202,4.0,67.0,0.7000000000000001
-24810.3565,4.0,58.0,0.25
-24848.61934,4.0,51.0,0.38
-24827.61934,4.0,60.0,0.35000000000000003
-24831.81269,4.0,63.0,0.42
