AUC,D,M,gamma
-24849.42296,4.0,57.0,0.38
-24828.253780000003,4.0,54.0,0.33
-24846.29305,4.0,57.0,0.4
-24815.56495,4.0,60.0,0.29
-24798.50755,4.0,69.0,0.52
-24839.111780000003,4.0,63.0,0.44
-24839.42598,4.0,65.0,0.36
-24828.924469999998,4.0,58.0,0.32
-24835.46526,4.0,53.0,0.45
-24840.82477,4.0,56.0,0.41000000000000003
-24818.661630000002,4.0,50.0,0.49
-24817.03625,4.0,46.0,0.23
-24839.69486,4.0,66.0,0.37
-24828.61934,4.0,27.0,0.34
-24812.2568,4.0,41.0,0.28
-24831.01813,4.0,49.0,0.47000000000000003
-24841.60121,4.0,32.0,0.39
-24829.773409999998,4.0,55.0,0.3
-24805.70695,4.0,34.0,0.26
-24842.480359999998,4.0,52.0,0.43
-24812.17523,4.0,29.0,0.5
-24833.06344,4.0,38.0,0.32
-24808.87915,4.0,62.0,0.21
-24827.61934,4.0,69.0,0.35000000000000003
-24816.62236,4.0,40.0,0.16
-24823.34139,4.0,64.0,0.19
-24808.42598,4.0,23.0,0.54
-24830.66465,4.0,43.0,0.46
-24802.12689,4.0,36.0,0.56
-24835.10272,4.0,47.0,0.41000000000000003
-24802.45015,4.0,32.0,0.13
-24811.58308,4.0,26.0,0.52
-24846.64955,4.0,42.0,0.37
-24829.39275,2.0,60.0,0.6
-24817.03021,4.0,34.0,0.24
-24829.32326,4.0,67.0,0.3
-24843.1994,4.0,28.0,0.44
-24804.76133,4.0,30.0,0.27
-24829.06344,4.0,56.0,0.33
-24842.640480000002,4.0,13.0,0.39
-24826.67069,4.0,21.0,0.48
-24832.29003,3.0,31.0,0.42
-24771.59819,4.0,24.0,0.63
-24812.21752,4.0,38.0,0.51
-24838.19033,4.0,45.0,0.36
-24830.66465,4.0,48.0,0.46
-24828.43202,4.0,58.0,0.34
-24774.12689,4.0,27.0,0.5700000000000001
-24815.37462,4.0,36.0,0.29
-24834.50755,3.0,33.0,0.4
-24819.045319999997,4.0,70.0,0.22
-24810.3565,4.0,51.0,0.25
-24847.70695,4.0,54.0,0.38
-24815.03021,2.0,39.0,0.32
-24826.60121,3.0,17.0,0.18
-24830.87613,4.0,25.0,0.49
-24840.81571,4.0,22.0,0.44
-24808.59517,4.0,19.0,0.28
-24554.82779,4.0,62.0,0.9
-24805.36556,4.0,40.0,0.54
-24843.09366,4.0,30.0,0.42
-24836.927490000002,4.0,35.0,0.36
-24848.25982,4.0,65.0,0.4
-24820.67976,4.0,46.0,0.15
-24825.10876,4.0,44.0,0.31
-24807.65861,3.0,50.0,0.26
-24797.14502,4.0,37.0,0.11
-24811.14502,4.0,26.0,0.48
-24757.30816,4.0,11.0,0.61
-24830.24471,4.0,59.0,0.46
-24827.27795,4.0,53.0,0.34
-24851.01208,4.0,33.0,0.38
-24815.62236,4.0,42.0,0.23
-24805.88218,3.0,41.0,0.52
-24810.82477,2.0,34.0,0.73
-24823.95166,4.0,37.0,0.2
-24822.2719,4.0,44.0,0.09
-24854.2719,4.0,31.0,0.38
-24838.746219999997,4.0,32.0,0.43
-24794.02719,3.0,29.0,0.59
-24722.77039,4.0,31.0,0.66
-24822.33233,4.0,38.0,0.5
-24788.81571,4.0,34.0,0.55
-24820.57402,4.0,36.0,0.45
-24829.13293,4.0,28.0,0.3
-24827.61934,4.0,33.0,0.35000000000000003
-24838.74018,4.0,26.0,0.41000000000000003
-24854.2719,4.0,31.0,0.38
-24808.59517,4.0,29.0,0.28
-24806.91239,2.0,31.0,0.25
-24833.65257,3.0,23.0,0.32
-24834.72205,4.0,33.0,0.47000000000000003
-24807.29909,4.0,39.0,0.5700000000000001
-24844.429,4.0,27.0,0.4
-24844.16314,4.0,35.0,0.37
-24800.72205,4.0,20.0,0.53
-24807.46526,4.0,24.0,0.21
-24843.1994,4.0,28.0,0.44
-24829.7432,4.0,30.0,0.33
-24826.60121,3.0,37.0,0.18
-24828.87613,4.0,32.0,0.3
-24804.76133,4.0,25.0,0.27
-24820.359519999998,4.0,15.0,0.5
-24824.075530000002,4.0,41.0,0.35000000000000003
-24641.631419999998,4.0,21.0,0.81
-24832.76435,4.0,35.0,0.42
-24823.5136,3.0,38.0,0.14
-24747.19033,4.0,22.0,0.63
-24843.13897,4.0,30.0,0.39
-24537.4864,4.0,39.0,0.86
-24835.01208,4.0,33.0,0.45
-24826.359519999998,4.0,27.0,0.07
-24824.495469999998,4.0,43.0,0.48
-24819.045319999997,4.0,31.0,0.22
-24791.30211,2.0,36.0,0.24
-24826.67976,4.0,29.0,0.32
-24845.50151,4.0,18.0,0.37
-24827.5861,4.0,24.0,0.16
-24805.00604,4.0,40.0,0.52
-24780.927490000002,3.0,26.0,0.55
-24819.226590000002,4.0,34.0,0.29
-24824.60121,4.0,35.0,0.35000000000000003
-24690.65257,4.0,32.0,0.6900000000000001
-24560.67069,2.0,42.0,0.96
-24829.27492,4.0,37.0,0.42
-24842.03021,4.0,23.0,0.4
-24807.60121,4.0,28.0,0.26
-24824.55891,3.0,16.0,0.46
-24818.73716,4.0,31.0,0.5
-24827.915409999998,4.0,40.0,0.33
-24780.86103,4.0,20.0,0.58
-24852.637459999998,4.0,29.0,0.38
-24644.17221,4.0,22.0,0.77
-24833.661630000002,3.0,25.0,0.43
-24829.8429,4.0,29.0,0.31
-24823.34139,4.0,18.0,0.19
-24791.60121,4.0,14.0,0.61
-24814.59819,4.0,24.0,0.48
-24847.16314,4.0,27.0,0.37
-24806.60725,4.0,20.0,0.28
-24832.2719,4.0,9.0,0.03
-24850.28097,4.0,30.0,0.38
-24827.61934,4.0,33.0,0.35000000000000003
-24840.23565,4.0,35.0,0.41000000000000003
-24840.00906,4.0,34.0,0.44
-24845.181269999997,4.0,28.0,0.39
-24827.30211,4.0,36.0,0.33
-24826.08761,4.0,31.0,0.3
-24833.81571,4.0,38.0,0.36
-24825.26284,4.0,32.0,0.47000000000000003
-24847.00302,4.0,26.0,0.4
-24835.01208,4.0,33.0,0.45
-24828.72205,4.0,29.0,0.42
-24850.045319999997,4.0,37.0,0.38
-24824.31118,4.0,30.0,0.34
-24810.3565,4.0,26.0,0.25
-24827.25076,4.0,24.0,0.31
-24812.791540000002,4.0,34.0,0.51
-24838.746219999997,4.0,32.0,0.43
-24801.0997,4.0,28.0,0.27
-24838.9003,4.0,22.0,0.36
-24825.50151,4.0,39.0,0.34
-24827.78248,4.0,36.0,0.46
-24814.7281,4.0,27.0,0.53
-24821.58308,4.0,41.0,0.49
-24835.10272,4.0,25.0,0.41000000000000003
-24819.226590000002,4.0,30.0,0.29
-24845.30211,4.0,33.0,0.39
-24836.50151,4.0,43.0,0.36
-24819.045319999997,4.0,35.0,0.22
-24827.34743,4.0,31.0,0.32
-24819.60423,4.0,45.0,0.24
-24778.34139,4.0,39.0,0.56
-24835.62236,4.0,23.0,0.44
-24808.59517,4.0,28.0,0.28
-24826.85801,4.0,37.0,0.47000000000000003
-24852.637459999998,4.0,29.0,0.38
-24829.39577,4.0,26.0,0.31
-24827.4713,4.0,21.0,0.34
-24831.43202,4.0,31.0,0.42
-24808.69789,4.0,29.0,0.51
-24805.70695,4.0,18.0,0.26
-24842.03021,4.0,23.0,0.4
-24842.26284,4.0,25.0,0.45
-24821.039269999997,4.0,20.0,0.48
-24847.16314,4.0,27.0,0.37
-24830.50755,4.0,17.0,0.33
-24848.83384,4.0,35.0,0.43
-24827.18731,4.0,19.0,0.3
-24808.44109,4.0,23.0,0.53
-24823.95166,4.0,30.0,0.2
-24849.32931,4.0,32.0,0.38
-24791.30211,2.0,40.0,0.24
-24820.13595,4.0,38.0,0.49
-24827.09366,4.0,28.0,0.35000000000000003
-24836.59819,4.0,34.0,0.41000000000000003
-24808.59517,4.0,25.0,0.28
-24835.62236,4.0,16.0,0.44
-24840.87311,4.0,21.0,0.46
-24822.79456,4.0,36.0,0.17
-24844.37462,4.0,29.0,0.4
-24826.34743,3.0,27.0,0.33
-24789.33233,4.0,22.0,0.55
-24840.60423,4.0,32.0,0.37
-24819.045319999997,4.0,34.0,0.22
-24813.29909,4.0,24.0,0.51
-24834.77644,4.0,41.0,0.31
-24781.54079,4.0,38.0,0.58
-24819.226590000002,4.0,30.0,0.29
-24802.45015,4.0,26.0,0.13
-24826.54381,2.0,36.0,0.35000000000000003
-24801.0997,4.0,32.0,0.27
-24829.49849,4.0,13.0,0.42
-24841.97281,3.0,34.0,0.38
-24827.16012,4.0,45.0,0.47000000000000003
-24810.3565,4.0,29.0,0.25
-24197.22356,4.0,42.0,1.0
-24828.16918,4.0,37.0,0.32
-24783.226590000002,3.0,42.0,0.56
-24734.96375,5.0,79.0,0.62
-24846.29305,4.0,71.0,0.4
-24836.86103,4.0,83.0,0.45
-24815.56495,4.0,72.0,0.29
-24838.28097,4.0,61.0,0.41000000000000003
-24829.039269999997,4.0,77.0,0.49
-24816.67976,4.0,94.0,0.22
-24828.61934,4.0,86.0,0.34
-24843.3716,4.0,91.0,0.39
-24805.26586,4.0,70.0,0.53
-24812.2568,4.0,51.0,0.28
-24822.74018,3.0,100.0,0.35000000000000003
-24837.49849,4.0,97.0,0.44
-24819.60423,3.0,65.0,0.24
-24827.5861,5.0,78.0,0.16
-24823.95166,4.0,55.0,0.2
-24812.21148,5.0,59.0,0.5
-24680.97583,4.0,88.0,0.72
-24840.480359999998,5.0,75.0,0.41000000000000003
-24767.090630000002,4.0,81.0,0.58
-24817.19033,3.0,63.0,0.29
-24827.752269999997,5.0,68.0,0.47000000000000003
-24807.46526,4.0,92.0,0.1
-24757.16314,3.0,84.0,0.66
-24807.60121,5.0,95.0,0.26
-24781.54985,4.0,71.0,0.56
-24825.85801,5.0,82.0,0.32
-24841.69486,4.0,75.0,0.39
-24772.4139,4.0,54.0,0.6
-24837.96375,3.0,89.0,0.44
-24778.28701,5.0,96.0,0.52
-24823.34139,4.0,99.0,0.19
-24838.752269999997,3.0,48.0,0.37
-24827.5861,5.0,60.0,0.16
-24834.39577,4.0,86.0,0.47000000000000003
-24811.9003,3.0,16.0,0.25
-24832.2719,4.0,32.0,0.03
-24831.60725,5.0,73.0,0.3
-24785.226590000002,4.0,76.0,0.55
-24636.7432,5.0,79.0,0.81
-24723.045319999997,3.0,69.0,0.6900000000000001
-24765.10876,4.0,43.0,0.62
-24802.45015,4.0,93.0,0.13
-24833.661630000002,3.0,90.0,0.43
-24825.338369999998,5.0,65.0,0.34
-24630.73112,4.0,84.0,0.77
-24832.17825,4.0,52.0,0.46
-24234.746219999997,5.0,67.0,0.98
-24819.045319999997,4.0,57.0,0.22
-24831.03625,3.0,24.0,0.41000000000000003
-24812.40181,5.0,80.0,0.49
-24837.16314,4.0,63.0,0.36
-24796.5861,5.0,98.0,0.51
-24572.954680000003,4.0,77.0,0.91
-24822.2719,3.0,7.0,0.09
-24808.00604,4.0,86.0,0.54
-24748.76133,5.0,92.0,0.64
-24804.76133,4.0,82.0,0.27
-24826.359519999998,4.0,71.0,0.07
-24792.23867,3.0,87.0,0.5700000000000001
-24829.075530000002,5.0,49.0,0.32
-24684.33535,4.0,73.0,0.68
-24667.73112,5.0,100.0,0.72
-24841.97281,3.0,96.0,0.38
-24828.42296,4.0,89.0,0.42
-24846.41088,5.0,83.0,0.4
-24802.45015,5.0,46.0,0.13
-24826.60423,5.0,61.0,0.48
-24779.19335,5.0,69.0,0.59
-24825.50151,5.0,35.0,0.34
-24848.51662,5.0,84.0,0.4
-24830.32326,5.0,91.0,0.3
-24819.60423,5.0,38.0,0.24
-24776.927490000002,5.0,84.0,0.61
-24842.98489,5.0,94.0,0.0
-24823.95166,5.0,79.0,0.2
-24830.67976,5.0,98.0,0.04
-24829.55287,5.0,75.0,0.45
-24609.7855,5.0,59.0,0.85
-24822.79456,5.0,100.0,0.17
-24813.13897,5.0,82.0,0.51
-24841.53172,5.0,66.0,0.4
-24840.181269999997,5.0,78.0,0.36
-24828.45015,5.0,85.0,0.32
-24846.70393,5.0,88.0,0.39
-24833.50755,5.0,88.0,0.43
-24788.83988,5.0,94.0,0.54
-24812.2568,5.0,90.0,0.28
-24853.17825,5.0,81.0,0.38
-24840.903319999998,5.0,96.0,0.37
-24807.60121,5.0,80.0,0.26
-24819.045319999997,5.0,92.0,0.22
-24824.9426,5.0,87.0,0.47000000000000003
-24824.08157,5.0,76.0,0.34
-24810.44411,5.0,73.0,0.5
-24830.5136,5.0,81.0,0.45
-24825.16918,5.0,98.0,0.3
-24819.84894,5.0,95.0,0.15
-24794.28399,5.0,64.0,0.5700000000000001
-24853.066469999998,5.0,88.0,0.38
-24752.01511,5.0,19.0,0.64
-24833.04834,5.0,56.0,0.43
-24340.91239,5.0,2.0,0.53
-24812.2568,5.0,10.0,0.28
-24834.9003,5.0,68.0,0.36
-24821.97281,5.0,85.0,0.33
-24823.34139,5.0,93.0,0.19
-24816.46526,5.0,100.0,0.23
-24815.55891,5.0,71.0,0.49
-24780.02719,5.0,83.0,0.55
-24810.3565,5.0,90.0,0.25
-24828.01511,5.0,74.0,0.31
-24797.14502,5.0,77.0,0.11
-24837.80665,5.0,62.0,0.41000000000000003
-24830.09366,5.0,44.0,0.45
-24846.87613,5.0,29.0,0.39
-24756.99698,5.0,91.0,0.59
-24826.0574,5.0,79.0,0.47000000000000003
-24778.82477,5.0,81.0,0.52
-24724.12387,5.0,54.0,0.66
-24824.045319999997,5.0,86.0,0.35000000000000003
-24827.362540000002,5.0,96.0,0.43
-24682.64653,5.0,70.0,0.7000000000000001
-24807.46526,5.0,88.0,0.21
-24851.1571,5.0,98.0,0.38
-24846.61934,5.0,100.0,0.38
-24805.70695,5.0,98.0,0.26
-24658.99396,5.0,92.0,0.75
-24816.29003,5.0,94.0,0.29
-24820.67976,5.0,76.0,0.15
-24774.4713,5.0,51.0,0.62
-24831.16616,5.0,83.0,0.32
-24822.389730000003,5.0,89.0,0.35000000000000003
-24797.20544,5.0,40.0,0.51
-24831.24169,5.0,24.0,0.42
-24817.779459999998,5.0,67.0,0.48
-24822.79456,5.0,96.0,0.17
-24575.86405,5.0,85.0,0.79
-24778.779459999998,5.0,58.0,0.56
-24804.76133,5.0,78.0,0.27
-24816.46526,5.0,72.0,0.23
-24830.82175,5.0,48.0,0.46
-24848.60423,5.0,33.0,0.37
-24851.92145,5.0,21.0,0.37
-24825.08761,5.0,21.0,0.3
-24794.35347,5.0,13.0,0.12
-24825.18731,5.0,26.0,0.18
-24824.14502,5.0,6.0,0.33
-24811.571,5.0,18.0,0.21
-24814.70091,5.0,10.0,0.08
-24819.60423,5.0,31.0,0.24
-24832.26888,5.0,26.0,0.44
-24781.56193,5.0,37.0,0.58
-24823.5136,5.0,11.0,0.14
-24649.00604,5.0,4.0,0.49
-24849.495469999998,5.0,15.0,0.38
-24838.69184,5.0,42.0,0.41000000000000003
-24681.338369999998,5.0,21.0,0.73
