AUC,D,M,gamma
-2996.78852,4.0,1.0,0.23
-3494.3564950000005,5.0,62.0,0.27
-3348.73716,5.0,90.0,0.87
-3319.208459,3.0,50.0,0.92
-3466.34139,4.0,42.0,0.59
-3269.945619,4.0,62.0,0.9400000000000001
-3497.8217520000003,5.0,45.0,0.23
-3306.054381,3.0,82.0,0.91
-3484.2145020000003,4.0,46.0,0.51
-3473.1812689999997,4.0,45.0,0.54
-3490.546828,4.0,12.0,0.05
-3274.365559,4.0,68.0,0.93
-3485.6404829999997,4.0,88.0,0.38
-3487.256798,3.0,43.0,0.5
-3474.480363,3.0,99.0,0.64
-3497.492447,3.0,94.0,0.15
-3323.930514,5.0,89.0,0.88
-3299.643505,4.0,4.0,0.72
-3466.3383689999996,4.0,36.0,0.55
-3391.392749,3.0,25.0,0.8
-3497.6193350000003,5.0,30.0,0.02
-3490.546828,5.0,25.0,0.05
-3483.1359520000005,5.0,27.0,0.36
-3500.9667670000003,5.0,16.0,0.01
-3496.6616310000004,5.0,13.0,0.16
-3484.9879149999997,5.0,72.0,0.39
-3493.229607,5.0,15.0,0.14
-3495.4712990000003,5.0,59.0,0.26
-3490.3383689999996,5.0,19.0,0.33
-3486.492447,5.0,35.0,0.13
-3247.465257,5.0,3.0,0.43
-3490.1631420000003,5.0,53.0,0.3
-3498.117825,5.0,7.0,0.21
-3490.069486,5.0,5.0,0.08
-3496.697885,5.0,8.0,0.2
-3419.885196,3.0,65.0,0.74
-3351.854985,2.0,3.0,0.48
-3335.3595170000003,3.0,62.0,0.89
-3426.845921,4.0,44.0,0.71
-3472.507553,3.0,16.0,0.63
-3366.0966770000005,3.0,4.0,0.48
-3489.2719030000003,4.0,19.0,0.07
-3452.145015,4.0,7.0,0.6
-3463.854985,2.0,42.0,0.86
-3500.3172210000002,3.0,25.0,0.22
-3497.8217520000003,3.0,50.0,0.24
-3474.196375,4.0,11.0,0.45
-2876.356495,2.0,1.0,0.74
-3474.347432,2.0,43.0,0.45
-3439.882175,4.0,56.0,0.7000000000000001
-3490.546828,4.0,66.0,0.05
-3481.435045,2.0,56.0,0.36
-3497.6193350000003,2.0,7.0,0.03
-3489.2719030000003,3.0,47.0,0.07
-3496.6616310000004,3.0,70.0,0.16
-3497.8217520000003,3.0,27.0,0.25
-3496.465257,3.0,31.0,0.26
-3487.2900299999997,3.0,35.0,0.33
-3496.6616310000004,3.0,30.0,0.16
-3496.6616310000004,3.0,23.0,0.16
-3489.0996979999995,3.0,51.0,0.31
-3498.117825,3.0,39.0,0.21
-3487.045317,2.0,38.0,0.4
-3475.407855,3.0,37.0,0.59
-3183.622356,4.0,23.0,1.0
-3493.229607,3.0,15.0,0.14
-3475.416918,3.0,33.0,0.53
-3502.492447,4.0,25.0,0.0
-3502.492447,4.0,28.0,0.0
-3500.9667670000003,4.0,19.0,0.01
-3486.5951659999996,4.0,28.0,0.09
-3298.960725,4.0,15.0,0.9
-3502.492447,4.0,10.0,0.0
-3486.5951659999996,4.0,11.0,0.1
-3393.546828,4.0,20.0,0.81
-3475.2870090000006,4.0,9.0,0.54
-2875.930514,4.0,3.0,1.0
-3502.492447,4.0,22.0,0.0
-3488.148036,4.0,13.0,0.4
-3490.383686,4.0,5.0,0.29
-3496.697885,4.0,21.0,0.2
-3488.0151060000003,4.0,17.0,0.12
-3220.386707,4.0,2.0,0.38
-3490.546828,4.0,58.0,0.05
-3462.132931,4.0,7.0,0.65
-3481.8761329999998,4.0,41.0,0.46
-3496.694864,2.0,33.0,0.19
-3241.47432,4.0,13.0,0.9400000000000001
-3429.435045,4.0,46.0,0.78
-3489.519637,2.0,17.0,0.28
-3497.6193350000003,4.0,27.0,0.03
-3491.048338,4.0,51.0,0.34
-3465.0151060000003,4.0,26.0,0.67
-3475.407855,3.0,31.0,0.59
-3490.069486,2.0,7.0,0.08
-3486.492447,3.0,11.0,0.13
-3497.8217520000003,4.0,67.0,0.24
-3482.2507549999996,3.0,23.0,0.42
-3495.223565,4.0,5.0,0.17
-3490.546828,4.0,36.0,0.05
-3500.9667670000003,4.0,29.0,0.01
-3486.5951659999996,4.0,25.0,0.11
-3497.6193350000003,4.0,34.0,0.02
-3490.069486,4.0,22.0,0.08
-3497.8217520000003,4.0,17.0,0.23
-3502.492447,4.0,41.0,0.0
-3490.546828,4.0,40.0,0.05
-3495.4743200000003,4.0,45.0,0.19
-3493.229607,4.0,43.0,0.14
-3486.8610270000004,4.0,53.0,0.5
-3496.465257,4.0,19.0,0.26
-3488.36858,4.0,59.0,0.32
-3496.6616310000004,3.0,14.0,0.16
-3486.5951659999996,4.0,32.0,0.1
-3490.5619340000003,4.0,39.0,0.06
-3482.700906,3.0,24.0,0.36
-3489.592145,4.0,10.0,0.29
-3434.465257,4.0,48.0,0.73
-3158.148036,3.0,1.0,0.03
-3228.244713,4.0,28.0,0.9500000000000001
-3497.610272,4.0,37.0,0.18
-3498.117825,4.0,54.0,0.21
-3453.564955,2.0,8.0,0.56
-3399.592145,4.0,19.0,0.81
-3486.492447,3.0,30.0,0.13
-3482.92145,4.0,42.0,0.49
-3502.492447,3.0,4.0,0.0
-3489.2719030000003,2.0,63.0,0.07
-3497.492447,4.0,21.0,0.15
-3389.5981869999996,2.0,3.0,0.42
-3494.3564950000005,3.0,12.0,0.27
-3500.3172210000002,4.0,48.0,0.22
-3486.5951659999996,2.0,5.0,0.11
-3489.0996979999995,3.0,69.0,0.31
-3497.196375,4.0,35.0,0.04
-3500.9667670000003,4.0,15.0,0.01
-3485.60423,4.0,33.0,0.35000000000000003
-3461.175227,4.0,38.0,0.6900000000000001
-3389.89426,2.0,9.0,0.88
-3497.8217520000003,3.0,16.0,0.24
-3409.951662,3.0,4.0,0.38
-3486.5951659999996,4.0,24.0,0.09
-3465.244713,4.0,44.0,0.61
-3489.2719030000003,4.0,21.0,0.07
-3497.610272,4.0,58.0,0.18
-3486.691843,4.0,28.0,0.13
-3481.8761329999998,4.0,26.0,0.46
-3497.6193350000003,4.0,40.0,0.03
-3445.963746,2.0,61.0,0.78
-3496.323263,2.0,30.0,0.2
-3502.492447,3.0,12.0,0.0
-3489.0996979999995,3.0,18.0,0.31
-3486.5951659999996,3.0,26.0,0.11
-3481.148036,2.0,50.0,0.51
-3497.492447,4.0,36.0,0.15
-3497.8217520000003,3.0,53.0,0.25
-3489.592145,4.0,14.0,0.29
-3111.441088,2.0,1.0,0.09
-3479.586103,3.0,47.0,0.43
-3497.6193350000003,4.0,31.0,0.02
-3459.73716,2.0,6.0,0.56
-3487.716012,3.0,12.0,0.38
-3490.5619340000003,4.0,34.0,0.06
-3496.812689,4.0,42.0,0.17
-3500.3172210000002,3.0,23.0,0.22
-3486.492447,4.0,55.0,0.13
-3497.196375,2.0,44.0,0.04
-3215.719033,3.0,10.0,0.9500000000000001
-3237.933535,3.0,2.0,0.33
-3490.069486,4.0,20.0,0.08
-3502.492447,2.0,29.0,0.0
-3492.546828,2.0,32.0,0.27
-3465.930514,2.0,16.0,0.62
-3486.5951659999996,2.0,29.0,0.11
-3502.492447,2.0,38.0,0.0
-3458.65861,2.0,38.0,0.65
-3319.208459,3.0,49.0,0.92
-3279.960725,2.0,52.0,0.98
-3491.540785,2.0,35.0,0.05
-3496.694864,2.0,62.0,0.19
-3497.6193350000003,2.0,40.0,0.02
-3502.492447,2.0,26.0,0.0
-3497.492447,4.0,25.0,0.15
-3486.5951659999996,2.0,18.0,0.09
-3490.546828,3.0,9.0,0.05
-3356.111782,4.0,13.0,0.84
-3489.2719030000003,4.0,42.0,0.07
-3497.6193350000003,3.0,24.0,0.03
-3502.492447,3.0,8.0,0.0
-3486.5951659999996,3.0,6.0,0.11
-3473.824773,4.0,4.0,0.17
-3271.308157,3.0,2.0,0.21
-3500.9667670000003,3.0,8.0,0.01
-3486.5951659999996,3.0,22.0,0.09
-3493.229607,3.0,45.0,0.14
-3497.8217520000003,4.0,33.0,0.24
-3488.0151060000003,4.0,20.0,0.12
-3490.265861,2.0,28.0,0.06
-3363.9667670000003,3.0,6.0,0.72
-3497.6193350000003,4.0,26.0,0.03
-3495.9244710000003,2.0,27.0,0.16
-3502.492447,2.0,30.0,0.0
-3497.196375,2.0,37.0,0.04
-3489.2719030000003,2.0,30.0,0.07
-3495.4743200000003,4.0,11.0,0.19
-3497.8217520000003,4.0,17.0,0.23
-3488.993958,3.0,13.0,0.3
-3486.492447,4.0,35.0,0.13
-3486.5951659999996,4.0,32.0,0.1
-3490.069486,2.0,39.0,0.08
-3497.6193350000003,2.0,34.0,0.02
-3454.1268880000002,2.0,46.0,0.76
-3496.465257,4.0,22.0,0.26
-3502.492447,2.0,15.0,0.0
-3476.9063439999995,2.0,16.0,0.47000000000000003
-3491.540785,2.0,20.0,0.05
-3482.700906,3.0,14.0,0.36
-3465.081571,3.0,10.0,0.6900000000000001
-3477.697885,4.0,51.0,0.58
-3369.0120850000003,3.0,4.0,0.44
-3488.190332,3.0,18.0,0.4
-3496.755287,2.0,12.0,0.15
-3499.870091,2.0,29.0,0.21
-3489.519637,2.0,37.0,0.28
-3476.132931,4.0,24.0,0.53
-3502.492447,2.0,43.0,0.0
-3496.812689,4.0,41.0,0.17
-3486.5951659999996,2.0,22.0,0.1
-3490.3383689999996,4.0,32.0,0.33
-3486.311178,2.0,31.0,0.12
-3497.6193350000003,3.0,7.0,0.02
-3491.540785,2.0,56.0,0.05
-3489.2719030000003,2.0,26.0,0.07
-3495.4743200000003,4.0,67.0,0.19
-3493.229607,4.0,49.0,0.14
-3497.8217520000003,3.0,9.0,0.25
-3486.5951659999996,2.0,18.0,0.09
-3497.196375,2.0,15.0,0.04
-3500.3172210000002,4.0,20.0,0.22
-3500.9667670000003,2.0,43.0,0.01
-3463.854985,2.0,40.0,0.86
-3460.809668,2.0,27.0,0.64
-3484.0725079999997,4.0,36.0,0.51
-3486.5951659999996,2.0,47.0,0.11
-3344.770393,3.0,2.0,0.07
-3473.824773,4.0,4.0,0.17
-3468.570997,4.0,3.0,0.13
-3497.6193350000003,3.0,10.0,0.03
-3496.697885,4.0,23.0,0.2
-3500.9667670000003,3.0,8.0,0.01
-3490.5619340000003,4.0,57.0,0.06
-3480.767372,2.0,13.0,0.35000000000000003
-3496.755287,2.0,54.0,0.15
-3489.0996979999995,3.0,64.0,0.31
-3497.8217520000003,4.0,45.0,0.23
-3487.045317,2.0,28.0,0.4
-3486.5951659999996,2.0,14.0,0.09
-3502.492447,3.0,60.0,0.0
-3494.3564950000005,4.0,59.0,0.27
-3455.350453,2.0,16.0,0.75
-3497.196375,2.0,39.0,0.04
-3488.0151060000003,4.0,24.0,0.12
-3489.2719030000003,2.0,19.0,0.07
-3494.761329,2.0,6.0,0.16
-3497.6193350000003,3.0,7.0,0.02
-3466.537764,2.0,46.0,0.67
-3398.090634,3.0,11.0,0.8
-3193.114804,3.0,66.0,0.98
-3486.5951659999996,4.0,50.0,0.1
-3477.432024,3.0,17.0,0.55
-3485.6404829999997,4.0,34.0,0.38
-3495.89426,4.0,38.0,0.25
-3495.4743200000003,4.0,42.0,0.19
-3496.915408,2.0,30.0,0.14
-3489.592145,3.0,52.0,0.29
-3491.540785,2.0,44.0,0.05
