AUC,Beta1,Beta2
5891.586103,1,0
6112.033233,1,0.1
6228.833837,1,0.2
6371.326284,1,0.3
6376.752266,1,0.4
6255.839879,1,0.5
6331.900302,1,0.6
6332.021148,1,0.7
6457.332326,1,0.8
6471.102719,1,0.9
6511.126888,1,1
6513.939577,1,1.1
6580.308157,1,1.2
6611.220544,1,1.3
6610.534743,1,1.4
6594.335347,1,1.5
6634.042296,1,1.6
6623.81571,1,1.7
6623.561934,1,1.8
6608.513595,1,1.9
6587.220544,1,2
6634.274924,1,2.1
6659.706949,1,2.2
6692.543807,1,2.3
6714.120846,1,2.4
6719.640483,1,2.5
6741.410876,1,2.6
6743.706949,1,2.7
6796.444109,1,2.8
6800.975831,1,2.9
6793.52568,1,3
6814.450151,1,3.1
6796.459215,1,3.2
6767.296073,1,3.3
6781.314199,1,3.4
6792.746224,1,3.5
6861.311178,1,3.6
6865.984894,1,3.7
6870.18429,1,3.8
6876.634441,1,3.9
6889.703927,1,4
6876.283988,1,4.1
6873.498489,1,4.2
6856.909366,1,4.3
6857.138973,1,4.4
6844.015106,1,4.5
6821.848943,1,4.6
6829.534743,1,4.7
6838.574018,1,4.8
6842.558912,1,4.9
6846.540785,1,5
6841.76435,1,5.1
6846.957704,1,5.2
6870.283988,1,5.3
6869.329305,1,5.4
6881.129909,1,5.5
6888.489426,1,5.6
6897.876133,1,5.7
6903.691843,1,5.8
6906.867069,1,5.9
6901.359517,1,6
6253.586103,2,0
6289.543807,2,0.1
6295.380665,2,0.2
6346.075529,2,0.3
6365.498489,2,0.4
6479.444109,2,0.5
6448.057402,2,0.6
6459.930514,2,0.7
6515.891239,2,0.8
6556.226586,2,0.9
6604.362538,2,1
6607.111782,2,1.1
6584.864048,2,1.2
6608.329305,2,1.3
6659.012085,2,1.4
6693.108761,2,1.5
6678.253776,2,1.6
6688.52568,2,1.7
6690.377644,2,1.8
6707.510574,2,1.9
6753.163142,2,2
6711.489426,2,2.1
6744.507553,2,2.2
6754.377644,2,2.3
6762.945619,2,2.4
6769.401813,2,2.5
6835.55287,2,2.6
6852.296073,2,2.7
6809.81571,2,2.8
6821.175227,2,2.9
6840.326284,2,3
6828.129909,2,3.1
6825.812689,2,3.2
6840.975831,2,3.3
6849.513595,2,3.4
6848.821752,2,3.5
6862.821752,2,3.6
6871.362538,2,3.7
6873.70997,2,3.8
6880.238671,2,3.9
6860.087613,2,4
6856.229607,2,4.1
6835.993958,2,4.2
6813.779456,2,4.3
6811.94864,2,4.4
6828.728097,2,4.5
6829.123867,2,4.6
6829.404834,2,4.7
6878.190332,2,4.8
6873.256798,2,4.9
6871.670695,2,5
6872.830816,2,5.1
6878.531722,2,5.2
6905.969789,2,5.3
6889.543807,2,5.4
6888.468278,2,5.5
6907.280967,2,5.6
6896.758308,2,5.7
6900.912387,2,5.8
6906.108761,2,5.9
6917.223565,2,6
6302.52568,3,0
6395.522659,3,0.1
6395.247734,3,0.2
6519.232628,3,0.3
6468.232628,3,0.4
6513.175227,3,0.5
6588.320242,3,0.6
6589.386707,3,0.7
6657.758308,3,0.8
6613.178248,3,0.9
6655.567976,3,1
6673.993958,3,1.1
6683.706949,3,1.2
6684.94864,3,1.3
6704.996979,3,1.4
6699.661631,3,1.5
6751.870091,3,1.6
6758.26284,3,1.7
6831.280967,3,1.8
6841.543807,3,1.9
6811.52568,3,2
6810.380665,3,2.1
6803.229607,3,2.2
6805.238671,3,2.3
6817.821752,3,2.4
6805.987915,3,2.5
6799.308157,3,2.6
6805.429003,3,2.7
6823.833837,3,2.8
6843.743202,3,2.9
6829.02719,3,3
6818.60423,3,3.1
6837.317221,3,3.2
6858.096677,3,3.3
6860.069486,3,3.4
6855.377644,3,3.5
6881.111782,3,3.6
6889.951662,3,3.7
6866.779456,3,3.8
6845.501511,3,3.9
6847.640483,3,4
6830.543807,3,4.1
6832.265861,3,4.2
6844.824773,3,4.3
6848.773414,3,4.4
6853.854985,3,4.5
6867.178248,3,4.6
6880.833837,3,4.7
6893.97281,3,4.8
6890.755287,3,4.9
6892.166163,3,5
6893.438066,3,5.1
6876.987915,3,5.2
6894.407855,3,5.3
6911.746224,3,5.4
6920.519637,3,5.5
6920.462236,3,5.6
6906.782477,3,5.7
6902.305136,3,5.8
6931.70997,3,5.9
6920.410876,3,6
6486.438066,4,0
6550.92145,4,0.1
6600.65861,4,0.2
6622.048338,4,0.3
6598.63142,4,0.4
6582.492447,4,0.5
6636.160121,4,0.6
6635.441088,4,0.7
6637.172205,4,0.8
6669.202417,4,0.9
6697.592145,4,1
6695.821752,4,1.1
6753.546828,4,1.2
6746.879154,4,1.3
6765.141994,4,1.4
6739.042296,4,1.5
6751.640483,4,1.6
6805.740181,4,1.7
6770.416918,4,1.8
6759.812689,4,1.9
6776.241692,4,2
6786.108761,4,2.1
6778.169184,4,2.2
6799.226586,4,2.3
6807.610272,4,2.4
6785.78852,4,2.5
6810.311178,4,2.6
6839.274924,4,2.7
6855.945619,4,2.8
6865.268882,4,2.9
6857.583082,4,3
6871.996979,4,3.1
6855.957704,4,3.2
6857.522659,4,3.3
6872.045317,4,3.4
6859.477341,4,3.5
6840.712991,4,3.6
6840.199396,4,3.7
6875.069486,4,3.8
6853.268882,4,3.9
6851.320242,4,4
6849.407855,4,4.1
6842.534743,4,4.2
6868.154079,4,4.3
6881.066465,4,4.4
6882.045317,4,4.5
6917.854985,4,4.6
6910.214502,4,4.7
6908.217523,4,4.8
6888.305136,4,4.9
6892.845921,4,5
6905.096677,4,5.1
6915.824773,4,5.2
6921.930514,4,5.3
6915.540785,4,5.4
6907.746224,4,5.5
6906.628399,4,5.6
6906.522659,4,5.7
6902.47432,4,5.8
6907.160121,4,5.9
6905.018127,4,6
6579.501511,5,0
6591.299094,5,0.1
6547.365559,5,0.2
6600.175227,5,0.3
6581.755287,5,0.4
6575.76435,5,0.5
6604.700906,5,0.6
6635.012085,5,0.7
6652.981873,5,0.8
6677.676737,5,0.9
6701.175227,5,1
6727.34139,5,1.1
6729.655589,5,1.2
6730.540785,5,1.3
6760.927492,5,1.4
6745.26284,5,1.5
6755.854985,5,1.6
6764.706949,5,1.7
6794.416918,5,1.8
6814.012085,5,1.9
6826.172205,5,2
6812.169184,5,2.1
6791.52568,5,2.2
6793.870091,5,2.3
6813.398792,5,2.4
6808.555891,5,2.5
6823.160121,5,2.6
6845.362538,5,2.7
6848.743202,5,2.8
6832.8429,5,2.9
6852.755287,5,3
6844.628399,5,3.1
6844.006042,5,3.2
6873.07855,5,3.3
6879.996979,5,3.4
6860.232628,5,3.5
6896.954683,5,3.6
6872.075529,5,3.7
6898.561934,5,3.8
6880.673716,5,3.9
6879.407855,5,4
6889.283988,5,4.1
6879.809668,5,4.2
6885.773414,5,4.3
6902.537764,5,4.4
6915.247734,5,4.5
6899.507553,5,4.6
6877.652568,5,4.7
6889.703927,5,4.8
6912.244713,5,4.9
6910.595166,5,5
6900.250755,5,5.1
6914.873112,5,5.2
6911.610272,5,5.3
6897.743202,5,5.4
6891.870091,5,5.5
6896.761329,5,5.6
6922.123867,5,5.7
6919.619335,5,5.8
6916.347432,5,5.9
6921.21148,5,6
6542.595166,6,0
6597.450151,6,0.1
6548.075529,6,0.2
6593.619335,6,0.3
6582.483384,6,0.4
6660.018127,6,0.5
6675.8429,6,0.6
6695.26284,6,0.7
6687.175227,6,0.8
6691.76435,6,0.9
6759.65861,6,1
6742.670695,6,1.1
6754.94864,6,1.2
6744.558912,6,1.3
6807.383686,6,1.4
6760.534743,6,1.5
6779.625378,6,1.6
6778.416918,6,1.7
6809.712991,6,1.8
6805.314199,6,1.9
6781.232628,6,2
6782.314199,6,2.1
6824.619335,6,2.2
6812.870091,6,2.3
6807.70997,6,2.4
6823.435045,6,2.5
6854.392749,6,2.6
6858.821752,6,2.7
6880.912387,6,2.8
6890.507553,6,2.9
6883.682779,6,3
6882.178248,6,3.1
6871.891239,6,3.2
6906.039275,6,3.3
6915.009063,6,3.4
6878.033233,6,3.5
6891.984894,6,3.6
6883.827795,6,3.7
6864.540785,6,3.8
6861.374622,6,3.9
6863.882175,6,4
6893.833837,6,4.1
6905.915408,6,4.2
6902.528701,6,4.3
6889.909366,6,4.4
6888.89426,6,4.5
6905.332326,6,4.6
6928.054381,6,4.7
6914.365559,6,4.8
6921.94864,6,4.9
6909.879154,6,5
6915.036254,6,5.1
6912.223565,6,5.2
6909.066465,6,5.3
6893.561934,6,5.4
6898.839879,6,5.5
6915.876133,6,5.6
6913.166163,6,5.7
6909.700906,6,5.8
6914.471299,6,5.9
6918.401813,6,6
6594.52568,7,0
6608.682779,7,0.1
6668.453172,7,0.2
6702.939577,7,0.3
6729.359517,7,0.4
6695.622356,7,0.5
6668.969789,7,0.6
6680.39577,7,0.7
6753.749245,7,0.8
6745.202417,7,0.9
6729.226586,7,1
6724.166163,7,1.1
6761.024169,7,1.2
6768.570997,7,1.3
6771.996979,7,1.4
6786.26284,7,1.5
6809.329305,7,1.6
6821.495468,7,1.7
6813.679758,7,1.8
6802.335347,7,1.9
6829.927492,7,2
6839.129909,7,2.1
6830.534743,7,2.2
6839.172205,7,2.3
6863.610272,7,2.4
6861.58006,7,2.5
6863.73716,7,2.6
6872.966767,7,2.7
6883.175227,7,2.8
6885.722054,7,2.9
6883.513595,7,3
6877.468278,7,3.1
6903.640483,7,3.2
6889.930514,7,3.3
6879.767372,7,3.4
6900.060423,7,3.5
6901.685801,7,3.6
6885.800604,7,3.7
6880.531722,7,3.8
6891.048338,7,3.9
6914.060423,7,4
6921.024169,7,4.1
6896.432024,7,4.2
6901.069486,7,4.3
6904.785498,7,4.4
6902.957704,7,4.5
6913.498489,7,4.6
6903.540785,7,4.7
6904.848943,7,4.8
6901.123867,7,4.9
6909.47432,7,5
6896.903323,7,5.1
6891.803625,7,5.2
6890.190332,7,5.3
6900,7,5.4
6910.782477,7,5.5
6887.175227,7,5.6
6892.966767,7,5.7
6894.712991,7,5.8
6902.241692,7,5.9
6913.861027,7,6
6674.779456,8,0
6705.746224,8,0.1
6697.858006,8,0.2
6687.486405,8,0.3
6694.779456,8,0.4
6663.797583,8,0.5
6732.160121,8,0.6
6761.217523,8,0.7
6756.809668,8,0.8
6760.628399,8,0.9
6793.362538,8,1
6788.060423,8,1.1
6795.94864,8,1.2
6778.072508,8,1.3
6792.359517,8,1.4
6767.939577,8,1.5
6799.438066,8,1.6
6786.314199,8,1.7
6818.670695,8,1.8
6840.761329,8,1.9
6847.516616,8,2
6823.398792,8,2.1
6830.081571,8,2.2
6844.725076,8,2.3
6874.480363,8,2.4
6900.444109,8,2.5
6897.76435,8,2.6
6910.23565,8,2.7
6888.093656,8,2.8
6896.356495,8,2.9
6910,8,3
6902.386707,8,3.1
6908.21148,8,3.2
6910.389728,8,3.3
6895.036254,8,3.4
6871.323263,8,3.5
6860.610272,8,3.6
6882.616314,8,3.7
6892.933535,8,3.8
6868.676737,8,3.9
6884.486405,8,4
6880.386707,8,4.1
6903.589124,8,4.2
6918.268882,8,4.3
6907.803625,8,4.4
6904.18429,8,4.5
6889.540785,8,4.6
6895.990937,8,4.7
6891.598187,8,4.8
6904.76435,8,4.9
6878.616314,8,5
6879.114804,8,5.1
6862.060423,8,5.2
6871.546828,8,5.3
6883.622356,8,5.4
6869.734139,8,5.5
6875.909366,8,5.6
6869.44713,8,5.7
6887.673716,8,5.8
6884.456193,8,5.9
6878.513595,8,6
6737.102719,9,0
6718.117825,9,0.1
6724.090634,9,0.2
6698.861027,9,0.3
6730.583082,9,0.4
6726.429003,9,0.5
6772.365559,9,0.6
6752.099698,9,0.7
6751.700906,9,0.8
6753.435045,9,0.9
6748.268882,9,1
6764.770393,9,1.1
6774.422961,9,1.2
6787.719033,9,1.3
6811.936556,9,1.4
6824.413897,9,1.5
6865.468278,9,1.6
6873.758308,9,1.7
6868.537764,9,1.8
6875.401813,9,1.9
6855.332326,9,2
6854.096677,9,2.1
6880.435045,9,2.2
6893.504532,9,2.3
6911.459215,9,2.4
6892.045317,9,2.5
6895.912387,9,2.6
6875.39577,9,2.7
6900.099698,9,2.8
6886.287009,9,2.9
6892.135952,9,3
6897.332326,9,3.1
6889.722054,9,3.2
6866.096677,9,3.3
6862.954683,9,3.4
6878.969789,9,3.5
6869.335347,9,3.6
6867.187311,9,3.7
6876.78852,9,3.8
6896.471299,9,3.9
6890.072508,9,4
6916.365559,9,4.1
6905.006042,9,4.2
6894.664653,9,4.3
6893.876133,9,4.4
6877,9,4.5
6883.075529,9,4.6
6883.818731,9,4.7
6853.987915,9,4.8
6843.595166,9,4.9
6840.205438,9,5
6845.404834,9,5.1
6864.94864,9,5.2
6872.794562,9,5.3
6878.410876,9,5.4
6866.486405,9,5.5
6904.302115,9,5.6
6905.73716,9,5.7
6887.622356,9,5.8
6873.47432,9,5.9
6863.719033,9,6
6693.498489,10,0
6679.054381,10,0.1
6725.746224,10,0.2
6734.912387,10,0.3
6753.175227,10,0.4
6702.649547,10,0.5
6768.096677,10,0.6
6759.126888,10,0.7
6791.987915,10,0.8
6805.592145,10,0.9
6822.353474,10,1
6814.773414,10,1.1
6821.356495,10,1.2
6867.057402,10,1.3
6870.776435,10,1.4
6854.495468,10,1.5
6856.438066,10,1.6
6842.776435,10,1.7
6841.311178,10,1.8
6835.114804,10,1.9
6844.734139,10,2
6865.18429,10,2.1
6898.549849,10,2.2
6913.673716,10,2.3
6912.564955,10,2.4
6883.435045,10,2.5
6876.072508,10,2.6
6875.410876,10,2.7
6867.018127,10,2.8
6869.601208,10,2.9
6874.377644,10,3
6861.220544,10,3.1
6858.543807,10,3.2
6861.47432,10,3.3
6871.326284,10,3.4
6836.435045,10,3.5
6857.987915,10,3.6
6875.731118,10,3.7
6874.217523,10,3.8
6875.444109,10,3.9
6886.800604,10,4
6876.564955,10,4.1
6885.314199,10,4.2
6872.561934,10,4.3
6874.990937,10,4.4
6867.858006,10,4.5
6888.963746,10,4.6
6869.353474,10,4.7
6854.045317,10,4.8
6875.55287,10,4.9
6873.821752,10,5
6892.323263,10,5.1
6890.924471,10,5.2
