AUC,D,M,gamma
-6999.178248,5.0,15.0,0.38
-6998.392749,4.0,51.0,0.13
-6907.731118000001,4.0,96.0,0.75
-6995.256798,4.0,9.0,0.32
-7008.323262999999,5.0,43.0,0.39
-7013.099698,4.0,42.0,0.43
-6997.712990999999,4.0,63.0,0.24
-6935.9425980000005,4.0,50.0,0.61
-6982.283987999999,3.0,43.0,0.5
-6998.392749,4.0,55.0,0.13
-6995.232628,5.0,61.0,0.06
-6627.966767,3.0,11.0,0.97
-7007.036254000001,4.0,89.0,0.45
-6993.933534999999,4.0,26.0,0.3
-6781.3141989999995,3.0,44.0,0.92
-6990.042296,5.0,47.0,0.49
-6800.389728,4.0,77.0,0.88
-6999.682779000001,4.0,29.0,0.26
-7012.81571,3.0,49.0,0.44
-7000.960725,3.0,91.0,0.29
-6936.561934,3.0,32.0,0.64
-6902.072508,3.0,70.0,0.67
-6949.238670999999,3.0,35.0,0.56
-6991.9969790000005,5.0,23.0,0.18
-6891.280967000001,3.0,78.0,0.76
-7001.873112,4.0,18.0,0.01
-6939.9969790000005,5.0,4.0,0.4
-6956.280967000001,3.0,39.0,0.54
-6903.679758,5.0,57.0,0.73
-6998.256798,4.0,70.0,0.36
-7010.483384,4.0,19.0,0.44
-6852.975831000001,3.0,37.0,0.8300000000000001
-6996.160120999999,4.0,54.0,0.22
-6940.081571,5.0,67.0,0.58
-7001.770393000001,4.0,84.0,0.12
-6993.978851999999,4.0,60.0,0.35000000000000003
-6895.803625,3.0,50.0,0.6900000000000001
-6984.851964,4.0,39.0,0.5
-7013.9969790000005,5.0,64.0,0.43
-6996.120845999999,5.0,77.0,0.16
-6996.9425980000005,5.0,65.0,0.05
-6997.706948999999,5.0,81.0,0.33
-7013.655589,5.0,71.0,0.41000000000000003
-6936.785498,5.0,97.0,0.61
-7011.371601000001,5.0,91.0,0.41000000000000003
-6964.773414,5.0,72.0,0.52
-6996.160120999999,5.0,83.0,0.21
-6871.507553,5.0,74.0,0.79
-7005.779456,5.0,87.0,0.46
-7002.9033230000005,5.0,95.0,0.27
-7006.927492,5.0,58.0,0.38
-6993.39577,5.0,64.0,0.31
-6996.622356,5.0,45.0,0.1
-6998.655589,5.0,53.0,0.48
-6944.851964,5.0,66.0,0.6
-6917.075529000001,5.0,75.0,0.68
-6630.794562,5.0,61.0,0.98
-6789.335347,5.0,87.0,0.9
-6946.564955,4.0,94.0,0.55
-6928.356495,5.0,31.0,0.64
-7002.9033230000005,4.0,100.0,0.27
-6991.9969790000005,5.0,47.0,0.18
-7001.873112,5.0,79.0,0.01
-6896.595166,4.0,41.0,0.73
-7018.123867,5.0,9.0,0.42
-6944.480363,5.0,4.0,0.42
-6999.7583079999995,5.0,68.0,0.37
-6995.362537999999,5.0,10.0,0.34
-6966.141994,5.0,56.0,0.53
-7007.450151000001,5.0,23.0,0.39
-7006.422961,5.0,62.0,0.47000000000000003
-6996.21148,5.0,70.0,0.25
-6995.779456,5.0,53.0,0.29
-6944.4018129999995,5.0,73.0,0.5700000000000001
-6986.217523,5.0,15.0,0.51
-6997.244712999999,5.0,6.0,0.45
-6997.661631,4.0,34.0,0.22
-6933.8972810000005,5.0,47.0,0.65
-7013.9969790000005,5.0,59.0,0.43
-6913.123867,5.0,51.0,0.71
-6993.978851999999,4.0,59.0,0.35000000000000003
-6868.809668000001,5.0,28.0,0.84
-6996.0030209999995,5.0,41.0,0.07
-6993.924470999999,4.0,14.0,0.32
-6946.181269,5.0,25.0,0.6
-6991.9969790000005,5.0,44.0,0.18
-6982.3081569999995,3.0,19.0,0.49
-7013.0030209999995,5.0,37.0,0.43
-6702.444109,5.0,81.0,0.9500000000000001
-6195.70997,5.0,1.0,0.63
-6997.861027,4.0,57.0,0.15
-6958.637462000001,5.0,64.0,0.54
-6885.915408,5.0,76.0,0.77
-6999.824773,3.0,69.0,0.3
-6996.21148,4.0,49.0,0.24
-7008.302115,5.0,67.0,0.4
-6999.7583079999995,5.0,86.0,0.37
-6941.9909370000005,5.0,46.0,0.58
-6996.160120999999,5.0,54.0,0.21
-6996.858006,4.0,91.0,0.47000000000000003
-7014.628398999999,5.0,62.0,0.44
-6971.5468280000005,5.0,21.0,0.52
-7002.9033230000005,4.0,79.0,0.27
-6949.238670999999,3.0,52.0,0.56
-6996.622356,5.0,60.0,0.1
-6933.661631,5.0,33.0,0.62
-7002.2477340000005,4.0,55.0,0.45
-6948.0513599999995,5.0,12.0,0.66
-6988.519637,5.0,36.0,0.5
-6914.821752,5.0,49.0,0.7000000000000001
-6995.256798,5.0,39.0,0.32
-7004.706948999999,4.0,31.0,0.39
-6875.673715999999,5.0,63.0,0.8200000000000001
-7002.73716,5.0,72.0,0.35000000000000003
-7015.882175,5.0,42.0,0.41000000000000003
-7009.44713,3.0,17.0,0.41000000000000003
-6995.779456,5.0,29.0,0.29
-6921.574018000001,5.0,6.0,0.59
-6996.120845999999,5.0,7.0,0.16
-6808.498489,4.0,2.0,0.19
-6893.226586,5.0,27.0,0.73
-6998.392749,5.0,99.0,0.13
-6993.616314,4.0,25.0,0.49
-7001.024168999999,5.0,16.0,0.37
-6997.909366,5.0,21.0,0.04
-6999.039275,5.0,42.0,0.33
-6996.21148,5.0,13.0,0.25
-6959.093656,4.0,10.0,0.53
-6996.580059999999,3.0,93.0,0.23
-7008.099698,5.0,8.0,0.45
-6953.6858010000005,5.0,39.0,0.56
-6907.07855,5.0,44.0,0.68
-6998.374622,4.0,31.0,0.28
-6996.111781999999,5.0,84.0,0.31
-6996.483384,5.0,23.0,0.48
-7015.193353000001,3.0,89.0,0.42
-7006.930514,3.0,98.0,0.39
-6981.265861,3.0,4.0,0.2
-6863.864048,3.0,35.0,0.8
-6997.861027,3.0,21.0,0.15
-6996.0030209999995,3.0,96.0,0.07
-7002.012084999999,3.0,82.0,0.11
-6827.682779000001,3.0,88.0,0.87
-6992.350453,3.0,75.0,0.35000000000000003
-7014.006042,4.0,78.0,0.42
-6967.483384,4.0,93.0,0.52
-7003.223565,5.0,91.0,0.46
-7015.643505,3.0,67.0,0.43
-7001.024168999999,3.0,67.0,0.38
-6955.969789,3.0,90.0,0.61
-6950.679758,3.0,86.0,0.55
-6972.504531999999,3.0,73.0,0.51
-6999.208459,3.0,84.0,0.33
-7009.44713,3.0,69.0,0.41000000000000003
-6997.238670999999,3.0,57.0,0.47000000000000003
-6950.265861,3.0,82.0,0.58
-6999.175227,3.0,51.0,0.36
-6999.682779000001,3.0,76.0,0.26
-7012.81571,3.0,46.0,0.44
-6936.561934,3.0,65.0,0.64
-6996.229606999999,3.0,97.0,0.31
-7015.193353000001,3.0,80.0,0.42
-6982.3081569999995,3.0,59.0,0.49
-6999.208459,3.0,61.0,0.34
-7000.960725,3.0,29.0,0.29
-6997.438066,4.0,71.0,0.23
-6924.169184,3.0,37.0,0.66
-7004.311178,3.0,48.0,0.4
-6955.649547,4.0,88.0,0.54
-6982.283987999999,3.0,65.0,0.5
-6999.178248,4.0,94.0,0.37
-6952.894259999999,3.0,78.0,0.59
