AUC,Beta1,Beta2
10244.24471,1,0
10560.17221,1,0.1
10685.68882,1,0.2
10849.59517,1,0.3
10898.74622,1,0.4
10765.28701,1,0.5
10879.39577,1,0.6
10850.13897,1,0.7
11002.05438,1,0.8
11015.17221,1,0.9
11084.57402,1,1
11056.67674,1,1.1
11129.32931,1,1.2
11178.31722,1,1.3
11189.53474,1,1.4
11187.79456,1,1.5
11240.61934,1,1.6
11216.55891,1,1.7
11206.61631,1,1.8
11221.87915,1,1.9
11176.03927,1,2
11247.75227,1,2.1
11279.09366,1,2.2
11303.87915,1,2.3
11345,1,2.4
11347.78852,1,2.5
11389.55589,1,2.6
11358.96677,1,2.7
11417.11782,1,2.8
11409.97281,1,2.9
11419.54985,1,3
11450.0423,1,3.1
11439.76133,1,3.2
11395.46828,1,3.3
11392.13897,1,3.4
11409.12085,1,3.5
11483.22356,1,3.6
11497.61027,1,3.7
11507.46526,1,3.8
11501.36556,1,3.9
11521.57704,1,4
11509.28399,1,4.1
11511.05136,1,4.2
11498.52568,1,4.3
11503.26284,1,4.4
11481.20544,1,4.5
11450.4713,1,4.6
11452.74622,1,4.7
11477.5136,1,4.8
11484.21752,1,4.9
11481.88822,1,5
11479.91239,1,5.1
11485.01813,1,5.2
11505.90332,1,5.3
11494.83988,1,5.4
11508.61329,1,5.5
11518.34743,1,5.6
11529.11178,1,5.7
11528.99396,1,5.8
11531.62538,1,5.9
11532.02115,1,6
10711.46224,2,0
10777.36556,2,0.1
10737.55287,2,0.2
10852.13897,2,0.3
10860.6858,2,0.4
11016.30514,2,0.5
10977.37764,2,0.6
10955.30816,2,0.7
11068.98187,2,0.8
11141.55287,2,0.9
11157.35045,2,1
11180.32628,2,1.1
11155.60423,2,1.2
11220.30514,2,1.3
11263.77341,2,1.4
11283.1571,2,1.5
11279.67674,2,1.6
11295.86103,2,1.7
11314.1148,2,1.8
11317.76737,2,1.9
11375.2145,2,2
11319.95166,2,2.1
11374.60423,2,2.2
11397.59215,2,2.3
11377.33535,2,2.4
11398.8006,2,2.5
11452.81269,2,2.6
11476.31118,2,2.7
11413.90937,2,2.8
11448.39879,2,2.9
11474.62538,2,3
11452.3716,2,3.1
11452.96979,2,3.2
11449.01511,2,3.3
11452.67976,2,3.4
11461.9426,2,3.5
11494.02719,2,3.6
11513.42598,2,3.7
11510.29305,2,3.8
11505.4139,2,3.9
11485.29909,2,4
11495.87311,2,4.1
11479.97583,2,4.2
11464.0423,2,4.3
11450.89728,2,4.4
11460.79758,2,4.5
11459.15106,2,4.6
11475.70393,2,4.7
11518.93353,2,4.8
11503.92145,2,4.9
11507.30211,2,5
11508.8852,2,5.1
11510.90634,2,5.2
11531.61027,2,5.3
11516.15408,2,5.4
11516.51662,2,5.5
11538.39275,2,5.6
11521.3565,2,5.7
11523.00302,2,5.8
11538.55589,2,5.9
11552.53776,2,6
10734.85498,3,0
10831.55589,3,0.1
10889.55287,3,0.2
11040.03927,3,0.3
10964.3716,3,0.4
11066.50453,3,0.5
11097.55287,3,0.6
