AUC,D,M,gamma
-6117.912386999999,4.0,9.0,0.79
-5927.543807,3.0,36.0,0.99
-6279.422961,3.0,66.0,0.43
-6261.607250999999,4.0,10.0,0.16
-6001.827795,4.0,25.0,0.9500000000000001
-6248.876133,3.0,23.0,0.5
-6267.29003,2.0,44.0,0.01
-6271.516616,3.0,59.0,0.27
-6235.622356,4.0,34.0,0.52
-6167.114804,3.0,21.0,0.68
-6215.655589,3.0,27.0,0.56
-6262.259819,4.0,20.0,0.14
-6249.371601,2.0,50.0,0.56
-6263.265861,3.0,55.0,0.23
-6187.797583,3.0,39.0,0.65
-6265.41994,4.0,27.0,0.03
-6262.76435,3.0,31.0,0.47000000000000003
-6267.29003,4.0,28.0,0.01
-6264.1571,3.0,68.0,0.36
-6213.1571,3.0,47.0,0.62
-6259.70997,2.0,68.0,0.35000000000000003
-6259.70997,2.0,61.0,0.35000000000000003
-6257.063443999999,2.0,60.0,0.28
-6273.226586,3.0,61.0,0.41000000000000003
-6138.259819,3.0,67.0,0.78
-6247.006042,2.0,53.0,0.41000000000000003
-5669.990937,3.0,1.0,0.44
-6264.731118,3.0,63.0,0.13
-6234.963746,2.0,70.0,0.6900000000000001
-6149.574018,4.0,43.0,0.8
-6262.8972810000005,3.0,55.0,0.24
-6114.329304999999,3.0,12.0,0.81
-6276.480363000001,4.0,64.0,0.41000000000000003
-6054.667674,4.0,40.0,0.91
-6262.1087609999995,4.0,66.0,0.1
-6263.47432,4.0,51.0,0.2
-6260.238671,4.0,57.0,0.32
-6208.81571,4.0,16.0,0.59
-6249.839879,2.0,65.0,0.5
-6261.489426,4.0,47.0,0.08
-6154.915408,4.0,36.0,0.73
-6174.996979,2.0,47.0,0.87
-6257.483384,4.0,57.0,0.18
-6245.930514,2.0,63.0,0.5700000000000001
-5541.045317,4.0,6.0,0.99
-6227.410876,4.0,43.0,0.53
-6270.365559000001,3.0,39.0,0.46
-6247.839879,2.0,51.0,0.4
-6266.132931,3.0,32.0,0.29
-6198.217522999999,4.0,70.0,0.63
-6262.8972810000005,3.0,58.0,0.24
-6252.21148,2.0,70.0,0.54
-6262.429003,4.0,24.0,0.05
-6265.936556000001,3.0,64.0,0.38
-6262.534743,2.0,47.0,0.31
-6170.737160000001,3.0,55.0,0.67
-6253.030211,3.0,62.0,0.48
-6155.383686,4.0,36.0,0.72
-6279.422961,3.0,30.0,0.43
-6277.667674,3.0,30.0,0.44
-6221.259819,3.0,21.0,0.6
-6263.3474320000005,3.0,17.0,0.15
-6205.444109,3.0,3.0,0.21
-6264.190332,3.0,26.0,0.34
-6097.876133,3.0,29.0,0.85
-6270.365559000001,3.0,33.0,0.46
-6277.667674,3.0,30.0,0.44
-6266.368579999999,3.0,18.0,0.26
-6239.456193,3.0,14.0,0.51
-6265.936556000001,3.0,20.0,0.38
-6217.619335,3.0,10.0,0.55
-6277.667674,3.0,40.0,0.44
-6216.250755,3.0,41.0,0.58
-6261.21148,3.0,37.0,0.31
-6213.1571,3.0,45.0,0.62
-6256.1087609999995,2.0,23.0,0.49
-6264.740181,3.0,28.0,0.37
-6279.422961,3.0,34.0,0.43
-6160.607250999999,3.0,34.0,0.73
-6260.0483380000005,2.0,49.0,0.12
-6257.483384,3.0,25.0,0.18
-6264.190332,3.0,38.0,0.33
-6158.34139,3.0,34.0,0.76
-6248.123867,2.0,42.0,0.65
-6266.132931,3.0,53.0,0.29
-6268.52568,3.0,13.0,0.4
-5794.338369,2.0,6.0,0.9500000000000001
-6160.89426,3.0,44.0,0.7000000000000001
-6278.97281,3.0,21.0,0.42
-6239.456193,3.0,27.0,0.51
-6266.368579999999,3.0,31.0,0.26
-6217.595166,3.0,23.0,0.55
-6259.012085,2.0,35.0,0.6
-6261.737160000001,4.0,49.0,0.36
-6263.900302,3.0,32.0,0.21
-6261.716012,2.0,19.0,0.48
-6226.700906,4.0,25.0,0.53
-6187.797583,3.0,37.0,0.65
-6260.274924,3.0,15.0,0.17
-6263.326284000001,4.0,46.0,0.04
-6263.380665,2.0,53.0,0.46
-6261.489426,3.0,8.0,0.07
-6263.265861,3.0,11.0,0.23
-6278.97281,3.0,60.0,0.42
-6265.060423,4.0,29.0,0.28
-6220.501511,3.0,40.0,0.5700000000000001
-6116.504532,3.0,42.0,0.8300000000000001
-6267.29003,2.0,27.0,0.01
-6173.344411,4.0,22.0,0.76
-6264.190332,3.0,38.0,0.34
-6265.936556000001,3.0,17.0,0.38
-6265.3021149999995,2.0,56.0,0.32
-5789.873111999999,3.0,2.0,0.68
-6206.380665,3.0,32.0,0.63
-6268.52568,3.0,51.0,0.4
-6250.987915,4.0,68.0,0.5
-6270.365559000001,3.0,45.0,0.46
-6264.2477340000005,2.0,35.0,0.3
-6264.731118,3.0,49.0,0.13
-6018.691843,4.0,30.0,0.9
-6239.259819,3.0,19.0,0.52
-6266.368579999999,3.0,24.0,0.26
-6262.1087609999995,3.0,59.0,0.1
-6259.012085,2.0,26.0,0.6
-6279.422961,3.0,43.0,0.43
-6263.47432,3.0,66.0,0.2
-6262.8972810000005,4.0,54.0,0.24
-6264.1571,3.0,62.0,0.36
-6213.700906,4.0,70.0,0.66
-6271.145015,3.0,33.0,0.39
-6252.21148,2.0,38.0,0.54
-6262.76435,3.0,57.0,0.47000000000000003
-6261.0422960000005,2.0,41.0,0.34
