Budget,DISCLOSEPolicy_Benefit_70,DISCLOSEPolicy_70_0.25,DISCLOSEPolicy_70_0.5,DISCLOSEPolicy_70_0.75,StaticPolicy_Benefit_70,StaticPolicy_70_0.25,StaticPolicy_70_0.5,StaticPolicy_70_0.75,MCTSPolicy_Benefit_70,MCTSPolicy_70_0.25,MCTSPolicy_70_0.5,MCTSPolicy_70_0.75
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3.1570996978851964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3.1570996978851964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9.722054380664652,0.0,0.0,0.0,3.1570996978851964,0.0,0.0,0.0,6.389728096676738,0.0,0.0,0.0
9,21.226586102719033,0.0,0.0,55.0,15.785498489425981,0.0,0.0,55.0,12.827794561933535,0.0,0.0,0.0
10,22.770392749244714,0.0,0.0,55.0,15.785498489425981,0.0,0.0,55.0,19.057401812688823,0.0,0.0,55.0
11,23.30211480362538,0.0,0.0,55.0,19.78247734138973,0.0,0.0,55.0,24.906344410876134,0.0,0.0,55.0
12,27.891238670694865,0.0,0.0,55.0,19.78247734138973,0.0,0.0,55.0,29.093655589123866,0.0,0.0,55.0
13,30.386706948640484,0.0,0.0,55.0,19.78247734138973,0.0,0.0,55.0,34.15407854984894,0.0,0.0,63.0
14,31.184290030211482,0.0,0.0,55.0,36.151057401812686,0.0,0.0,63.0,37.94259818731118,0.0,55.0,63.0
15,42.66465256797583,0.0,55.0,63.0,38.012084592145015,0.0,55.0,63.0,43.848942598187314,0.0,55.0,63.0
